model,dataset,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
GPT-5 mini,FamilyOWL,11286,0.6120857699805068,0.6327676586315608,0.703412621206348,3762,1383,4283,1459,0.3406490777492412,3
GPT-5 mini,OWL2Bench,9180,0.6443355119825708,0.6604960042378343,0.6979517050366724,3060,669,4571,1181,0.25836797199737477,1
GPT-5 mini,Pizza100,2970,0.5205387205387205,0.5341361118382313,0.554974170892178,990,287,2521,663,0.2629908766362555,2
GPT-5 mini,Pizza250,3708,0.505933117583603,0.5264713261568451,0.558180783545914,1236,429,3016,829,0.27486737400530503,1
Gemini 2.5 Flash-Lite,FamilyOWL,11286,0.5594541910331384,0.5856357209435522,0.6407895989044476,3762,390,10144,7703,0.7593651419558359,5
Gemini 2.5 Flash-Lite,OWL2Bench,9180,0.5996732026143791,0.6143420824764132,0.6318408721157257,3060,111,5514,2887,0.523576351106275,0
Gemini 2.5 Flash-Lite,Pizza100,2970,0.5632996632996633,0.5789232382445872,0.612660611981961,990,71,3338,1148,0.3439185140802876,0
Gemini 2.5 Flash-Lite,Pizza250,3708,0.5496224379719525,0.5714268411679415,0.6089433220501183,1236,86,4217,1514,0.3590230021342186,0
Qwen3-30B-A3B-Instruct,FamilyOWL,11286,0.6064150274676591,0.6356712857527296,0.6522847892083383,3762,14,19767,16897,0.8548085192492538,49
Qwen3-30B-A3B-Instruct,OWL2Bench,9180,0.6189542483660131,0.6441694741569216,0.6473189517176281,3060,1,11403,8162,0.7157765500306936,8
Qwen3-30B-A3B-Instruct,Pizza100,2970,0.5858585858585859,0.5955793490430195,0.6037274971911676,990,0,3996,2020,0.5055055055055055,1
Qwen3-30B-A3B-Instruct,Pizza250,3708,0.5844120819848975,0.5983102526616842,0.6126325673480765,1236,0,4993,2394,0.4794712597636691,0
