reasoning_tag,reasoning_type,Family_BQA,Family_OEQA,Family_Total,Pizza100_BQA,Pizza100_OEQA,Pizza100_Total,Pizza250_BQA,Pizza250_OEQA,Pizza250_Total,OWL2Bench_BQA,OWL2Bench_OEQA,OWL2Bench_Total,Overall_BQA,Overall_OEQA,Overall_Total
D,Direct assertions,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
H,Hierarchy,17.059748,31.414474,21.702128,64.786585,61.890244,63.821138,65.037594,64.285714,64.772727,32.883558,35.829384,33.900524,33.93899,40.949555,36.29318
T,Transitivity,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.049975,0.094787,0.065445,0.016669,0.032971,0.022143
S,Symmetry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.49925,2.369668,1.799738,0.500083,0.824266,0.608946
A,Asymmetric properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
J,Disjointness constraints,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N,Property chains,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.948026,8.436019,5.497382,1.316886,2.934388,1.860053
E,Existential restrictions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
∩,Intersection,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
¬,Complement,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
I,Inverse properties,51.493711,53.536184,52.154255,6.402439,6.707317,6.504065,4.636591,5.299539,4.87013,7.746127,7.962085,7.820681,25.737623,25.717112,25.730735
F,Functional properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V,Reflexive properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y,Irreflexive properties,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q,Equivalence,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
R,Domain/range restrictions,19.889937,18.421053,19.414894,0.0,36.890244,12.296748,0.0,32.258065,11.363636,21.93903,21.800948,21.891361,15.752625,23.574019,18.379097
C,Cardinality restrictions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L,Universal restrictions,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
U,Union,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,Multiple TBox axiom types,11.792453,15.953947,13.138298,0.0,31.707317,10.569106,0.0,27.880184,9.821429,9.545227,10.42654,9.849476,8.184697,17.441477,11.29318
