task_id,model,confirmed_defective_ar_prompt,raw_response,corrected_parsed_prediction,ar_gold_answer,independent_exact_match,independent_f1,evaluator_exact_match,evaluator_f1,verified
1274,GPT-5 mini,1,"ANSWER: Thing
CONFIDENCE: 0.6",Thing,Class9,0.0,0.0,0.0,0.0,True
1274,Gemini 2.5 Flash-Lite,1,"ANSWER: Individual19
CONFIDENCE: 1.0",Individual19,Class9,0.0,0.0,0.0,0.0,True
1274,Qwen3-30B-A3B-Instruct,1,"ANSWER: Individual19; Individual138; Individual155; Individual195; Individual233; Individual424; Individual506; Individual74
CONFIDENCE: 1.0",Individual19; Individual138; Individual155; Individual195; Individual233; Individual424; Individual506; Individual74,Class9,0.0,0.0,0.0,0.0,True
4094,GPT-5 mini,1,"ANSWER: Class4
CONFIDENCE: 1.0",Class4,Class16; Class19; Class63; Class92,0.0,0.0,0.0,0.0,True
4094,Gemini 2.5 Flash-Lite,1,"ANSWER: Class4
CONFIDENCE: 1.0",Class4,Class16; Class19; Class63; Class92,0.0,0.0,0.0,0.0,True
4094,Qwen3-30B-A3B-Instruct,1,"ANSWER: Class4
CONFIDENCE: 1.0",Class4,Class16; Class19; Class63; Class92,0.0,0.0,0.0,0.0,True
5165,GPT-5 mini,1,"ANSWER: 
CONFIDENCE: 1.0",,Individual45; Individual46; Individual47; Individual48; Individual49; Individual50; Individual51; Individual52; Individual53; Individual54; Individual55; Individual56; Individual57; Individual76; Individual77; Individual78; Individual79; Individual80; Individual81; Individual82; Individual83; Individual84; Individual85; Individual86; Individual87; Individual88; Individual89; Individual90; Individual155; Individual156; Individual157; Individual158; Individual159; Individual160; Individual161; Individual162; Individual163; Individual164; Individual226; Individual227; Individual228; Individual229; Individual230; Individual231; Individual232; Individual233; Individual234; Individual235; Individual236; Individual237; Individual238; Individual239,0.0,0.0,0.0,0.0,True
5165,Gemini 2.5 Flash-Lite,1,"ANSWER: Individual155;Individual156;Individual157;Individual158;Individual159;Individual160;Individual161;Individual162;Individual163;Individual164;Individual226;Individual227;Individual228;Individual229;Individual230;Individual231;Individual232;Individual233;Individual234;Individual235;Individual236;Individual237;Individual238;Individual239;Individual45;Individual46;Individual47;Individual48;Individual49;Individual50;Individual51;Individual52;Individual53;Individual54;Individual55;Individual56;Individual57;Individual76;Individual77;Individual78;Individual79;Individual80;Individual81;Individual82;Individual83;Individual84;Individual85;Individual86;Individual87;Individual88;Individual89;Individual90
CONFIDENCE: 1.0",Individual155;Individual156;Individual157;Individual158;Individual159;Individual160;Individual161;Individual162;Individual163;Individual164;Individual226;Individual227;Individual228;Individual229;Individual230;Individual231;Individual232;Individual233;Individual234;Individual235;Individual236;Individual237;Individual238;Individual239;Individual45;Individual46;Individual47;Individual48;Individual49;Individual50;Individual51;Individual52;Individual53;Individual54;Individual55;Individual56;Individual57;Individual76;Individual77;Individual78;Individual79;Individual80;Individual81;Individual82;Individual83;Individual84;Individual85;Individual86;Individual87;Individual88;Individual89;Individual90,Individual45; Individual46; Individual47; Individual48; Individual49; Individual50; Individual51; Individual52; Individual53; Individual54; Individual55; Individual56; Individual57; Individual76; Individual77; Individual78; Individual79; Individual80; Individual81; Individual82; Individual83; Individual84; Individual85; Individual86; Individual87; Individual88; Individual89; Individual90; Individual155; Individual156; Individual157; Individual158; Individual159; Individual160; Individual161; Individual162; Individual163; Individual164; Individual226; Individual227; Individual228; Individual229; Individual230; Individual231; Individual232; Individual233; Individual234; Individual235; Individual236; Individual237; Individual238; Individual239,1.0,1.0,1.0,1.0,True
5165,Qwen3-30B-A3B-Instruct,1,"ANSWER: Individual155;Individual156;Individual157;Individual158;Individual159;Individual160;Individual161;Individual162;Individual163;Individual164;Individual226;Individual227;Individual228;Individual229;Individual230;Individual231;Individual232;Individual233;Individual234;Individual235;Individual236;Individual237;Individual238;Individual239;Individual45;Individual46;Individual47;Individual48;Individual49;Individual50;Individual51;Individual52;Individual53;Individual54;Individual55;Individual56;Individual57;Individual76;Individual77;Individual78;Individual79;Individual80;Individual81;Individual82;Individual83;Individual84;Individual85;Individual86;Individual87;Individual88;Individual89;Individual90
CONFIDENCE: 1.0",Individual155;Individual156;Individual157;Individual158;Individual159;Individual160;Individual161;Individual162;Individual163;Individual164;Individual226;Individual227;Individual228;Individual229;Individual230;Individual231;Individual232;Individual233;Individual234;Individual235;Individual236;Individual237;Individual238;Individual239;Individual45;Individual46;Individual47;Individual48;Individual49;Individual50;Individual51;Individual52;Individual53;Individual54;Individual55;Individual56;Individual57;Individual76;Individual77;Individual78;Individual79;Individual80;Individual81;Individual82;Individual83;Individual84;Individual85;Individual86;Individual87;Individual88;Individual89;Individual90,Individual45; Individual46; Individual47; Individual48; Individual49; Individual50; Individual51; Individual52; Individual53; Individual54; Individual55; Individual56; Individual57; Individual76; Individual77; Individual78; Individual79; Individual80; Individual81; Individual82; Individual83; Individual84; Individual85; Individual86; Individual87; Individual88; Individual89; Individual90; Individual155; Individual156; Individual157; Individual158; Individual159; Individual160; Individual161; Individual162; Individual163; Individual164; Individual226; Individual227; Individual228; Individual229; Individual230; Individual231; Individual232; Individual233; Individual234; Individual235; Individual236; Individual237; Individual238; Individual239,1.0,1.0,1.0,1.0,True
6967,GPT-5 mini,0,"ANSWER: Individual1745;Individual2041;Individual2465;Individual2920;Individual863
CONFIDENCE: 1.0",Individual1745;Individual2041;Individual2465;Individual2920;Individual863,Individual863; Individual1745; Individual2041; Individual2465; Individual2920,1.0,1.0,1.0,1.0,True
6967,Gemini 2.5 Flash-Lite,0,"ANSWER: Individual1745;Individual2041;Individual2465;Individual2920;Individual863
CONFIDENCE: 1.0",Individual1745;Individual2041;Individual2465;Individual2920;Individual863,Individual863; Individual1745; Individual2041; Individual2465; Individual2920,1.0,1.0,1.0,1.0,True
6967,Qwen3-30B-A3B-Instruct,0,"ANSWER: Individual1745; Individual2041; Individual2465; Individual2920; Individual863
CONFIDENCE: 1.0",Individual1745; Individual2041; Individual2465; Individual2920; Individual863,Individual863; Individual1745; Individual2041; Individual2465; Individual2920,1.0,1.0,1.0,1.0,True
