tag_basis,task,tag,n_unique_questions,total_questions,question_percent,sparse_for_inference,ubiquitous
every,BQA,D,6032,6032,100.0,False,True
every,BQA,H,1586,6032,26.29310344827586,False,False
every,BQA,I,1520,6032,25.19893899204244,False,False
every,BQA,N,78,6032,1.293103448275862,True,False
every,BQA,R,664,6032,11.007957559681698,False,False
every,BQA,S,40,6032,0.6631299734748011,True,False
every,BQA,T,0,6032,0.0,True,False
every,OEQA,D,3016,3016,100.0,False,True
every,OEQA,H,781,3016,25.895225464190982,False,False
every,OEQA,I,802,3016,26.591511936339522,False,False
every,OEQA,N,42,3016,1.3925729442970822,True,False
every,OEQA,R,381,3016,12.63262599469496,False,False
every,OEQA,S,16,3016,0.5305039787798409,True,False
every,OEQA,T,1,3016,0.033156498673740056,True,False
any,BQA,D,6032,6032,100.0,False,True
any,BQA,H,1810,6032,30.00663129973475,False,False
any,BQA,I,1520,6032,25.19893899204244,False,False
any,BQA,N,78,6032,1.293103448275862,True,False
any,BQA,R,1336,6032,22.148541114058354,False,False
any,BQA,S,40,6032,0.6631299734748011,True,False
any,BQA,T,0,6032,0.0,True,False
any,OEQA,D,3016,3016,100.0,False,True
any,OEQA,H,1006,3016,33.355437665782496,False,False
any,OEQA,I,802,3016,26.591511936339522,False,False
any,OEQA,N,42,3016,1.3925729442970822,True,False
any,OEQA,R,501,3016,16.611405835543767,False,False
any,OEQA,S,16,3016,0.5305039787798409,True,False
any,OEQA,T,1,3016,0.033156498673740056,True,False
