task,representation,model,scope,tag_basis,tag,n_unique_questions,n_observations,n_clusters,answer_f1_mean,answer_f1_se_clustered,answer_f1_ci95_low,answer_f1_ci95_high,answer_exact_match_mean,answer_exact_match_se_clustered,answer_exact_match_ci95_low,answer_exact_match_ci95_high
BQA,AR,GPT-5 mini,all,every,D,6032,6032,3016,0.6147214854111406,0.003828830298702543,0.6072141021219694,0.6222288687003118,0.6147214854111406,0.003828830298702543,0.6072141021219694,0.6222288687003118
BQA,AR,Gemini 2.5 Flash-Lite,all,every,D,6032,6032,3016,0.6410809018567639,0.004210660578000602,0.632824844420537,0.6493369592929908,0.6410809018567639,0.004210660578000602,0.632824844420537,0.6493369592929908
BQA,AR,Qwen3-30B-A3B-Instruct,all,every,D,6032,6032,3016,0.6352785145888594,0.004544601713272423,0.6263676816982708,0.644189347479448,0.6352785145888594,0.004544601713272423,0.6263676816982708,0.644189347479448
BQA,FS,GPT-5 mini,all,every,D,6032,6032,3016,0.7664124668435013,0.004543164308537076,0.7575044523458547,0.7753204813411478,0.7664124668435013,0.004543164308537076,0.7575044523458547,0.7753204813411478
BQA,FS,Gemini 2.5 Flash-Lite,all,every,D,6032,6032,3016,0.8269230769230769,0.00441383369766089,0.8182686475653095,0.8355775062808443,0.8269230769230769,0.00441383369766089,0.8182686475653095,0.8355775062808443
BQA,FS,Qwen3-30B-A3B-Instruct,all,every,D,6032,6032,3016,0.8458222811671088,0.004321344890487606,0.8373491993414176,0.8542953629928,0.8458222811671088,0.004321344890487606,0.8373491993414176,0.8542953629928
BQA,NL,GPT-5 mini,all,every,D,6032,6032,3016,0.7490053050397878,0.004630785404722055,0.739925487379828,0.7580851226997476,0.7490053050397878,0.004630785404722055,0.739925487379828,0.7580851226997476
BQA,NL,Gemini 2.5 Flash-Lite,all,every,D,6032,6032,3016,0.6284814323607427,0.00406100362728294,0.6205188149579659,0.6364440497635195,0.6284814323607427,0.00406100362728294,0.6205188149579659,0.6364440497635195
BQA,NL,Qwen3-30B-A3B-Instruct,all,every,D,6032,6032,3016,0.7365716180371353,0.004862007351819207,0.727038431685877,0.7461048043883937,0.7365716180371353,0.004862007351819207,0.727038431685877,0.7461048043883937
OEQA,AR,GPT-5 mini,all,every,D,3016,3016,3016,0.2406881929594131,0.0075042322385442655,0.22597426120725417,0.25540212471157203,0.21220159151193635,0.007446260229151587,0.19760132844201223,0.22680185458186047
OEQA,AR,Gemini 2.5 Flash-Lite,all,every,D,3016,3016,3016,0.3619518771765785,0.00821447180452793,0.3458453424013029,0.37805841195185413,0.2964190981432361,0.008316995255658679,0.280111540396525,0.31272665588994714
OEQA,AR,Qwen3-30B-A3B-Instruct,all,every,D,3016,3016,3016,0.3531744393706876,0.008064507961039621,0.33736194636920525,0.36898693237216995,0.2791777188328912,0.008169788623294053,0.2631587966551799,0.29519664101060256
OEQA,FS,GPT-5 mini,all,every,D,3016,3016,3016,0.6431740323401836,0.008563713501270427,0.6263827215175352,0.659965343162832,0.6226790450928382,0.008827626090089998,0.605370267366583,0.6399878228190935
OEQA,FS,Gemini 2.5 Flash-Lite,all,every,D,3016,3016,3016,0.4771102111039485,0.008811967417906661,0.45983213613668455,0.4943882860712125,0.4379973474801061,0.00903568879500423,0.42028061057255667,0.45571408438765554
OEQA,FS,Qwen3-30B-A3B-Instruct,all,every,D,3016,3016,3016,0.6602161871756019,0.008164301647990785,0.6442080235908514,0.6762243507603525,0.6024535809018567,0.00891275687304842,0.5849778828977316,0.6199292789059819
OEQA,NL,GPT-5 mini,all,every,D,3016,3016,3016,0.4073543011487596,0.00803562975954695,0.3915984311131425,0.42311017118437666,0.2911140583554377,0.008273249332747831,0.2748922754759861,0.3073358412348893
OEQA,NL,Gemini 2.5 Flash-Lite,all,every,D,3016,3016,3016,0.30198493039969637,0.007712528190643885,0.28686258212656374,0.317107278672829,0.22181697612732096,0.007566492540330018,0.20698096741882277,0.23665298483581915
OEQA,NL,Qwen3-30B-A3B-Instruct,all,every,D,3016,3016,3016,0.21275890504957898,0.006687859520640489,0.1996456770168309,0.22587213308232706,0.13163129973474802,0.006157267293128866,0.11955843100534508,0.14370416846415096
BQA,AR,GPT-5 mini,all,every,H,1586,1586,793,0.5,0.0,0.5,0.5,0.5,0.0,0.5,0.5
