model,task,complexity_bin,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
GPT-5 mini,BQA,High,2310,0.5857142857142857,0.5857142857142857,0.5822554112554112,0,0,0,0,,1
GPT-5 mini,BQA,Low,6348,0.7726843100189036,0.7726843100189036,0.7759703843730308,0,0,0,0,,0
GPT-5 mini,BQA,Medium,9438,0.6983471074380165,0.6983471074380165,0.6979582538673448,0,0,0,0,,1
GPT-5 mini,OEQA,High,1581,0.32637571157495254,0.43229363056004355,0.5541503548906366,1581,472,5315,893,0.16801505174035747,1
GPT-5 mini,OEQA,Low,5214,0.46221710778672803,0.49292108713857846,0.6525285542144,5214,1711,5126,1667,0.32520483808037454,2
GPT-5 mini,OEQA,Medium,2253,0.20861074123391035,0.2844040237515604,0.4115950001569176,2253,585,3950,1572,0.3979746835443038,2
Gemini 2.5 Flash-Lite,BQA,High,2310,0.5424242424242425,0.5424242424242425,0.5521428571428572,0,0,0,0,,0
Gemini 2.5 Flash-Lite,BQA,Low,6348,0.7939508506616257,0.7939508506616257,0.791209829867675,0,0,0,0,,0
Gemini 2.5 Flash-Lite,BQA,Medium,9438,0.6731299004026277,0.6731299004026277,0.6776170798898072,0,0,0,0,,0
Gemini 2.5 Flash-Lite,OEQA,High,1581,0.3738140417457306,0.47490988648799826,0.6090865679132565,1581,154,6805,1946,0.28596620132255696,0
Gemini 2.5 Flash-Lite,OEQA,Low,5214,0.36114307633294973,0.4015344705384503,0.5161361838743409,5214,420,11244,8328,0.7406616862326574,4
Gemini 2.5 Flash-Lite,OEQA,Medium,2253,0.18197958277851753,0.26496429135133087,0.3383553255279842,2253,84,5164,2978,0.5766847405112316,1
Qwen3-30B-A3B-Instruct,BQA,High,2310,0.5714285714285714,0.5714285714285714,0.5703246753246753,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,BQA,Low,6348,0.7908002520478891,0.7908002520478891,0.7894218651543793,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,BQA,Medium,9438,0.7456028819665184,0.7456028819665184,0.7436533163805892,0,0,0,0,,0
Qwen3-30B-A3B-Instruct,OEQA,High,1581,0.39342188488298546,0.47489278552502306,0.5013071505541888,1581,3,9621,4559,0.4738592661885459,8
Qwen3-30B-A3B-Instruct,OEQA,Low,5214,0.38588415803605675,0.45671771467741523,0.49099103514081666,5214,9,20914,17421,0.8329826910203691,34
Qwen3-30B-A3B-Instruct,OEQA,Medium,2253,0.1873058144695961,0.25119189039060585,0.2968896901496572,2253,3,9624,7493,0.7785743973399833,16
