task,representation,gold_answer_set_size,scope,tag_basis,tag,n_unique_questions,n_observations,n_clusters,answer_f1_mean,answer_f1_se_clustered,answer_f1_ci95_low,answer_f1_ci95_high,answer_exact_match_mean,answer_exact_match_se_clustered,answer_exact_match_ci95_low,answer_exact_match_ci95_high
OEQA,AR,1.0,all,every,D,1379,4137,1379,0.24712794661376575,0.010231074785237571,0.2270577801704764,0.2671981130570551,0.21658206429780033,0.010184217934496144,0.19660381632965943,0.23656031226594124
OEQA,AR,2.0,all,every,D,567,1701,567,0.23414782128355063,0.015415699082903096,0.20386885855179837,0.2644267840153029,0.18106995884773663,0.014777039707576775,0.1520454279338211,0.21009448976165218
OEQA,AR,3.0,all,every,D,434,1302,434,0.2772020750868706,0.018104714990106928,0.24161802257633863,0.3127861275974026,0.20276497695852536,0.01785868531642469,0.16766448537851572,0.237865468538535
OEQA,AR,4.0,all,every,D,113,339,113,0.4364479178638471,0.037011684603848016,0.36311400917024234,0.5097818265574519,0.30383480825958703,0.040530771028004856,0.2235282809111915,0.3841413356079826
OEQA,AR,5.0,all,every,D,185,555,185,0.6773451373451373,0.0252703157203184,0.6274883069416303,0.7272019677486444,0.6198198198198198,0.02926315504070329,0.5620853548418929,0.6775542847977467
OEQA,AR,6.0,all,every,D,115,345,115,0.5209994353472613,0.03217940881315588,0.45725227433621723,0.5847465963583055,0.4,0.040170836136912046,0.3204218830110676,0.47957811698893243
OEQA,AR,7.0,all,every,D,136,408,136,0.6764517311373615,0.02731756302078932,0.6224259977185992,0.7304774645561237,0.5857843137254902,0.035733542040243524,0.5151143635946842,0.6564542638562962
OEQA,AR,8.0,all,every,D,47,141,47,0.5211589861316599,0.05053679758585255,0.4194336886876153,0.6228842835757045,0.36879432624113473,0.06350346572131076,0.2409684795745775,0.49662017290769195
OEQA,AR,9.0,all,every,D,10,30,10,0.42081585081585077,0.10463533433188012,0.1841142797693547,0.6575174218623469,0.3333333333333333,0.12171612389003693,0.057992331840649336,0.6086743348260173
OEQA,AR,10.0,all,every,D,11,33,11,0.4773771682862592,0.08240423394468671,0.2937690930676947,0.6609852435048237,0.21212121212121213,0.1125707613394346,0.0,0.46294449905687907
OEQA,AR,11.0,all,every,D,6,18,6,0.2777777777777778,0.1337954953199144,0.0,0.6217100477371131,0.2777777777777778,0.1337954953199144,0.0,0.6217100477371131
OEQA,AR,12.0,all,every,D,3,9,3,0.5091575091575091,0.24868890553517187,0.0,1.0,0.4444444444444444,0.2939723678960656,0.0,1.0
OEQA,AR,13.0,all,every,D,2,6,2,0.3333333333333333,0.33333333333333337,0.0,1.0,0.3333333333333333,0.33333333333333337,0.0,1.0
OEQA,AR,14.0,all,every,D,2,6,2,0.30808080808080807,0.025252525252525266,0.0,0.6289445640513157,0.16666666666666666,0.16666666666666666,0.0,1.0
OEQA,AR,30.0,all,every,D,1,3,1,0.3333333333333333,,,,0.3333333333333333,,,
OEQA,AR,40.0,all,every,D,1,3,1,0.0,,,,0.0,,,
OEQA,AR,52.0,all,every,D,1,3,1,0.6666666666666666,,,,0.6666666666666666,,,
OEQA,AR,67.0,all,every,D,1,3,1,0.3064516129032258,,,,0.0,,,
OEQA,AR,69.0,all,every,D,1,3,1,0.6002539682539683,,,,0.0,,,
OEQA,AR,195.0,all,every,D,1,3,1,0.17794486215538843,,,,0.0,,,
OEQA,FS,1.0,all,every,D,1379,4137,1379,0.6870086444053086,0.00995935064520688,0.6674715156761942,0.706545773134423,0.6625574087503021,0.010346448966469926,0.6422609142750906,0.6828539032255136
OEQA,FS,2.0,all,every,D,567,1701,567,0.39336512987306643,0.017788953009338,0.358424706976254,0.42830555276987886,0.35214579659024103,0.017732432497470477,0.31731638925381367,0.3869752039266684
OEQA,FS,3.0,all,every,D,434,1302,434,0.3468718898442401,0.019795539789337718,0.3079645926168034,0.3857791870716768,0.2926267281105991,0.01976220651341138,0.25378494602888874,0.33146851019230944
