breakdown,dataset,hop,task_group,complexity_bin,questions
dataset+hop+task_group,FamilyOWL,1hop,BQA,,1254
dataset+hop+task_group,FamilyOWL,1hop,OEQA,,627
dataset+hop+task_group,FamilyOWL,2hop,BQA,,1254
dataset+hop+task_group,FamilyOWL,2hop,OEQA,,627
dataset+hop+task_group,OWL2Bench,1hop,BQA,,978
dataset+hop+task_group,OWL2Bench,1hop,OEQA,,489
dataset+hop+task_group,OWL2Bench,2hop,BQA,,1062
dataset+hop+task_group,OWL2Bench,2hop,OEQA,,531
dataset+hop+task_group,Pizza100,1hop,BQA,,330
dataset+hop+task_group,Pizza100,1hop,OEQA,,165
dataset+hop+task_group,Pizza100,2hop,BQA,,330
dataset+hop+task_group,Pizza100,2hop,OEQA,,165
dataset+hop+task_group,Pizza250,1hop,BQA,,412
dataset+hop+task_group,Pizza250,1hop,OEQA,,206
dataset+hop+task_group,Pizza250,2hop,BQA,,412
dataset+hop+task_group,Pizza250,2hop,OEQA,,206
dataset+hop,FamilyOWL,1hop,,,1881
dataset+hop,FamilyOWL,2hop,,,1881
dataset+hop,OWL2Bench,1hop,,,1467
dataset+hop,OWL2Bench,2hop,,,1593
dataset+hop,Pizza100,1hop,,,495
dataset+hop,Pizza100,2hop,,,495
dataset+hop,Pizza250,1hop,,,618
dataset+hop,Pizza250,2hop,,,618
task_group,,,BQA,,6032
task_group,,,OEQA,,3016
complexity_bin,,,,High,1297
complexity_bin,,,,Low,3854
complexity_bin,,,,Medium,3897
