task_id,representation,model,input_hash,source_path,source_file_sha256,source_legacy_task_id,source_response_column,response_sha256,parsed_answer,parsed_confidence,parse_status,provenance_status
7,NL,GPT-5 mini,16574703d5b47c1650c85a243e8178a7be321793a57a4ce2fa8303205619ab55,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/nl/LATEST_checkpoint.csv,5a1e64044a89dd8856abb08c353053748687f46fb51a4f6e1ada99f78665edc6,1hop-Thing_amanda_usher_1968_amanda_usher_1968-amanda_usher_1968-isSisterOf-ada_rachel_heath_1868-NEG-BIN,openai_gpt_5_mini_2025_08_07_response,67822a93669a6cb1980289ebe166d6521a821282a6e23093bdb3f9ba434eb593,FALSE,0.85,requested_schema_conformant,exact model and exact evaluated input hash
7,NL,Gemini 2.5 Flash-Lite,16574703d5b47c1650c85a243e8178a7be321793a57a4ce2fa8303205619ab55,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_amanda_usher_1968_amanda_usher_1968-amanda_usher_1968-isSisterOf-ada_rachel_heath_1868-NEG-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
7,NL,Qwen3-30B-A3B-Instruct,16574703d5b47c1650c85a243e8178a7be321793a57a4ce2fa8303205619ab55,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_amanda_usher_1968_amanda_usher_1968-amanda_usher_1968-isSisterOf-ada_rachel_heath_1868-NEG-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,3d8c33250ffc701277a46a858f5590e593ee3d7b33ae5d1d9d1c5328372c3407,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
7,FS,GPT-5 mini,a08abc454dd0b26baad9d8762780310b07f45d7caa011b0bc9bd87ad96d863e3,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/sparql/LATEST_checkpoint.csv,f25b61dfe97e660e91976d7e820a774492e352796a3b8a66047d2e2cfb713f2f,1hop-Thing_amanda_usher_1968_amanda_usher_1968-amanda_usher_1968-isSisterOf-ada_rachel_heath_1868-NEG-BIN,openai_gpt_5_mini_2025_08_07_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
7,FS,Gemini 2.5 Flash-Lite,a08abc454dd0b26baad9d8762780310b07f45d7caa011b0bc9bd87ad96d863e3,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_amanda_usher_1968_amanda_usher_1968-amanda_usher_1968-isSisterOf-ada_rachel_heath_1868-NEG-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
7,FS,Qwen3-30B-A3B-Instruct,a08abc454dd0b26baad9d8762780310b07f45d7caa011b0bc9bd87ad96d863e3,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/LATEST_checkpoint.csv,e0b38a79407706d2a2662c60a47f4c1102bb4589499fd58554af8508abac73c8,1hop-Thing_amanda_usher_1968_amanda_usher_1968-amanda_usher_1968-isSisterOf-ada_rachel_heath_1868-NEG-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
13,NL,GPT-5 mini,1cf57724d5a445ed032d5c8fc67d8141d3f8876699ed0be214d9ff75a79e86db,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/nl/LATEST_checkpoint.csv,5a1e64044a89dd8856abb08c353053748687f46fb51a4f6e1ada99f78665edc6,1hop-Thing_ann_green_1806_ann_green_1806-ann_green_1806-hasFather-ada_rachel_heath_1868-NEG-BIN,openai_gpt_5_mini_2025_08_07_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
13,NL,Gemini 2.5 Flash-Lite,1cf57724d5a445ed032d5c8fc67d8141d3f8876699ed0be214d9ff75a79e86db,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_ann_green_1806_ann_green_1806-ann_green_1806-hasFather-ada_rachel_heath_1868-NEG-BIN,openrouter_google_gemini_2_5_flash_lite_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
13,NL,Qwen3-30B-A3B-Instruct,1cf57724d5a445ed032d5c8fc67d8141d3f8876699ed0be214d9ff75a79e86db,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/LATEST_checkpoint.csv,6aab9761f0f3532e0419388a58d5a004b1bffacff230ca721f85e5d14bf05159,1hop-Thing_ann_green_1806_ann_green_1806-ann_green_1806-hasFather-ada_rachel_heath_1868-NEG-BIN,openrouter_qwen_qwen3_30b_a3b_instruct_2507_response,7eeb827fad386e54e5e37b38fc196bd477c93b6e45e55a3fb55b8766da5f276c,FALSE,0.95,requested_schema_conformant,exact model and exact evaluated input hash
13,FS,GPT-5 mini,3675a4727f1bbe7313f05ef9424891a5c60aaceb98bfe96cc36977e25c0c3200,data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/sparql/LATEST_checkpoint.csv,f25b61dfe97e660e91976d7e820a774492e352796a3b8a66047d2e2cfb713f2f,1hop-Thing_ann_green_1806_ann_green_1806-ann_green_1806-hasFather-ada_rachel_heath_1868-NEG-BIN,openai_gpt_5_mini_2025_08_07_response,fa2c4e48310e8b9a4496cfdaf4def144d1fe50681e42162fbc48da4697645338,FALSE,1.0,requested_schema_conformant,exact model and exact evaluated input hash
