tag,task,covered_questions,total_questions,coverage_rate
D,ALL,9048,9048,1.0
D,BQA,6032,6032,1.0
D,OEQA,3016,3016,1.0
H,ALL,3281,9048,0.3626215738284704
H,BQA,2044,6032,0.33885941644562334
H,OEQA,1237,3016,0.41014588859416445
T,ALL,1,9048,0.00011052166224580017
T,BQA,0,6032,0.0
T,OEQA,1,3016,0.0003315649867374005
S,ALL,56,9048,0.00618921308576481
S,BQA,40,6032,0.006631299734748011
S,OEQA,16,3016,0.005305039787798408
A,ALL,0,9048,0.0
A,BQA,0,6032,0.0
A,OEQA,0,3016,0.0
J,ALL,0,9048,0.0
J,BQA,0,6032,0.0
J,OEQA,0,3016,0.0
N,ALL,173,9048,0.01912024756852343
N,BQA,78,6032,0.01293103448275862
N,OEQA,95,3016,0.03149867374005305
E,ALL,0,9048,0.0
E,BQA,0,6032,0.0
E,OEQA,0,3016,0.0
∩,ALL,0,9048,0.0
∩,BQA,0,6032,0.0
∩,OEQA,0,3016,0.0
¬,ALL,0,9048,0.0
¬,BQA,0,6032,0.0
¬,OEQA,0,3016,0.0
I,ALL,2410,9048,0.26635720601237844
I,BQA,1566,6032,0.25961538461538464
I,OEQA,844,3016,0.27984084880636606
F,ALL,0,9048,0.0
F,BQA,0,6032,0.0
F,OEQA,0,3016,0.0
V,ALL,0,9048,0.0
V,BQA,0,6032,0.0
V,OEQA,0,3016,0.0
Y,ALL,0,9048,0.0
Y,BQA,0,6032,0.0
Y,OEQA,0,3016,0.0
Q,ALL,0,9048,0.0
Q,BQA,0,6032,0.0
Q,OEQA,0,3016,0.0
R,ALL,2098,9048,0.23187444739168878
R,BQA,1336,6032,0.22148541114058357
R,OEQA,762,3016,0.2526525198938992
C,ALL,0,9048,0.0
C,BQA,0,6032,0.0
C,OEQA,0,3016,0.0
L,ALL,0,9048,0.0
L,BQA,0,6032,0.0
L,OEQA,0,3016,0.0
U,ALL,0,9048,0.0
U,BQA,0,6032,0.0
U,OEQA,0,3016,0.0
M,ALL,1530,9048,0.16909814323607428
M,BQA,912,6032,0.15119363395225463
M,OEQA,618,3016,0.20490716180371352
