tag_basis,task,tag_a,tag_b,n_unique_questions,total_questions,question_percent,percent_of_tag_a_questions,percent_of_tag_b_questions
every,BQA,D,D,6032,6032,100.0,100.0,100.0
every,BQA,D,H,1586,6032,26.29310344827586,26.29310344827586,100.0
every,BQA,D,I,1520,6032,25.19893899204244,25.19893899204244,100.0
every,BQA,D,N,78,6032,1.293103448275862,1.293103448275862,100.0
every,BQA,D,R,664,6032,11.007957559681698,11.007957559681698,100.0
every,BQA,D,S,40,6032,0.6631299734748011,0.6631299734748011,100.0
every,BQA,D,T,0,6032,0.0,0.0,
every,BQA,H,H,1586,6032,26.29310344827586,100.0,100.0
every,BQA,H,I,8,6032,0.13262599469496023,0.5044136191677175,0.5263157894736842
every,BQA,H,N,0,6032,0.0,0.0,0.0
every,BQA,H,R,8,6032,0.13262599469496023,0.5044136191677175,1.2048192771084338
every,BQA,H,S,0,6032,0.0,0.0,0.0
every,BQA,H,T,0,6032,0.0,0.0,
every,BQA,I,I,1520,6032,25.19893899204244,100.0,100.0
every,BQA,I,N,0,6032,0.0,0.0,0.0
every,BQA,I,R,188,6032,3.116710875331565,12.368421052631579,28.313253012048193
every,BQA,I,S,0,6032,0.0,0.0,0.0
every,BQA,I,T,0,6032,0.0,0.0,
every,BQA,N,N,78,6032,1.293103448275862,100.0,100.0
every,BQA,N,R,0,6032,0.0,0.0,0.0
every,BQA,N,S,0,6032,0.0,0.0,0.0
every,BQA,N,T,0,6032,0.0,0.0,
every,BQA,R,R,664,6032,11.007957559681698,100.0,100.0
every,BQA,R,S,0,6032,0.0,0.0,0.0
every,BQA,R,T,0,6032,0.0,0.0,
every,BQA,S,S,40,6032,0.6631299734748011,100.0,100.0
every,BQA,S,T,0,6032,0.0,0.0,
every,BQA,T,T,0,6032,0.0,,
every,OEQA,D,D,3016,3016,100.0,100.0,100.0
every,OEQA,D,H,781,3016,25.895225464190982,25.895225464190982,100.0
every,OEQA,D,I,802,3016,26.591511936339522,26.591511936339522,100.0
every,OEQA,D,N,42,3016,1.3925729442970822,1.3925729442970822,100.0
every,OEQA,D,R,381,3016,12.63262599469496,12.63262599469496,100.0
every,OEQA,D,S,16,3016,0.5305039787798409,0.5305039787798409,100.0
every,OEQA,D,T,1,3016,0.033156498673740056,0.033156498673740056,100.0
every,OEQA,H,H,781,3016,25.895225464190982,100.0,100.0
every,OEQA,H,I,4,3016,0.13262599469496023,0.5121638924455826,0.49875311720698257
every,OEQA,H,N,0,3016,0.0,0.0,0.0
every,OEQA,H,R,17,3016,0.5636604774535809,2.176696542893726,4.4619422572178475
every,OEQA,H,S,0,3016,0.0,0.0,0.0
every,OEQA,H,T,0,3016,0.0,0.0,0.0
every,OEQA,I,I,802,3016,26.591511936339522,100.0,100.0
every,OEQA,I,N,0,3016,0.0,0.0,0.0
every,OEQA,I,R,138,3016,4.575596816976128,17.206982543640898,36.22047244094488
every,OEQA,I,S,0,3016,0.0,0.0,0.0
every,OEQA,I,T,0,3016,0.0,0.0,0.0
every,OEQA,N,N,42,3016,1.3925729442970822,100.0,100.0
every,OEQA,N,R,0,3016,0.0,0.0,0.0
every,OEQA,N,S,0,3016,0.0,0.0,0.0
every,OEQA,N,T,0,3016,0.0,0.0,0.0
every,OEQA,R,R,381,3016,12.63262599469496,100.0,100.0
every,OEQA,R,S,0,3016,0.0,0.0,0.0
every,OEQA,R,T,0,3016,0.0,0.0,0.0
every,OEQA,S,S,16,3016,0.5305039787798409,100.0,100.0
every,OEQA,S,T,0,3016,0.0,0.0,0.0
every,OEQA,T,T,1,3016,0.033156498673740056,100.0,100.0
any,BQA,D,D,6032,6032,100.0,100.0,100.0
any,BQA,D,H,1810,6032,30.00663129973475,30.00663129973475,100.0
any,BQA,D,I,1520,6032,25.19893899204244,25.19893899204244,100.0
any,BQA,D,N,78,6032,1.293103448275862,1.293103448275862,100.0
any,BQA,D,R,1336,6032,22.148541114058354,22.148541114058354,100.0
any,BQA,D,S,40,6032,0.6631299734748011,0.6631299734748011,100.0
any,BQA,D,T,0,6032,0.0,0.0,
any,BQA,H,H,1810,6032,30.00663129973475,100.0,100.0
any,BQA,H,I,8,6032,0.13262599469496023,0.4419889502762431,0.5263157894736842
any,BQA,H,N,0,6032,0.0,0.0,0.0
any,BQA,H,R,680,6032,11.273209549071618,37.569060773480665,50.89820359281437
any,BQA,H,S,0,6032,0.0,0.0,0.0
any,BQA,H,T,0,6032,0.0,0.0,
any,BQA,I,I,1520,6032,25.19893899204244,100.0,100.0
any,BQA,I,N,0,6032,0.0,0.0,0.0
any,BQA,I,R,188,6032,3.116710875331565,12.368421052631579,14.071856287425149
any,BQA,I,S,0,6032,0.0,0.0,0.0
any,BQA,I,T,0,6032,0.0,0.0,
any,BQA,N,N,78,6032,1.293103448275862,100.0,100.0
any,BQA,N,R,0,6032,0.0,0.0,0.0
any,BQA,N,S,0,6032,0.0,0.0,0.0
any,BQA,N,T,0,6032,0.0,0.0,
any,BQA,R,R,1336,6032,22.148541114058354,100.0,100.0
any,BQA,R,S,0,6032,0.0,0.0,0.0
any,BQA,R,T,0,6032,0.0,0.0,
any,BQA,S,S,40,6032,0.6631299734748011,100.0,100.0
any,BQA,S,T,0,6032,0.0,0.0,
any,BQA,T,T,0,6032,0.0,,
any,OEQA,D,D,3016,3016,100.0,100.0,100.0
any,OEQA,D,H,1006,3016,33.355437665782496,33.355437665782496,100.0
any,OEQA,D,I,802,3016,26.591511936339522,26.591511936339522,100.0
any,OEQA,D,N,42,3016,1.3925729442970822,1.3925729442970822,100.0
any,OEQA,D,R,501,3016,16.611405835543767,16.611405835543767,100.0
any,OEQA,D,S,16,3016,0.5305039787798409,0.5305039787798409,100.0
any,OEQA,D,T,1,3016,0.033156498673740056,0.033156498673740056,100.0
any,OEQA,H,H,1006,3016,33.355437665782496,100.0,100.0
any,OEQA,H,I,4,3016,0.13262599469496023,0.3976143141153082,0.49875311720698257
any,OEQA,H,N,0,3016,0.0,0.0,0.0
any,OEQA,H,R,242,3016,8.023872679045093,24.055666003976143,48.30339321357285
any,OEQA,H,S,0,3016,0.0,0.0,0.0
any,OEQA,H,T,0,3016,0.0,0.0,0.0
any,OEQA,I,I,802,3016,26.591511936339522,100.0,100.0
any,OEQA,I,N,0,3016,0.0,0.0,0.0
any,OEQA,I,R,138,3016,4.575596816976128,17.206982543640898,27.54491017964072
any,OEQA,I,S,0,3016,0.0,0.0,0.0
any,OEQA,I,T,0,3016,0.0,0.0,0.0
any,OEQA,N,N,42,3016,1.3925729442970822,100.0,100.0
any,OEQA,N,R,0,3016,0.0,0.0,0.0
any,OEQA,N,S,0,3016,0.0,0.0,0.0
any,OEQA,N,T,0,3016,0.0,0.0,0.0
any,OEQA,R,R,501,3016,16.611405835543767,100.0,100.0
any,OEQA,R,S,0,3016,0.0,0.0,0.0
any,OEQA,R,T,0,3016,0.0,0.0,0.0
any,OEQA,S,S,16,3016,0.5305039787798409,100.0,100.0
any,OEQA,S,T,0,3016,0.0,0.0,0.0
any,OEQA,T,T,1,3016,0.033156498673740056,100.0,100.0
