task_id,semantic_key,dataset,hop,task,representation,model,model_id,api_provider,credential_source,input_hash,configuration_hash,status,requested_provider,requested_provider_name,canary
1,sem-v1.1-281249e7b6c88443f8f50341ff733fa8f7fde6bd38d1cfc8762e74a6d91ea043,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,c103b72c49f4c4452dfb0c1c186547e256a70274dd629c845b4c9758e5a21b3b,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,true
1,sem-v1.1-281249e7b6c88443f8f50341ff733fa8f7fde6bd38d1cfc8762e74a6d91ea043,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,f6b0335dbb42248171cf91a13f6e428438558455710703d9531f46c35171f5c0,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
1,sem-v1.1-281249e7b6c88443f8f50341ff733fa8f7fde6bd38d1cfc8762e74a6d91ea043,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,d6593d9ce4754d15c2de71feb25c8c74f88ad0a81a2f7811d69fa11084c083ce,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
2,sem-v1.1-a7d835476b901655c4be72b1fa2409c91ede08174793322e83222cfe284db1a5,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,d22a93c7628e4793b4f8ca4c5435e5db074f7be39dd745493f6af30e6b42830c,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
2,sem-v1.1-a7d835476b901655c4be72b1fa2409c91ede08174793322e83222cfe284db1a5,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,6d384fd325caf7ad8c075079ff9736b20f63a7c69fb56696accc3df902a0fd4e,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
2,sem-v1.1-a7d835476b901655c4be72b1fa2409c91ede08174793322e83222cfe284db1a5,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,9e33fe30b6127733d7442874898af246f18883898b406fe7d804c164b5436717,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
3,sem-v1.1-36b548d1ca4979daaf2bf7c2b677c14507abc2a239f24082f5798c270495343c,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,69f676d9372094c025b83c231644f94943b1b15169c09deddb23b74e99d76722,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
3,sem-v1.1-36b548d1ca4979daaf2bf7c2b677c14507abc2a239f24082f5798c270495343c,FamilyOWL,1hop,BQA,FS,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,23c971e60f034baa9a36755a36d7b9c88991e3be71f2ebf9ef7dedb5975427b0,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
3,sem-v1.1-36b548d1ca4979daaf2bf7c2b677c14507abc2a239f24082f5798c270495343c,FamilyOWL,1hop,BQA,AR,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,1527afe08cdfcd1ed3375dde4ffb945e4f246abb02e879dde75698656010e611,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
4,sem-v1.1-b57729f8e24f42524600838e736644609679f0489902a15c80a45dbaf66ded52,FamilyOWL,1hop,BQA,NL,Qwen3-30B-A3B-Instruct,qwen/qwen3-30b-a3b-instruct-2507,OpenRouter,OPENROUTER_API_KEY,24918ef1b9fec26ddf655661485bd9094b8a059d4b83d8e0fa3821aaa2989712,68ba5917f3197234f41316cf765e9581b3421981041ccb899218968346d3b031,pending,alibaba,Alibaba Cloud International,false
