task,representation,bqa_label,scope,tag_basis,tag,n_unique_questions,n_observations,n_clusters,answer_f1_mean,answer_f1_se_clustered,answer_f1_ci95_low,answer_f1_ci95_high,answer_exact_match_mean,answer_exact_match_se_clustered,answer_exact_match_ci95_low,answer_exact_match_ci95_high
BQA,AR,FALSE,all,every,D,3016,9048,3016,0.8835101679929266,0.003141474056901986,0.8773505192233944,0.8896698167624588,0.8835101679929266,0.003141474056901986,0.8773505192233944,0.8896698167624588
BQA,AR,TRUE,all,every,D,3016,9048,3016,0.377210433244916,0.007092449681028423,0.36330390460281764,0.39111696188701434,0.377210433244916,0.007092449681028423,0.36330390460281764,0.39111696188701434
BQA,FS,FALSE,all,every,D,3016,9048,3016,0.9509283819628647,0.0024133100116809285,0.946196481659155,0.9556602822665743,0.9509283819628647,0.0024133100116809285,0.946196481659155,0.9556602822665743
BQA,FS,TRUE,all,every,D,3016,9048,3016,0.6751768346595933,0.00665542003329145,0.6621272123879353,0.6882264569312514,0.6751768346595933,0.00665542003329145,0.6621272123879353,0.6882264569312514
BQA,NL,FALSE,all,every,D,3016,9048,3016,0.9466180371352785,0.0026197033809196102,0.941481450802067,0.9517546234684899,0.9466180371352785,0.0026197033809196102,0.941481450802067,0.9517546234684899
BQA,NL,TRUE,all,every,D,3016,9048,3016,0.46275419982316535,0.007131623859733415,0.4487708603663708,0.4767375392799599,0.46275419982316535,0.007131623859733415,0.4487708603663708,0.4767375392799599
BQA,AR,FALSE,all,every,H,793,2379,793,0.935687263556116,0.004786098887862935,0.9262923247853088,0.9450822023269232,0.935687263556116,0.004786098887862935,0.9262923247853088,0.9450822023269232
BQA,AR,TRUE,all,every,H,793,2379,793,0.22404371584699453,0.009355656350530095,0.2056789012802,0.24240853041378907,0.22404371584699453,0.009355656350530095,0.2056789012802,0.24240853041378907
BQA,FS,FALSE,all,every,H,793,2379,793,0.9827658680117697,0.0029406684072115366,0.9769934424354699,0.9885382935880694,0.9827658680117697,0.0029406684072115366,0.9769934424354699,0.9885382935880694
BQA,FS,TRUE,all,every,H,793,2379,793,0.4216057166876839,0.014908759862486522,0.39234036105286296,0.4508710723225048,0.4216057166876839,0.014908759862486522,0.39234036105286296,0.4508710723225048
BQA,NL,FALSE,all,every,H,793,2379,793,0.9651113913408995,0.004041200270085985,0.9571786615775618,0.9730441211042372,0.9651113913408995,0.004041200270085985,0.9571786615775618,0.9730441211042372
BQA,NL,TRUE,all,every,H,793,2379,793,0.33669609079445145,0.01173131867389585,0.31366793713018565,0.35972424445871726,0.33669609079445145,0.01173131867389585,0.31366793713018565,0.35972424445871726
BQA,AR,FALSE,all,every,I,760,2280,760,0.9149122807017543,0.005525058110779976,0.9040660699989768,0.9257584914045319,0.9149122807017543,0.005525058110779976,0.9040660699989768,0.9257584914045319
BQA,AR,TRUE,all,every,I,760,2280,760,0.18640350877192982,0.00743953384807901,0.17179900144751373,0.20100801609634592,0.18640350877192982,0.00743953384807901,0.17179900144751373,0.20100801609634592
BQA,FS,FALSE,all,every,I,760,2280,760,0.9394736842105263,0.005022162036038073,0.9296147059818486,0.9493326624392041,0.9394736842105263,0.005022162036038073,0.9296147059818486,0.9493326624392041
BQA,FS,TRUE,all,every,I,760,2280,760,0.8131578947368421,0.009425472801551173,0.7946548017504605,0.8316609877232236,0.8131578947368421,0.009425472801551173,0.7946548017504605,0.8316609877232236
BQA,NL,FALSE,all,every,I,760,2280,760,0.9289473684210526,0.005472328440007515,0.9182046710403106,0.9396900658017947,0.9289473684210526,0.005472328440007515,0.9182046710403106,0.9396900658017947
BQA,NL,TRUE,all,every,I,760,2280,760,0.47368421052631576,0.013465007241562126,0.4472511300540107,0.5001172909986208,0.47368421052631576,0.013465007241562126,0.4472511300540107,0.5001172909986208
BQA,AR,FALSE,all,every,N,39,117,39,0.7606837606837606,0.03227914206191675,0.695338053877531,0.8260294674899903,0.7606837606837606,0.03227914206191675,0.695338053877531,0.8260294674899903
BQA,AR,TRUE,all,every,N,39,117,39,0.23931623931623933,0.02986629360809326,0.178855088838334,0.29977738979414464,0.23931623931623933,0.02986629360809326,0.178855088838334,0.29977738979414464
BQA,FS,FALSE,all,every,N,39,117,39,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0
BQA,FS,TRUE,all,every,N,39,117,39,0.1282051282051282,0.026307137232952665,0.07494911312150757,0.18146114328874882,0.1282051282051282,0.026307137232952665,0.07494911312150757,0.18146114328874882
BQA,NL,FALSE,all,every,N,39,117,39,0.9914529914529915,0.00854700854700855,0.9741504772315217,1.0,0.9914529914529915,0.00854700854700855,0.9741504772315217,1.0
BQA,NL,TRUE,all,every,N,39,117,39,0.3162393162393162,0.01192719170810873,0.2920939789535617,0.34038465352507075,0.3162393162393162,0.01192719170810873,0.2920939789535617,0.34038465352507075
