input_hash,representation,task_id,dataset,hop,task_group,gold_answer,gold_semantics_compatible,classification,duplicate_group_size
003cea31e40dadfc372dfc57fe00779ce939ad6d6bc03901c6e02b81835139c0,AR,6118,OWL2Bench,1hop,BQA,TRUE,true,abstract_equivalence_candidate_requires_review,2
003cea31e40dadfc372dfc57fe00779ce939ad6d6bc03901c6e02b81835139c0,AR,7601,OWL2Bench,2hop,BQA,TRUE,true,abstract_equivalence_candidate_requires_review,2
009d886fbfe62a36b4c5717353288a3fb9463bdf84f5bdeb47c44ca81976eac3,NL,6419,OWL2Bench,1hop,BQA,FALSE,true,natural_language_duplicate_candidate_requires_review,3
009d886fbfe62a36b4c5717353288a3fb9463bdf84f5bdeb47c44ca81976eac3,NL,6433,OWL2Bench,1hop,BQA,FALSE,true,natural_language_duplicate_candidate_requires_review,3
009d886fbfe62a36b4c5717353288a3fb9463bdf84f5bdeb47c44ca81976eac3,NL,6449,OWL2Bench,1hop,BQA,FALSE,true,natural_language_duplicate_candidate_requires_review,3
00f1e2c6b6b437600a9d66e746f224c23c6b4fd53c64f39791efa1043d3df3a4,NL,4590,Pizza100,2hop,OEQA,PolloAdAstra_23; PolloAdAstra_30; PolloAdAstra_38; PolloAdAstra_39; PolloAdAstra_62; PolloAdAstra_70; PolloAdAstra_80; PolloAdAstra_81; PolloAdAstra_9,false,incompatible_gold_semantics_failure,2
00f1e2c6b6b437600a9d66e746f224c23c6b4fd53c64f39791efa1043d3df3a4,NL,5784,Pizza250,2hop,OEQA,PolloAdAstra_11; PolloAdAstra_115; PolloAdAstra_178; PolloAdAstra_18; PolloAdAstra_205; PolloAdAstra_22; PolloAdAstra_33; PolloAdAstra_70; PolloAdAstra_74; PolloAdAstra_91; PolloAdAstra_95,false,incompatible_gold_semantics_failure,2
01f4b2913b11694360ad5704dc43f91266f93908de95e209bb058ac91ea58e53,FS,4146,Pizza100,1hop,OEQA,AnchoviesTopping_dynamic_1; CaperTopping_dynamic_1; MozzarellaTopping_dynamic_1; MushroomTopping_dynamic_1; OliveTopping_dynamic_1; PeperoniSausageTopping_dynamic_1; TomatoTopping_dynamic_1,true,formal_duplicate_candidate_requires_review,2
01f4b2913b11694360ad5704dc43f91266f93908de95e209bb058ac91ea58e53,FS,5240,Pizza250,1hop,OEQA,AnchoviesTopping_dynamic_1; CaperTopping_dynamic_1; MozzarellaTopping_dynamic_1; MushroomTopping_dynamic_1; OliveTopping_dynamic_1; PeperoniSausageTopping_dynamic_1; TomatoTopping_dynamic_1,true,formal_duplicate_candidate_requires_review,2
0272019dfc846f2bbdcab40af106a7c83f462b3314d6095bff820ddeac2327aa,NL,4722,Pizza100,2hop,OEQA,DomainConcept; Food; Pizza,true,natural_language_duplicate_candidate_requires_review,5
0272019dfc846f2bbdcab40af106a7c83f462b3314d6095bff820ddeac2327aa,NL,4725,Pizza100,2hop,OEQA,DomainConcept; Food; Pizza,true,natural_language_duplicate_candidate_requires_review,5
0272019dfc846f2bbdcab40af106a7c83f462b3314d6095bff820ddeac2327aa,NL,5946,Pizza250,2hop,OEQA,DomainConcept; Food; Pizza,true,natural_language_duplicate_candidate_requires_review,5
0272019dfc846f2bbdcab40af106a7c83f462b3314d6095bff820ddeac2327aa,NL,5950,Pizza250,2hop,OEQA,DomainConcept; Food; Pizza,true,natural_language_duplicate_candidate_requires_review,5
0272019dfc846f2bbdcab40af106a7c83f462b3314d6095bff820ddeac2327aa,NL,5952,Pizza250,2hop,OEQA,DomainConcept; Food; Pizza,true,natural_language_duplicate_candidate_requires_review,5
02acc208abffced57ac261afd20ad50445539013f2437aadc0cb954a909646e6,NL,4741,Pizza100,2hop,OEQA,CaperTopping_dynamic_1; MozzarellaTopping_dynamic_1; OliveTopping_dynamic_1; OnionTopping_dynamic_1; PineKernels_dynamic_1; SultanaTopping_dynamic_1; TomatoTopping_dynamic_1,true,natural_language_duplicate_candidate_requires_review,2
