ontology_scope,scope_rationale,entity_uri,entity_roles,candidate_normalized_label,final_nl_label,collision_resolved
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#Ancestor,class;formal_query_entity,Ancestor,Ancestor,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#DomainEntity,class,Domain Entity,Domain Entity,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#Female,class,Female,Female,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#Male,class,Male,Male,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#Man,class;formal_query_entity,Man,Man,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#Marriage,class;formal_query_entity,Marriage,Marriage,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#Person,class,Person,Person,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#Sex,class,Sex,Sex,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#Woman,class;formal_query_entity,Woman,Woman,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ada_rachel_heath_1868,formal_query_entity;individual,Ada Rachel Heath,Ada Rachel Heath,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ada_steward_1871,formal_query_entity;individual,Ada Steward,Ada Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#alan_john_dowse_1936,individual,Alan John Dowse,Alan John Dowse,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#alec_john_archer_1927,formal_query_entity;individual,Alec John Archer,Alec John Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#alexander_ilych_brown_1988,individual,Alexander Ilych Brown,Alexander Ilych Brown,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#alfred_hostler,formal_query_entity;individual,Alfred Hostler,Alfred Hostler,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#alfred_steward_1846,formal_query_entity;individual,Alfred Steward,Alfred Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#alice_harvey_1895,formal_query_entity;individual,Alice Harvey,Alice Harvey,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#alice_whitfield_1859,formal_query_entity;individual,Alice Whitfield,Alice Whitfield,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#amanda_usher_1968,formal_query_entity;individual,Amanda Usher,Amanda Usher,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#amelia_jessop_1837,formal_query_entity;individual,Amelia Jessop,Amelia Jessop,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#andrew_usher_1965,formal_query_entity;individual,Andrew Usher,Andrew Usher,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ann_green_1806,formal_query_entity;individual,Ann Green,Ann Green,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ann_hollinsworth_1808,formal_query_entity;individual,Ann Hollinsworth,Ann Hollinsworth,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ann_jacobs_1832,formal_query_entity;individual,Ann Jacobs,Ann Jacobs,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ann_james,formal_query_entity;individual,Ann James,Ann James,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ann_jessop_1833,formal_query_entity;individual,Ann Jessop,Ann Jessop,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ann_lodge_1763,formal_query_entity;individual,Ann Lodge,Ann Lodge,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ann_norton_1799,formal_query_entity;individual,Ann Norton,Ann Norton,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#ann_pickard_1809,formal_query_entity;individual,Ann Pickard,Ann Pickard,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#anne_archer_1964,formal_query_entity;individual,Anne Archer,Anne Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#anne_lockey_1829,formal_query_entity;individual,Anne Lockey,Anne Lockey,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#annie_whitfield,formal_query_entity;individual,Annie Whitfield,Annie Whitfield,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#arthur_steward_1861,formal_query_entity;individual,Arthur Steward,Arthur Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#arthur_tuton,formal_query_entity;individual,Arthur Tuton,Arthur Tuton,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#avril_bright_1990,individual,Avril Bright,Avril Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#beatrice_rever_1901,formal_query_entity;individual,Beatrice Rever,Beatrice Rever,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#benjamin_anthony_heath_2005,formal_query_entity;individual,Benjamin Anthony Heath,Benjamin Anthony Heath,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#benjamin_pierrepoint_1994,formal_query_entity;individual,Benjamin Pierrepoint,Benjamin Pierrepoint,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#bethia_burton_1821,formal_query_entity;individual,Bethia Burton,Bethia Burton,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#betsy_ann_steward_1865,formal_query_entity;individual,Betsy Ann Steward,Betsy Ann Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#brenda_cleife_1947,formal_query_entity;individual,Brenda Cleife,Brenda Cleife,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#caroline_bright_1822,formal_query_entity;individual,Caroline Bright,Caroline Bright 1822,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#caroline_bright_1845,formal_query_entity;individual,Caroline Bright,Caroline Bright 1845,true
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#caroline_cox,formal_query_entity;individual,Caroline,Caroline,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#caroline_lavinia_tubb_1840,formal_query_entity;individual,Caroline Lavinia Tubb,Caroline Lavinia Tubb,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#caroline_martha_bright_1864,formal_query_entity;individual,Caroline Martha Bright,Caroline Martha Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#caroline_steward_1853,formal_query_entity;individual,Caroline Steward,Caroline Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#catherine_steward_1863,individual,Catherine Steward,Catherine Steward,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#catherine_thompson,individual,Catherine Thompson,Catherine Thompson,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#celia_pinchbeck_1949,formal_query_entity;individual,Celia Pinchbeck,Celia Pinchbeck,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charles_herbert_rever_1895,formal_query_entity;individual,Charles Herbert Rever,Charles Herbert Rever,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charles_jacobs_1842,formal_query_entity;individual,Charles Jacobs,Charles Jacobs,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charles_jessop_1831,formal_query_entity;individual,Charles Jessop,Charles Jessop,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charles_pickard_1854,formal_query_entity;individual,Charles Pickard,Charles Pickard,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charlotte_ann_jessop_1865,formal_query_entity;individual,Charlotte Ann Jessop,Charlotte Ann Jessop,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charlotte_bright_1928,formal_query_entity;individual,Charlotte Bright,Charlotte Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charlotte_caroline_jane_bright_1894,formal_query_entity;individual,Charlotte Caroline Jane Bright,Charlotte Caroline Jane Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charlotte_cotton_1840,formal_query_entity;individual,Charlotte Cotton,Charlotte Cotton,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#charlotte_hewett_1863,formal_query_entity;individual,Charlotte Hewett,Charlotte Hewett,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#christian_bright_1985,formal_query_entity;individual,Christian Bright,Christian Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#christopher_archer_1849,formal_query_entity;individual,Christopher Archer,Christopher Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#clare_archer_1957,formal_query_entity;individual,Clare Archer,Clare Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#clare_bright_1966,formal_query_entity;individual,Clare Bright,Clare Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#clarence_john_heath_1896,formal_query_entity;individual,Clarence John Heath,Clarence John Heath,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#crispin_hutchinson,formal_query_entity;individual,Crispin Hutchinson,Crispin Hutchinson,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#daisy_harriet_heath_1889,formal_query_entity;individual,Daisy Harriet Heath,Daisy Harriet Heath,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#daniel_grigg_hewett_1813,individual,Daniel Grigg Hewett,Daniel Grigg Hewett,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#david_bright_1934,formal_query_entity;individual,David Bright,David Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#david_brown,formal_query_entity;individual,David Brown,David Brown,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#dereck_heath_1929,formal_query_entity;individual,Dereck Heath,Dereck Heath,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#diana_pool,formal_query_entity;individual,Diana Pool,Diana Pool,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#dorothy_archer_1845,formal_query_entity;individual,Dorothy Archer,Dorothy Archer,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#eden_georgina_gardner_thompson_1810,formal_query_entity;individual,Eden Georgina Gardner Thompson,Eden Georgina Gardner Thompson,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edmund_bright_1813,formal_query_entity;individual,Edmund Bright,Edmund Bright,false
Family,dataset-wide frozen-membership ontology inventory spanning both hops,http://www.example.com/genealogy.owl#edmund_charles_bright_1852,formal_query_entity;individual,Edmund Charles Bright,Edmund Charles Bright,false
