task,representation,scope,tag_basis_every,tag,n_unique_questions_every,n_observations_every,n_clusters_every,answer_f1_mean_every,answer_f1_se_clustered_every,answer_f1_ci95_low_every,answer_f1_ci95_high_every,answer_exact_match_mean_every,answer_exact_match_se_clustered_every,answer_exact_match_ci95_low_every,answer_exact_match_ci95_high_every,tag_basis_any,n_unique_questions_any,n_observations_any,n_clusters_any,answer_f1_mean_any,answer_f1_se_clustered_any,answer_f1_ci95_low_any,answer_f1_ci95_high_any,answer_exact_match_mean_any,answer_exact_match_se_clustered_any,answer_exact_match_ci95_low_any,answer_exact_match_ci95_high_any,answer_f1_mean_any_minus_every,n_unique_questions_any_minus_every
BQA,AR,all,every,D,6032,18096,3016,0.6303603006189213,0.0032650864809070576,0.6239582786508109,0.6367623225870318,0.6303603006189213,0.0032650864809070576,0.6239582786508109,0.6367623225870318,any,6032,18096,3016,0.6303603006189213,0.0032650864809070576,0.6239582786508109,0.6367623225870318,0.6303603006189213,0.0032650864809070576,0.6239582786508109,0.6367623225870318,0.0,0
BQA,FS,all,every,D,6032,18096,3016,0.813052608311229,0.0033829308793663724,0.8064195228070784,0.8196856938153797,0.813052608311229,0.0033829308793663724,0.8064195228070784,0.8196856938153797,any,6032,18096,3016,0.813052608311229,0.0033829308793663724,0.8064195228070784,0.8196856938153797,0.813052608311229,0.0033829308793663724,0.8064195228070784,0.8196856938153797,0.0,0
BQA,NL,all,every,D,6032,18096,3016,0.7046861184792219,0.0035849124502615824,0.6976569973841042,0.7117152395743396,0.7046861184792219,0.0035849124502615824,0.6976569973841042,0.7117152395743396,any,6032,18096,3016,0.7046861184792219,0.0035849124502615824,0.6976569973841042,0.7117152395743396,0.7046861184792219,0.0035849124502615824,0.6976569973841042,0.7117152395743396,0.0,0
OEQA,AR,all,every,D,3016,9048,3016,0.3186048365022264,0.0072168178171862045,0.30445445289810147,0.3327552201063513,0.2625994694960212,0.007295799228481977,0.24829422300138948,0.2769047159906529,any,3016,9048,3016,0.3186048365022264,0.0072168178171862045,0.30445445289810147,0.3327552201063513,0.2625994694960212,0.007295799228481977,0.24829422300138948,0.2769047159906529,0.0,0
OEQA,FS,all,every,D,3016,9048,3016,0.5935001435399113,0.007445992842914832,0.5789004047478499,0.6080998823319728,0.5543766578249337,0.007822405169620184,0.5390388681424206,0.5697144475074468,any,3016,9048,3016,0.5935001435399113,0.007445992842914832,0.5789004047478499,0.6080998823319728,0.5543766578249337,0.007822405169620184,0.5390388681424206,0.5697144475074468,0.0,0
OEQA,NL,all,every,D,3016,9048,3016,0.3073660455326783,0.006513304943789905,0.29459507558165837,0.3201370154836983,0.21485411140583555,0.006385510496002252,0.20233371456120136,0.22737450825046973,any,3016,9048,3016,0.3073660455326783,0.006513304943789905,0.29459507558165837,0.3201370154836983,0.21485411140583555,0.006385510496002252,0.20233371456120136,0.22737450825046973,0.0,0
BQA,AR,all,every,H,1586,4758,793,0.5798654897015553,0.004578212870543573,0.5708786236533938,0.5888523557497167,0.5798654897015553,0.004578212870543573,0.5708786236533938,0.5888523557497167,any,1810,5430,905,0.5701657458563536,0.004130969270031552,0.5620583401199103,0.5782731515927969,0.5701657458563536,0.004130969270031552,0.5620583401199103,0.5782731515927969,-0.00969974384520167,224
BQA,FS,all,every,H,1586,4758,793,0.7021857923497268,0.007521111967752027,0.6874221219615942,0.7169494627378593,0.7021857923497268,0.007521111967752027,0.6874221219615942,0.7169494627378593,any,1810,5430,905,0.7307550644567219,0.007141702051693018,0.7167388197458473,0.7447713091675965,0.7307550644567219,0.007141702051693018,0.7167388197458473,0.7447713091675965,0.028569272106995114,224
BQA,NL,all,every,H,1586,4758,793,0.6509037410676755,0.0057897183004480025,0.6395387337397097,0.6622687483956412,0.6509037410676755,0.0057897183004480025,0.6395387337397097,0.6622687483956412,any,1810,5430,905,0.6646408839779006,0.0054812432016511994,0.6538834419174399,0.6753983260383613,0.6646408839779006,0.0054812432016511994,0.6538834419174399,0.6753983260383613,0.013737142910225097,224
OEQA,AR,all,every,H,781,2343,781,0.22611626723737352,0.009867089563904514,0.20674707172769108,0.24548546274705596,0.17797695262483995,0.00987231881782758,0.15859749203740084,0.19735641321227906,any,1006,3018,1006,0.17778722422418647,0.008229147012762495,0.16163894479325386,0.19393550365511908,0.13817097415506957,0.008012318642918731,0.12244818294294754,0.1538937653671916,-0.04832904301318705,225
OEQA,FS,all,every,H,781,2343,781,0.5163333536572973,0.015224979546047575,0.4864465665202787,0.5462201407943158,0.49722577891591974,0.015417387210468866,0.4669612936090811,0.5274902642227584,any,1006,3018,1006,0.40300498595727224,0.013599051304410926,0.3763191970026407,0.4296907749119038,0.38601722995361165,0.013635786439610114,0.35925935464213055,0.41277510526509276,-0.11332836770002502,225
