scope,tag_basis,task,outcome,term,term_family,reference_groups,effect,standard_error_clustered,ci95_low,ci95_high,p_value,p_value_holm_focal
all,every,BQA,answer_f1,Intercept,adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,1.0628091490428995,0.006655169006138159,1.049760018973013,1.075858279112786,0.0,
all,every,BQA,answer_f1,"C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.007769729413261619,0.0034815157747915197,0.0009433434651789979,0.014596115361344239,0.025707435230993444,
all,every,BQA,answer_f1,"C(model, Treatment(reference=""GPT-5 mini""))[T.Qwen3-30B-A3B-Instruct]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.01800192938668313,0.004321827181158536,0.009527901909019662,0.026475956864346596,3.195978492424774e-05,
all,every,BQA,answer_f1,"C(representation, Treatment(reference=""NL""))[T.AR]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.03341208274390775,0.005585387466755705,-0.0443636374643344,-0.022460528023481096,2.4625469799601958e-09,
all,every,BQA,answer_f1,"C(representation, Treatment(reference=""NL""))[T.FS]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.08014984243171772,0.007432943727938807,0.06557568970643565,0.09472399515699978,1.2582841760363108e-26,
all,every,BQA,answer_f1,"C(dataset, Treatment(reference=""FamilyOWL""))[T.OWL2Bench]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.05922529076521442,0.00528469456228685,-0.06958726153700098,-0.048863319993427856,1.3736955498435687e-28,
all,every,BQA,answer_f1,"C(dataset, Treatment(reference=""FamilyOWL""))[T.Pizza100]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.08843989426654318,0.006992863618252831,-0.10215115942470776,-0.0747286291083786,9.237912484980125e-36,
all,every,BQA,answer_f1,"C(dataset, Treatment(reference=""FamilyOWL""))[T.Pizza250]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.09460250584916471,0.006767744226402037,-0.10787236790805332,-0.0813326437902761,4.5316857121035954e-43,
all,every,BQA,answer_f1,"C(hop, Treatment(reference=""1hop""))[T.2hop]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.10226746860121802,0.0035546661408740496,-0.10923728421138591,-0.09529765299105013,4.784286353384038e-161,
all,every,BQA,answer_f1,"C(bqa_label, Treatment(reference=""FALSE""))[T.TRUE]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.42197170645444027,0.005490330884103364,-0.4327368788741492,-0.41120653403473134,0.0,
all,every,BQA,answer_f1,tag_H,tag_main_association,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.10584214794153889,0.008979745332271794,-0.12344919364198567,-0.0882351022410921,2.2071740002947225e-31,2.869326200383139e-30
all,every,BQA,answer_f1,"tag_H:C(representation, Treatment(reference=""NL""))[T.AR]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.036940223895366976,0.008812939694517925,-0.05422020525508356,-0.01966024253565039,2.84971337493429e-05,0.00019947993624540032
all,every,BQA,answer_f1,"tag_H:C(representation, Treatment(reference=""NL""))[T.FS]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.030028784985356268,0.010660696528647363,-0.05093175762355705,-0.009125812347155485,0.0048824111064595275,0.029294466638757163
all,every,BQA,answer_f1,"tag_H:C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.008259747099124644,0.00633263346347622,-0.02067646524311194,0.004156971044862651,0.19222585456437594,0.5766775636931278
all,every,BQA,answer_f1,"tag_H:C(model, Treatment(reference=""GPT-5 mini""))[T.Qwen3-30B-A3B-Instruct]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.053983642685542156,0.008408859613795654,0.037495961795901075,0.07047132357518324,1.5789545179303406e-10,1.4210590661373067e-09
all,every,BQA,answer_f1,tag_I,tag_main_association,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.055796724021298975,0.009150546882754965,-0.07373866905282775,-0.03785477898977021,1.2134218827071603e-09,9.707375061657283e-09
all,every,BQA,answer_f1,"tag_I:C(representation, Treatment(reference=""NL""))[T.AR]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.11437857847133137,0.00899107439712686,-0.1320078376483597,-0.09674931929430305,3.7604847156754445e-36,5.264678601945622e-35
all,every,BQA,answer_f1,"tag_I:C(representation, Treatment(reference=""NL""))[T.FS]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.07593173313323286,0.010977825033075974,0.054406950425394354,0.09745651584107136,5.6165401239606575e-12,5.616540123960658e-11
all,every,BQA,answer_f1,"tag_I:C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.06457009001599028,0.0057170100283984735,-0.07577972382132432,-0.05336045621065623,5.305213372721092e-29,5.835734709993201e-28
all,every,BQA,answer_f1,"tag_I:C(model, Treatment(reference=""GPT-5 mini""))[T.Qwen3-30B-A3B-Instruct]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.0048702791082109315,0.007171376834104666,-0.018931564253951462,0.009191006037529597,0.49710921838867717,0.9942184367773543
all,every,BQA,answer_f1,tag_R,tag_main_association,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.15224335915331866,0.009383592304611787,-0.17064224825631977,-0.13384447005031755,8.074382188421187e-57,1.211157328263178e-55
all,every,BQA,answer_f1,"tag_R:C(representation, Treatment(reference=""NL""))[T.AR]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.02160996362590912,0.009173384034455046,-0.039596686628167885,-0.00362324062365035,0.01855033001632896,0.0927516500816448
all,every,BQA,answer_f1,"tag_R:C(representation, Treatment(reference=""NL""))[T.FS]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.15423529479344666,0.01336941402142232,0.12802120130268796,0.18044938828420537,3.679126703542166e-30,4.414952044250599e-29
all,every,BQA,answer_f1,"tag_R:C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.004950570427617831,0.007743217967209767,-0.02013309371446604,0.010231952859230377,0.522648541225193,0.9942184367773543
all,every,BQA,answer_f1,"tag_R:C(model, Treatment(reference=""GPT-5 mini""))[T.Qwen3-30B-A3B-Instruct]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.01626938420967971,0.00885744147659033,-0.03363662248835192,0.001097854068992498,0.0663372133343258,0.2653488533373032
all,every,BQA,answer_exact_match,Intercept,adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,1.0628091490428995,0.006655169006138159,1.049760018973013,1.075858279112786,0.0,
all,every,BQA,answer_exact_match,"C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.007769729413261619,0.0034815157747915197,0.0009433434651789979,0.014596115361344239,0.025707435230993444,
all,every,BQA,answer_exact_match,"C(model, Treatment(reference=""GPT-5 mini""))[T.Qwen3-30B-A3B-Instruct]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.01800192938668313,0.004321827181158536,0.009527901909019662,0.026475956864346596,3.195978492424774e-05,
all,every,BQA,answer_exact_match,"C(representation, Treatment(reference=""NL""))[T.AR]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.03341208274390775,0.005585387466755705,-0.0443636374643344,-0.022460528023481096,2.4625469799601958e-09,
all,every,BQA,answer_exact_match,"C(representation, Treatment(reference=""NL""))[T.FS]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.08014984243171772,0.007432943727938807,0.06557568970643565,0.09472399515699978,1.2582841760363108e-26,
all,every,BQA,answer_exact_match,"C(dataset, Treatment(reference=""FamilyOWL""))[T.OWL2Bench]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.05922529076521442,0.00528469456228685,-0.06958726153700098,-0.048863319993427856,1.3736955498435687e-28,
all,every,BQA,answer_exact_match,"C(dataset, Treatment(reference=""FamilyOWL""))[T.Pizza100]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.08843989426654318,0.006992863618252831,-0.10215115942470776,-0.0747286291083786,9.237912484980125e-36,
all,every,BQA,answer_exact_match,"C(dataset, Treatment(reference=""FamilyOWL""))[T.Pizza250]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.09460250584916471,0.006767744226402037,-0.10787236790805332,-0.0813326437902761,4.5316857121035954e-43,
all,every,BQA,answer_exact_match,"C(hop, Treatment(reference=""1hop""))[T.2hop]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.10226746860121802,0.0035546661408740496,-0.10923728421138591,-0.09529765299105013,4.784286353384038e-161,
all,every,BQA,answer_exact_match,"C(bqa_label, Treatment(reference=""FALSE""))[T.TRUE]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.42197170645444027,0.005490330884103364,-0.4327368788741492,-0.41120653403473134,0.0,
all,every,BQA,answer_exact_match,tag_H,tag_main_association,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.10584214794153889,0.008979745332271794,-0.12344919364198567,-0.0882351022410921,2.2071740002947225e-31,2.869326200383139e-30
all,every,BQA,answer_exact_match,"tag_H:C(representation, Treatment(reference=""NL""))[T.AR]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.036940223895366976,0.008812939694517925,-0.05422020525508356,-0.01966024253565039,2.84971337493429e-05,0.00019947993624540032
all,every,BQA,answer_exact_match,"tag_H:C(representation, Treatment(reference=""NL""))[T.FS]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.030028784985356268,0.010660696528647363,-0.05093175762355705,-0.009125812347155485,0.0048824111064595275,0.029294466638757163
all,every,BQA,answer_exact_match,"tag_H:C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.008259747099124644,0.00633263346347622,-0.02067646524311194,0.004156971044862651,0.19222585456437594,0.5766775636931278
all,every,BQA,answer_exact_match,"tag_H:C(model, Treatment(reference=""GPT-5 mini""))[T.Qwen3-30B-A3B-Instruct]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.053983642685542156,0.008408859613795654,0.037495961795901075,0.07047132357518324,1.5789545179303406e-10,1.4210590661373067e-09
all,every,BQA,answer_exact_match,tag_I,tag_main_association,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.055796724021298975,0.009150546882754965,-0.07373866905282775,-0.03785477898977021,1.2134218827071603e-09,9.707375061657283e-09
all,every,BQA,answer_exact_match,"tag_I:C(representation, Treatment(reference=""NL""))[T.AR]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.11437857847133137,0.00899107439712686,-0.1320078376483597,-0.09674931929430305,3.7604847156754445e-36,5.264678601945622e-35
all,every,BQA,answer_exact_match,"tag_I:C(representation, Treatment(reference=""NL""))[T.FS]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.07593173313323286,0.010977825033075974,0.054406950425394354,0.09745651584107136,5.6165401239606575e-12,5.616540123960658e-11
all,every,BQA,answer_exact_match,"tag_I:C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.06457009001599028,0.0057170100283984735,-0.07577972382132432,-0.05336045621065623,5.305213372721092e-29,5.835734709993201e-28
all,every,BQA,answer_exact_match,"tag_I:C(model, Treatment(reference=""GPT-5 mini""))[T.Qwen3-30B-A3B-Instruct]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.0048702791082109315,0.007171376834104666,-0.018931564253951462,0.009191006037529597,0.49710921838867717,0.9942184367773543
all,every,BQA,answer_exact_match,tag_R,tag_main_association,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.15224335915331866,0.009383592304611787,-0.17064224825631977,-0.13384447005031755,8.074382188421187e-57,1.211157328263178e-55
all,every,BQA,answer_exact_match,"tag_R:C(representation, Treatment(reference=""NL""))[T.AR]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.02160996362590912,0.009173384034455046,-0.039596686628167885,-0.00362324062365035,0.01855033001632896,0.0927516500816448
all,every,BQA,answer_exact_match,"tag_R:C(representation, Treatment(reference=""NL""))[T.FS]",representation_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,0.15423529479344666,0.01336941402142232,0.12802120130268796,0.18044938828420537,3.679126703542166e-30,4.414952044250599e-29
all,every,BQA,answer_exact_match,"tag_R:C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.004950570427617831,0.007743217967209767,-0.02013309371446604,0.010231952859230377,0.522648541225193,0.9942184367773543
all,every,BQA,answer_exact_match,"tag_R:C(model, Treatment(reference=""GPT-5 mini""))[T.Qwen3-30B-A3B-Instruct]",model_by_tag_interaction,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; BQA label=FALSE,-0.01626938420967971,0.00885744147659033,-0.03363662248835192,0.001097854068992498,0.0663372133343258,0.2653488533373032
all,every,OEQA,answer_f1,Intercept,adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; gold-answer-set size at task mean,0.5373490708042349,0.013739617092423771,0.5104091012280885,0.5642890403803813,5.708548923821165e-271,
all,every,OEQA,answer_f1,"C(model, Treatment(reference=""GPT-5 mini""))[T.Gemini 2.5 Flash-Lite]",adjustment,model=GPT-5 mini; representation=NL; dataset=FamilyOWL; hop=1hop; gold-answer-set size at task mean,-0.08575001046516514,0.005366182507796516,-0.09627175881722093,-0.07522826211310936,3.0827327458448113e-55,
