model,dataset,task,representation,hop,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
GPT-5 mini,FamilyOWL,BQA,AR,1hop,1254,0.580542264752791,0.580542264752791,0.5930701754385965,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,AR,2hop,1254,0.5318979266347688,0.5318979266347688,0.5458452950558214,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,FS,1hop,1254,0.9577352472089314,0.9577352472089314,0.956993620414673,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,FS,2hop,1254,0.9250398724082934,0.9250398724082934,0.9254465709728867,0,0,0,0,,2
GPT-5 mini,FamilyOWL,BQA,NL,1hop,1254,0.8317384370015949,0.8317384370015949,0.807488038277512,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,NL,2hop,1254,0.6602870813397129,0.6602870813397129,0.6882456140350877,0,0,0,0,,0
GPT-5 mini,FamilyOWL,OEQA,AR,1hop,627,0.12280701754385964,0.15764849185901816,0.4383661952083005,627,460,314,68,0.21656050955414013,0
GPT-5 mini,FamilyOWL,OEQA,AR,2hop,627,0.03189792663476874,0.043581290232007935,0.3525127096897432,627,530,170,98,0.5764705882352941,0
GPT-5 mini,FamilyOWL,OEQA,FS,1hop,627,0.7751196172248804,0.7876129718234981,0.7874534821903243,627,1,1030,141,0.13689320388349516,0
GPT-5 mini,FamilyOWL,OEQA,FS,2hop,627,0.6905901116427432,0.7080681501734133,0.7155892255892256,627,50,873,152,0.17411225658648338,1
GPT-5 mini,FamilyOWL,OEQA,NL,1hop,627,0.2807017543859649,0.46189313079265226,0.653142466252514,627,90,1131,565,0.4995579133510168,0
GPT-5 mini,FamilyOWL,OEQA,NL,2hop,627,0.1419457735247209,0.2565321617953197,0.6801844743950007,627,252,765,435,0.5686274509803921,0
GPT-5 mini,OWL2Bench,BQA,AR,1hop,978,0.778118609406953,0.778118609406953,0.7745194274028631,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,AR,2hop,1062,0.5847457627118644,0.5847457627118644,0.5912711864406779,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,FS,1hop,978,0.7259713701431493,0.7259713701431493,0.7243047034764826,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,FS,2hop,1062,0.7457627118644068,0.7457627118644068,0.7524952919020715,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,NL,1hop,978,0.9079754601226994,0.9079754601226994,0.8932310838445808,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,NL,2hop,1062,0.6610169491525424,0.6610169491525424,0.6599999999999999,0,0,0,0,,0
GPT-5 mini,OWL2Bench,OEQA,AR,1hop,489,0.5725971370143149,0.6136300191514916,0.6266157042230661,489,52,806,148,0.18362282878411912,0
GPT-5 mini,OWL2Bench,OEQA,AR,2hop,531,0.14500941619585686,0.19347605731786524,0.4402557183348144,531,318,286,97,0.33916083916083917,0
GPT-5 mini,OWL2Bench,OEQA,FS,1hop,489,0.7075664621676891,0.7354270133411238,0.7383308988216963,489,14,975,208,0.21333333333333335,0
GPT-5 mini,OWL2Bench,OEQA,FS,2hop,531,0.6177024482109228,0.6497847726661286,0.6688996502555825,531,55,963,246,0.2554517133956386,0
GPT-5 mini,OWL2Bench,OEQA,NL,1hop,489,0.6400817995910021,0.6699435193300224,0.689166423215503,489,7,969,215,0.2218782249742002,1
GPT-5 mini,OWL2Bench,OEQA,NL,2hop,531,0.18267419962335216,0.2905660044078123,0.6522483647342405,531,223,572,267,0.46678321678321677,0
