semantic_key,source_task_id,sampling_group_key,dataset,hop,root,normalized_query,gold_answer,task_type,answer_type,raw_complexity,complexity_bin,sampling_mode,abox_size,abox_bin,source_provenance_key,corrected_explanation_metadata,corrected_provenance_metadata,attribution_evidence,v1_membership,nl_question_sha256,nl_context_sha256,fs_query_sha256,fs_context_sha256,gold_answer_sha256
sem-v1.1-000282db115484afdde13ebbcf7fe39d7aa6bd59931bd8991c06a73f707196e2,1hop-NamedPizza_FourSeasons_233_FourSeasons_233-FourSeasons_233-rdf:type-Food-BIN,"[""BQA"",""Pizza250"",""1hop"",""NamedPizza_FourSeasons_233"",""http://www.example.com/genealogy.owl#FourSeasons_233"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",Pizza250,1hop,NamedPizza_FourSeasons_233,ASK WHERE { <http://www.example.com/genealogy.owl#FourSeasons_233> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> },TRUE,BQA,BIN,3,High,normal-stratified,8,9,NamedPizza_FourSeasons_233||FourSeasons_233|rdf:type|Food,"{""distinct_primitive_reasoning_types"": [""D"", ""H"", ""R""], ""m_status"": ""selection-dependent"", ""maximum_axiom_count"": 3, ""maximum_primitive_tag_count"": 3, ""minimum_axiom_count"": 3, ""minimum_primitive_tag_count"": 3, ""proof_count"": 2}","{""inherited_by_negative"": false, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#FourSeasons_233> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Food> }"", ""positive_task_id"": ""1hop-NamedPizza_FourSeasons_233_FourSeasons_233-FourSeasons_233-rdf:type-Food-BIN"", ""source_explanation_key"": ""NamedPizza_FourSeasons_233||FourSeasons_233|rdf:type|Food""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": true, ""legacy_m_present"": true, ""new_nested_tag"": false}",new,,,a6c52ca47b910820338b40c2aecdb000a9f06030c46555477cf2aba55681682a,,dfe88090c5ed7ac2f32571f0fc822fda4d8cd281fc7138c7cd6db656f6e2d081
sem-v1.1-0004528b020b56cdc8c55a17ed11970932940aeb2cc981d24016934d5d0114f4,1hop-Woman_U0WC0D3UGWS15_U0WC0D3UGWS15-U0WC0D3UGWS15-hasMajor-U0C1D0FP3-NEG-BIN,"[""BQA"",""OWL2Bench"",""1hop"",""Woman_U0WC0D3UGWS15"",""http://www.example.com/genealogy.owl#U0WC0D3UGWS15"",""http://www.example.com/genealogy.owl#hasMajor""]",OWL2Bench,1hop,Woman_U0WC0D3UGWS15,ASK WHERE { <http://www.example.com/genealogy.owl#U0WC0D3UGWS15> <http://www.example.com/genealogy.owl#hasMajor> <http://www.example.com/genealogy.owl#U0C1D0FP3> },FALSE,BQA,BIN,1,Low,normal-stratified,12,21,Woman_U0WC0D3UGWS15||U0WC0D3UGWS15|hasMajor|Astronomy,"{""distinct_primitive_reasoning_types"": [""D""], ""m_status"": ""never"", ""maximum_axiom_count"": 1, ""maximum_primitive_tag_count"": 1, ""minimum_axiom_count"": 1, ""minimum_primitive_tag_count"": 1, ""proof_count"": 1}","{""inherited_by_negative"": true, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#U0WC0D3UGWS15> <http://www.example.com/genealogy.owl#hasMajor> <http://www.example.com/genealogy.owl#Astronomy> }"", ""positive_task_id"": ""1hop-Woman_U0WC0D3UGWS15_U0WC0D3UGWS15-U0WC0D3UGWS15-hasMajor-Astronomy-BIN"", ""source_explanation_key"": ""Woman_U0WC0D3UGWS15||U0WC0D3UGWS15|hasMajor|Astronomy""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": false, ""legacy_m_present"": false, ""new_nested_tag"": false}",new,,,245360552d9761a4c4d203fc4e1da3b5af8f19467a1dcef0528f1ba0aedf0465,,4e523a5ae5b4636c75901b79fafbd3912e41dc7987414e688b09d4b436ff22b3
sem-v1.1-00081461555d825b3bb510708f462282bfdf7e833760b927b701decb67c8c041,2hop-Man_U0C0D1UGS36_U0C0D1UGS36-U0C0D1UGS36-rdf:type-Student-BIN,"[""BQA"",""OWL2Bench"",""2hop"",""Man_U0C0D1UGS36"",""http://www.example.com/genealogy.owl#U0C0D1UGS36"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",OWL2Bench,2hop,Man_U0C0D1UGS36,ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D1UGS36> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Student> },TRUE,BQA,BIN,2,Medium,normal-stratified,222,16,Man_U0C0D1UGS36||U0C0D1UGS36|rdf:type|Student,"{""distinct_primitive_reasoning_types"": [""D"", ""H"", ""R""], ""m_status"": ""selection-dependent"", ""maximum_axiom_count"": 3, ""maximum_primitive_tag_count"": 3, ""minimum_axiom_count"": 2, ""minimum_primitive_tag_count"": 2, ""proof_count"": 4}","{""inherited_by_negative"": false, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#U0C0D1UGS36> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Student> }"", ""positive_task_id"": ""2hop-Man_U0C0D1UGS36_U0C0D1UGS36-U0C0D1UGS36-rdf:type-Student-BIN"", ""source_explanation_key"": ""Man_U0C0D1UGS36||U0C0D1UGS36|rdf:type|Student""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": true, ""legacy_m_present"": true, ""new_nested_tag"": false}",new,,,a0981a2600335df5a7e6a0c5fb059abcdc45bc7ed381741fcd0c792e8876c042,,dfe88090c5ed7ac2f32571f0fc822fda4d8cd281fc7138c7cd6db656f6e2d081
sem-v1.1-001385f5ff6a09de31ac735018671d695a47073f4c91644866993e1e6f716ed0,1hop-Thing_dorothy_archer_1845_dorothy_archer_1845-dorothy_archer_1845-hasFather-MC,"[""OEQA"",""1hop-Thing_dorothy_archer_1845_dorothy_archer_1845-dorothy_archer_1845-hasFather""]",Family,1hop,Thing_dorothy_archer_1845,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#dorothy_archer_1845> <http://www.example.com/genealogy.owl#hasFather> ?x },john_archer_1804,OEQA,MC,2,Low,normal-stratified,508,0,oeqa-source-4d30aebabd5e66f809ebaad3697195a6796e3ae4367beb83452e7b61927fdbe9,"{""answer_count"": 1, ""complete_combination_count"": 1, ""complete_max_axiom_count"": 2, ""complete_max_distinct_primitive_type_count"": 2, ""complete_max_primitive_tag_count"": 2, ""complete_min_axiom_count"": 2, ""complete_min_distinct_primitive_type_count"": 2, ""complete_min_primitive_tag_count"": 2, ""distinct_primitive_reasoning_types"": [""D"", ""I""], ""m_status"": ""never"", ""unique_semantic_union_count"": 1}","{""answers"": [{""answer"": ""john_archer_1804"", ""proof_count"": 1, ""source"": ""inferred.object""}]}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": true, ""legacy_m_present"": false, ""new_nested_tag"": false}",new,,,61e2ad09b5d0fdf81441e2c7b14da0988f03e249d815a708379fbe54f8494abb,,ef42f1e95fab36caaa2d3c466b216a8a2e01f7f058d3bee52c4a1cbddc1a15d1
sem-v1.1-001d918fb191b6d6be417ce379d95d6d94e448f743b6feea1bd6822706acbacd,2hop-NamedPizza_Napoletana_169_Napoletana_169-Napoletana_169-hasTopping-AmericanHot_131-NEG-BIN,"[""BQA"",""Pizza250"",""2hop"",""NamedPizza_Napoletana_169"",""http://www.example.com/genealogy.owl#Napoletana_169"",""http://www.example.com/genealogy.owl#hasTopping""]",Pizza250,2hop,NamedPizza_Napoletana_169,ASK WHERE { <http://www.example.com/genealogy.owl#Napoletana_169> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AmericanHot_131> },FALSE,BQA,BIN,1,Low,normal-stratified,255,363,NamedPizza_Napoletana_169||Napoletana_169|hasTopping|AnchoviesTopping_dynamic_1,"{""distinct_primitive_reasoning_types"": [""D""], ""m_status"": ""never"", ""maximum_axiom_count"": 1, ""maximum_primitive_tag_count"": 1, ""minimum_axiom_count"": 1, ""minimum_primitive_tag_count"": 1, ""proof_count"": 1}","{""inherited_by_negative"": true, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#Napoletana_169> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> }"", ""positive_task_id"": ""2hop-NamedPizza_Napoletana_169_Napoletana_169-Napoletana_169-hasTopping-AnchoviesTopping_dynamic_1-BIN"", ""source_explanation_key"": ""NamedPizza_Napoletana_169||Napoletana_169|hasTopping|AnchoviesTopping_dynamic_1""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": false, ""legacy_m_present"": false, ""new_nested_tag"": false}",new,,,87aa2dd58318f0e6120b6b1fff2b46cce8cb7b00d6057cddd75c45992566e0b1,,4e523a5ae5b4636c75901b79fafbd3912e41dc7987414e688b09d4b436ff22b3
sem-v1.1-0025a2cc3dde7a18c3982b7af40f37880af8dc9431402294255b37b7057df596,1hop-Woman_U0C1D0UGS20_U0C1D0UGS20-U0C1D0UGS20-takesCourse-U0C1D0UGC0-BIN,"[""BQA"",""OWL2Bench"",""1hop"",""Woman_U0C1D0UGS20"",""http://www.example.com/genealogy.owl#U0C1D0UGS20"",""http://www.example.com/genealogy.owl#takesCourse""]",OWL2Bench,1hop,Woman_U0C1D0UGS20,ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0UGS20> <http://www.example.com/genealogy.owl#takesCourse> <http://www.example.com/genealogy.owl#U0C1D0UGC0> },TRUE,BQA,BIN,1,Low,normal-stratified,9,15,Woman_U0C1D0UGS20||U0C1D0UGS20|takesCourse|U0C1D0UGC0,"{""distinct_primitive_reasoning_types"": [""D""], ""m_status"": ""never"", ""maximum_axiom_count"": 1, ""maximum_primitive_tag_count"": 1, ""minimum_axiom_count"": 1, ""minimum_primitive_tag_count"": 1, ""proof_count"": 1}","{""inherited_by_negative"": false, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#U0C1D0UGS20> <http://www.example.com/genealogy.owl#takesCourse> <http://www.example.com/genealogy.owl#U0C1D0UGC0> }"", ""positive_task_id"": ""1hop-Woman_U0C1D0UGS20_U0C1D0UGS20-U0C1D0UGS20-takesCourse-U0C1D0UGC0-BIN"", ""source_explanation_key"": ""Woman_U0C1D0UGS20||U0C1D0UGS20|takesCourse|U0C1D0UGC0""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": false, ""legacy_m_present"": false, ""new_nested_tag"": false}",new,,,2c16f15def1b5c29eb32637a129a2e3b72a417c0cc28e10efe0b7a90d6b68f21,,dfe88090c5ed7ac2f32571f0fc822fda4d8cd281fc7138c7cd6db656f6e2d081
sem-v1.1-002a185644c34f7e3f90eb0a9fff249d2bd768f86421c63c57909507c281e3b3,1hop-Thing_robert_david_bright_1965_robert_david_bright_1965-robert_david_bright_1965-hasMother-margaret_grace_rever_1934-BIN,"[""BQA"",""Family"",""1hop"",""Thing_robert_david_bright_1965"",""http://www.example.com/genealogy.owl#robert_david_bright_1965"",""http://www.example.com/genealogy.owl#hasMother""]",Family,1hop,Thing_robert_david_bright_1965,ASK WHERE { <http://www.example.com/genealogy.owl#robert_david_bright_1965> <http://www.example.com/genealogy.owl#hasMother> <http://www.example.com/genealogy.owl#margaret_grace_rever_1934> },TRUE,BQA,BIN,1,Low,normal-stratified,508,0,Thing_robert_david_bright_1965||robert_david_bright_1965|hasMother|margaret_grace_rever_1934,"{""distinct_primitive_reasoning_types"": [""D""], ""m_status"": ""never"", ""maximum_axiom_count"": 1, ""maximum_primitive_tag_count"": 1, ""minimum_axiom_count"": 1, ""minimum_primitive_tag_count"": 1, ""proof_count"": 1}","{""inherited_by_negative"": false, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#robert_david_bright_1965> <http://www.example.com/genealogy.owl#hasMother> <http://www.example.com/genealogy.owl#margaret_grace_rever_1934> }"", ""positive_task_id"": ""1hop-Thing_robert_david_bright_1965_robert_david_bright_1965-robert_david_bright_1965-hasMother-margaret_grace_rever_1934-BIN"", ""source_explanation_key"": ""Thing_robert_david_bright_1965||robert_david_bright_1965|hasMother|margaret_grace_rever_1934""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": false, ""legacy_m_present"": false, ""new_nested_tag"": false}",new,,,2cc7e3c21843e2f7e0c4173a0201081446d212a46febcb4892ca055b76930c46,,dfe88090c5ed7ac2f32571f0fc822fda4d8cd281fc7138c7cd6db656f6e2d081
sem-v1.1-0037da0da30c7ef96dbed838381917eaaf24612e10569808d2b5b81991b9ca4d,1hop-Thing_hannah_hutchinson_1804_hannah_hutchinson_1804-hannah_hutchinson_1804-rdf:type-Woman-BIN,"[""BQA"",""Family"",""1hop"",""Thing_hannah_hutchinson_1804"",""http://www.example.com/genealogy.owl#hannah_hutchinson_1804"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",Family,1hop,Thing_hannah_hutchinson_1804,ASK WHERE { <http://www.example.com/genealogy.owl#hannah_hutchinson_1804> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Woman> },TRUE,BQA,BIN,2,Medium,normal-stratified,508,0,Thing_hannah_hutchinson_1804||hannah_hutchinson_1804|rdf:type|Woman,"{""distinct_primitive_reasoning_types"": [""D"", ""R""], ""m_status"": ""never"", ""maximum_axiom_count"": 2, ""maximum_primitive_tag_count"": 2, ""minimum_axiom_count"": 2, ""minimum_primitive_tag_count"": 2, ""proof_count"": 1}","{""inherited_by_negative"": false, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#hannah_hutchinson_1804> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Woman> }"", ""positive_task_id"": ""1hop-Thing_hannah_hutchinson_1804_hannah_hutchinson_1804-hannah_hutchinson_1804-rdf:type-Woman-BIN"", ""source_explanation_key"": ""Thing_hannah_hutchinson_1804||hannah_hutchinson_1804|rdf:type|Woman""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": false, ""legacy_m_present"": false, ""new_nested_tag"": false}",new,,,44c9aa4b9c9fc28faf746d091a577505a51e03862318791a38e9b4ab544f67a8,,dfe88090c5ed7ac2f32571f0fc822fda4d8cd281fc7138c7cd6db656f6e2d081
sem-v1.1-003863dd2e1cabc8621927b8241ea0536d58a89f7a379e99dcd770035ff1cf71,2hop-Man_U0C3D1UGS25_U0C3D1UGS25-U0C3D1UGS25-hasMajor-AbstractPainting-NEG-BIN,"[""BQA"",""OWL2Bench"",""2hop"",""Man_U0C3D1UGS25"",""http://www.example.com/genealogy.owl#U0C3D1UGS25"",""http://www.example.com/genealogy.owl#hasMajor""]",OWL2Bench,2hop,Man_U0C3D1UGS25,ASK WHERE { <http://www.example.com/genealogy.owl#U0C3D1UGS25> <http://www.example.com/genealogy.owl#hasMajor> <http://www.example.com/genealogy.owl#AbstractPainting> },FALSE,BQA,BIN,1,Low,normal-stratified,322,23,Man_U0C3D1UGS25||U0C3D1UGS25|hasMajor|BiomedicalEngineering,"{""distinct_primitive_reasoning_types"": [""D""], ""m_status"": ""never"", ""maximum_axiom_count"": 1, ""maximum_primitive_tag_count"": 1, ""minimum_axiom_count"": 1, ""minimum_primitive_tag_count"": 1, ""proof_count"": 1}","{""inherited_by_negative"": true, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#U0C3D1UGS25> <http://www.example.com/genealogy.owl#hasMajor> <http://www.example.com/genealogy.owl#BiomedicalEngineering> }"", ""positive_task_id"": ""2hop-Man_U0C3D1UGS25_U0C3D1UGS25-U0C3D1UGS25-hasMajor-BiomedicalEngineering-BIN"", ""source_explanation_key"": ""Man_U0C3D1UGS25||U0C3D1UGS25|hasMajor|BiomedicalEngineering""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": false, ""legacy_m_present"": false, ""new_nested_tag"": false}",new,,,61662db798c3ad5d8c4dec9e6ddd45bfdad32914fb8fd1f712e6872681c71a2a,,4e523a5ae5b4636c75901b79fafbd3912e41dc7987414e688b09d4b436ff22b3
sem-v1.1-00391b3b7559713438138425f61106db48ccbad5cdad89d0f0d6fa9aad88e559,2hop-CaperTopping_CaperTopping_dynamic_1_CaperTopping_dynamic_1-CaperTopping_dynamic_1-isToppingOf-AnchoviesTopping_dynamic_1-NEG-BIN,"[""BQA"",""Pizza250"",""2hop"",""CaperTopping_CaperTopping_dynamic_1"",""http://www.example.com/genealogy.owl#CaperTopping_dynamic_1"",""http://www.example.com/genealogy.owl#isToppingOf""]",Pizza250,2hop,CaperTopping_CaperTopping_dynamic_1,ASK WHERE { <http://www.example.com/genealogy.owl#CaperTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> },FALSE,BQA,BIN,2,Medium,complexity-fallback,61,76,CaperTopping_CaperTopping_dynamic_1||CaperTopping_dynamic_1|isToppingOf|Capricciosa_101,"{""distinct_primitive_reasoning_types"": [""D"", ""I""], ""m_status"": ""never"", ""maximum_axiom_count"": 2, ""maximum_primitive_tag_count"": 2, ""minimum_axiom_count"": 2, ""minimum_primitive_tag_count"": 2, ""proof_count"": 1}","{""inherited_by_negative"": true, ""positive_query"": ""ASK WHERE { <http://www.example.com/genealogy.owl#CaperTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#Capricciosa_101> }"", ""positive_task_id"": ""2hop-CaperTopping_CaperTopping_dynamic_1_CaperTopping_dynamic_1-CaperTopping_dynamic_1-isToppingOf-Capricciosa_101-BIN"", ""source_explanation_key"": ""CaperTopping_CaperTopping_dynamic_1||CaperTopping_dynamic_1|isToppingOf|Capricciosa_101""}","{""complete_answer_conjunction"": false, ""legacy_duplicate_semantic_tag_surplus"": true, ""legacy_m_present"": false, ""new_nested_tag"": false}",new,,,15d58bdf1c702b31935581695b9e4b31922163aa15fe597a8103436cd6265193,,4e523a5ae5b4636c75901b79fafbd3912e41dc7987414e688b09d4b436ff22b3
