model,dataset,task,representation,hop,complexity_bin,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
GPT-5 mini,FamilyOWL,BQA,AR,1hop,High,90,0.5,0.5,0.5449999999999999,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,AR,1hop,Low,300,0.8366666666666667,0.8366666666666667,0.8489666666666666,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,AR,1hop,Medium,864,0.5,0.5,0.5092245370370371,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,AR,2hop,High,90,0.5,0.5,0.5442222222222222,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,AR,2hop,Low,300,0.6333333333333333,0.6333333333333333,0.6425,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,AR,2hop,Medium,864,0.5,0.5,0.5124537037037037,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,FS,1hop,High,90,0.5111111111111111,0.5111111111111111,0.5167777777777778,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,FS,1hop,Low,300,1.0,1.0,1.0,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,FS,1hop,Medium,864,0.9895833333333334,0.9895833333333334,0.9879166666666666,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,FS,2hop,High,90,0.5111111111111111,0.5111111111111111,0.5257777777777778,0,0,0,0,,1
GPT-5 mini,FamilyOWL,BQA,FS,2hop,Low,300,0.8966666666666666,0.8966666666666666,0.9006333333333333,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,FS,2hop,Medium,864,0.9780092592592593,0.9780092592592593,0.9756944444444444,0,0,0,0,,1
GPT-5 mini,FamilyOWL,BQA,NL,1hop,High,90,0.9111111111111111,0.9111111111111111,0.8065555555555556,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,NL,1hop,Low,300,0.8333333333333334,0.8333333333333334,0.8314666666666667,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,NL,1hop,Medium,864,0.8229166666666666,0.8229166666666666,0.7992592592592593,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,NL,2hop,High,90,0.7111111111111111,0.7111111111111111,0.7514444444444444,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,NL,2hop,Low,300,0.6833333333333333,0.6833333333333333,0.7142333333333334,0,0,0,0,,0
GPT-5 mini,FamilyOWL,BQA,NL,2hop,Medium,864,0.6469907407407407,0.6469907407407407,0.6726388888888889,0,0,0,0,,0
GPT-5 mini,FamilyOWL,OEQA,AR,1hop,High,70,0.12857142857142856,0.18116169544740973,0.4580188383045526,70,44,105,10,0.09523809523809523,0
GPT-5 mini,FamilyOWL,OEQA,AR,1hop,Low,454,0.13656387665198239,0.1642437591776799,0.4455212922173275,454,347,136,33,0.2426470588235294,0
GPT-5 mini,FamilyOWL,OEQA,AR,1hop,Medium,103,0.05825242718446602,0.11259824318076744,0.39347202958853444,103,69,73,25,0.3424657534246575,0
GPT-5 mini,FamilyOWL,OEQA,AR,2hop,High,70,0.02857142857142857,0.06703050917336631,0.3430305091733663,70,40,65,34,0.5230769230769231,0
GPT-5 mini,FamilyOWL,OEQA,AR,2hop,Low,454,0.037444933920704845,0.04221732745961821,0.36466226138032304,454,419,47,18,0.3829787234042553,0
GPT-5 mini,FamilyOWL,OEQA,AR,2hop,Medium,103,0.009708737864077669,0.03365695792880259,0.3054045307443366,103,71,58,46,0.7931034482758621,0
GPT-5 mini,FamilyOWL,OEQA,FS,1hop,High,70,0.44285714285714284,0.44285714285714284,0.44285714285714284,70,0,269,39,0.1449814126394052,0
GPT-5 mini,FamilyOWL,OEQA,FS,1hop,Low,454,0.8964757709251101,0.9126284875183553,0.9126284875183553,454,1,545,46,0.08440366972477065,0
GPT-5 mini,FamilyOWL,OEQA,FS,1hop,Medium,103,0.46601941747572817,0.470873786407767,0.4699029126213592,103,0,216,56,0.25925925925925924,0
GPT-5 mini,FamilyOWL,OEQA,FS,2hop,High,70,0.3,0.3122448979591837,0.3277551020408163,70,9,193,40,0.20725388601036268,0
GPT-5 mini,FamilyOWL,OEQA,FS,2hop,Low,454,0.8237885462555066,0.8441507586882037,0.8499437102300539,454,31,507,56,0.11045364891518737,1
GPT-5 mini,FamilyOWL,OEQA,FS,2hop,Medium,103,0.36893203883495146,0.377253814147018,0.3869625520110957,103,10,173,56,0.3236994219653179,0
GPT-5 mini,FamilyOWL,OEQA,NL,1hop,High,70,0.08571428571428572,0.5589434375148661,0.7463243898958185,70,1,266,80,0.3007518796992481,0
GPT-5 mini,FamilyOWL,OEQA,NL,1hop,Low,454,0.3590308370044053,0.4474197608558842,0.6269572057898049,454,82,634,377,0.5946372239747634,0
GPT-5 mini,FamilyOWL,OEQA,NL,1hop,Medium,103,0.06796116504854369,0.4597318539066112,0.7052334720295885,103,7,231,108,0.4675324675324675,0
GPT-5 mini,FamilyOWL,OEQA,NL,2hop,High,70,0.04285714285714286,0.3666109287537859,0.6824204525633096,70,12,175,70,0.4,0
GPT-5 mini,FamilyOWL,OEQA,NL,2hop,Low,454,0.18061674008810572,0.22870778267254038,0.6843171806167401,454,214,396,256,0.6464646464646465,0
GPT-5 mini,FamilyOWL,OEQA,NL,2hop,Medium,103,0.038834951456310676,0.3043647291220107,0.6604488715168327,103,26,194,109,0.5618556701030928,0
GPT-5 mini,OWL2Bench,BQA,AR,1hop,High,4,0.5,0.5,0.45,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,AR,1hop,Low,532,0.9981203007518797,0.9981203007518797,0.9953007518796992,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,AR,1hop,Medium,442,0.5158371040723982,0.5158371040723982,0.5117194570135747,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,AR,2hop,High,82,0.5,0.5,0.5126829268292683,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,AR,2hop,Low,534,0.649812734082397,0.649812734082397,0.6520411985018727,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,AR,2hop,Medium,446,0.5224215246636771,0.5224215246636771,0.5329596412556054,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,FS,1hop,High,4,1.0,1.0,1.0,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,FS,1hop,Low,532,0.618421052631579,0.618421052631579,0.6190413533834587,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,FS,1hop,Medium,442,0.8529411764705882,0.8529411764705882,0.8485067873303168,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,FS,2hop,High,82,0.524390243902439,0.524390243902439,0.5612195121951219,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,FS,2hop,Low,534,0.7434456928838952,0.7434456928838952,0.7463483146067416,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,FS,2hop,Medium,446,0.7892376681614349,0.7892376681614349,0.7950224215246636,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,NL,1hop,High,4,0.5,0.5,0.525,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,NL,1hop,Low,532,1.0,1.0,0.9876127819548871,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,NL,1hop,Medium,442,0.8009049773755657,0.8009049773755657,0.7829638009049774,0,0,0,0,,0
GPT-5 mini,OWL2Bench,BQA,NL,2hop,High,82,0.5,0.5,0.5225609756097561,0,0,0,0,,0
