input_equivalence_group_id,representation,input_hash,classification_category,classification,semantic_row_count,task_ids,dataset_hop_distribution,identical_gold_semantics,gold_semantics_count,cause
ieq-ar-003cea31e40dadfc372dfc57,AR,003cea31e40dadfc372dfc57fe00779ce939ad6d6bc03901c6e02b81835139c0,4,incidental cross-dataset/hop duplication,2,6118;7601,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""TRUE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-ar-3a190782cf94e88ed1d88956,AR,3a190782cf94e88ed1d8895641322c93376e2edf530d794c360451d07f017f70,4,incidental cross-dataset/hop duplication,2,6114;7597,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""TRUE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-ar-627d978515d1c908da1bdbc1,AR,627d978515d1c908da1bdbc11f718bf380f0cf74bd1c7e4ac739f911581979ef,4,incidental cross-dataset/hop duplication,2,6966;8517,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""TRUE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-ar-715d3689f026b9e9cba797b4,AR,715d3689f026b9e9cba797b43eca06194866ea807a9b977a28b989465695955e,4,incidental cross-dataset/hop duplication,2,6965;8516,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-ar-80e3e1c3a94cbe3a5f925987,AR,80e3e1c3a94cbe3a5f9259873120eae22ee32cfe7d89e7a7300a38f0edff4b88,4,incidental cross-dataset/hop duplication,2,6117;7600,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-ar-9bdb9d66a4220ae503bdf66c,AR,9bdb9d66a4220ae503bdf66c76368290860909aa964ede0c50ca9ee42580c3b5,4,incidental cross-dataset/hop duplication,2,7030;8586,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""Person"",""task_group"":""OEQA""}",1,incidental cross-dataset/hop duplication
ieq-ar-b557faf86fdd295248f1cfff,AR,b557faf86fdd295248f1cfffe59919e5b8031c6ffea214784fb7c6dc4e874639,4,incidental cross-dataset/hop duplication,2,6113;7596,"{""OWL2Bench/1hop"":1,""OWL2Bench/2hop"":1}","{""answer"":""FALSE"",""task_group"":""BQA""}",1,incidental cross-dataset/hop duplication
ieq-fs-01f4b2913b11694360ad5704,FS,01f4b2913b11694360ad5704dc43f91266f93908de95e209bb058ac91ea58e53,4,incidental cross-dataset/hop duplication,2,4146;5240,"{""Pizza100/1hop"":1,""Pizza250/1hop"":1}","{""answer"":""AnchoviesTopping_dynamic_1;CaperTopping_dynamic_1;MozzarellaTopping_dynamic_1;MushroomTopping_dynamic_1;OliveTopping_dynamic_1;PeperoniSausageTopping_dynamic_1;TomatoTopping_dynamic_1"",""task_group"":""OEQA""}",1,incidental cross-dataset/hop duplication
ieq-fs-8131cdeb86bd35046d794f44,FS,8131cdeb86bd35046d794f4430ec2e64a6477d0bf7668c5d73340825367a5fba,4,incidental cross-dataset/hop duplication,2,4247;5360,"{""Pizza100/1hop"":1,""Pizza250/1hop"":1}","{""answer"":""CaperTopping_dynamic_1;MozzarellaTopping_dynamic_1;OliveTopping_dynamic_1;OnionTopping_dynamic_1;PineKernels_dynamic_1;SultanaTopping_dynamic_1;TomatoTopping_dynamic_1"",""task_group"":""OEQA""}",1,incidental cross-dataset/hop duplication
ieq-fs-d0dd80e14c6cca8c901f2b31,FS,d0dd80e14c6cca8c901f2b31e26676c6c1e897b26317a68d92828b6898781786,4,incidental cross-dataset/hop duplication,2,4196;5311,"{""Pizza100/1hop"":1,""Pizza250/1hop"":1}","{""answer"":""DomainConcept;Food;Pizza"",""task_group"":""OEQA""}",1,incidental cross-dataset/hop duplication
