input_equivalence_group_id,representation,input_hash,semantic_row_count,task_ids,semantic_keys,datasets,hops,canonical_gold,classification
ieq-ar-003cea31e40dadfc372dfc57,AR,003cea31e40dadfc372dfc57fe00779ce939ad6d6bc03901c6e02b81835139c0,2,6118;7601,sem-v1.1-18f3d6f0657ff6dea029fe8fe630faac0d8960a8ff98a4393f3d83d4955892d6;sem-v1.1-38cb7e7d26589e7fc13291c73fd4287f9dbce51db7931415cb996728d7659cbc,OWL2Bench,1hop;2hop,TRUE,compatible exact evaluated-input equivalence
ieq-ar-3a190782cf94e88ed1d88956,AR,3a190782cf94e88ed1d8895641322c93376e2edf530d794c360451d07f017f70,2,6114;7597,sem-v1.1-fcd1daea138ba20bd40c83f55cb9cd1ae0c8942270bf618d476ba88e76ba6901;sem-v1.1-b1c2ecbad94aad0e90f095a769977795d3ba77266d47776345a41831cecd4322,OWL2Bench,1hop;2hop,TRUE,compatible exact evaluated-input equivalence
ieq-ar-627d978515d1c908da1bdbc1,AR,627d978515d1c908da1bdbc11f718bf380f0cf74bd1c7e4ac739f911581979ef,2,6966;8517,sem-v1.1-7840290e94abdf061009d348e5438f1c61c3a2a0fe5809d26e93f1ed7fc91679;sem-v1.1-c4b7be094d2698171e5df8ade1cd9eb4d86336c2dd31ab894bf96754673731a0,OWL2Bench,1hop;2hop,TRUE,compatible exact evaluated-input equivalence
ieq-ar-715d3689f026b9e9cba797b4,AR,715d3689f026b9e9cba797b43eca06194866ea807a9b977a28b989465695955e,2,6965;8516,sem-v1.1-cac09abbcc1f5887b7b9571e7e5d9ca6446712e7f9c1773fe4fb733c4e54816f;sem-v1.1-d42debb2a406763f78e93bc463dec7a1c3d9e158dcb9cfa6857dfc7109fd1813,OWL2Bench,1hop;2hop,FALSE,compatible exact evaluated-input equivalence
ieq-ar-80e3e1c3a94cbe3a5f925987,AR,80e3e1c3a94cbe3a5f9259873120eae22ee32cfe7d89e7a7300a38f0edff4b88,2,6117;7600,sem-v1.1-6c357ba80332fa992da2993caad2f367df633174ee967665a1b7b9c32e5ec279;sem-v1.1-620f2c2edc2931e5cdce7795ec40ae4f8c8e714b7a367d3c370a838efe3cd455,OWL2Bench,1hop;2hop,FALSE,compatible exact evaluated-input equivalence
ieq-ar-9bdb9d66a4220ae503bdf66c,AR,9bdb9d66a4220ae503bdf66c76368290860909aa964ede0c50ca9ee42580c3b5,2,7030;8586,sem-v1.1-210e6ae51ad27c60ef322066470d629fbd227e7e6ca2c2af4ba539f9a8aa18f4;sem-v1.1-3d84435ecb7ee8a552cdd33134c75890ed0c2348c53180391902285d708c0070,OWL2Bench,1hop;2hop,Person,compatible exact evaluated-input equivalence
ieq-ar-b557faf86fdd295248f1cfff,AR,b557faf86fdd295248f1cfffe59919e5b8031c6ffea214784fb7c6dc4e874639,2,6113;7596,sem-v1.1-4e53c3124432c59d4e93881cc0efbb2359f2e6c3920b2c987a22ed42d61e0a1e;sem-v1.1-1afce477af044813a96fe93db830c09926dc077baf641481915cf6087f44355b,OWL2Bench,1hop;2hop,FALSE,compatible exact evaluated-input equivalence
ieq-fs-01f4b2913b11694360ad5704,FS,01f4b2913b11694360ad5704dc43f91266f93908de95e209bb058ac91ea58e53,2,4146;5240,sem-v1.1-b1607318de8ee3325f9c0530b586d65ba07710af12ec44d9f4ff5debd0d50169;sem-v1.1-7397fc188ea6f4813ccbeed1f8d6155832fa00c5a18174f54180917d5875ffab,Pizza100;Pizza250,1hop,AnchoviesTopping_dynamic_1;CaperTopping_dynamic_1;MozzarellaTopping_dynamic_1;MushroomTopping_dynamic_1;OliveTopping_dynamic_1;PeperoniSausageTopping_dynamic_1;TomatoTopping_dynamic_1,compatible exact evaluated-input equivalence
ieq-fs-8131cdeb86bd35046d794f44,FS,8131cdeb86bd35046d794f4430ec2e64a6477d0bf7668c5d73340825367a5fba,2,4247;5360,sem-v1.1-579d1bdc0d3c464484429cd669419bd74216d0a0150e75e41730cd26414ecf45;sem-v1.1-3dbb0c5434e785d03c3fef9d0d60d7fa3b35f17abe14e77028198ae94f586458,Pizza100;Pizza250,1hop,CaperTopping_dynamic_1;MozzarellaTopping_dynamic_1;OliveTopping_dynamic_1;OnionTopping_dynamic_1;PineKernels_dynamic_1;SultanaTopping_dynamic_1;TomatoTopping_dynamic_1,compatible exact evaluated-input equivalence
ieq-fs-d0dd80e14c6cca8c901f2b31,FS,d0dd80e14c6cca8c901f2b31e26676c6c1e897b26317a68d92828b6898781786,2,4196;5311,sem-v1.1-49777635b7920babf105d120d15b50cee728ecf22e0a51948aa20302d4bc451d;sem-v1.1-3765f77588b1ac76b70e64f8ed3ce023e5ffb476f3615e69eeffcd12a5666b8a,Pizza100;Pizza250,1hop,DomainConcept;Food;Pizza,compatible exact evaluated-input equivalence
