dataset,hop,task_type,sampling_group_key,raw_complexity,complexity_bin,abox_size,abox_bin,sampling_mode,selected
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Person_john_william_folland"",""http://www.example.com/genealogy.owl#john_william_folland"",""http://www.example.com/genealogy.owl#isMalePartnerIn""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Person_john_william_folland"",""http://www.example.com/genealogy.owl#john_william_folland"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#isFemalePartnerIn""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#isSiblingOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#isSisterOf""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_rachel_heath_1868"",""http://www.example.com/genealogy.owl#ada_rachel_heath_1868"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_steward_1871"",""http://www.example.com/genealogy.owl#ada_steward_1871"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_steward_1871"",""http://www.example.com/genealogy.owl#ada_steward_1871"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_steward_1871"",""http://www.example.com/genealogy.owl#ada_steward_1871"",""http://www.example.com/genealogy.owl#isSisterOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_ada_steward_1871"",""http://www.example.com/genealogy.owl#ada_steward_1871"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alan_john_dowse_1936"",""http://www.example.com/genealogy.owl#alan_john_dowse_1936"",""http://www.example.com/genealogy.owl#hasMother""]",1,Low,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alan_john_dowse_1936"",""http://www.example.com/genealogy.owl#alan_john_dowse_1936"",""http://www.example.com/genealogy.owl#hasParent""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alan_john_dowse_1936"",""http://www.example.com/genealogy.owl#alan_john_dowse_1936"",""http://www.example.com/genealogy.owl#isBrotherOf""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alan_john_dowse_1936"",""http://www.example.com/genealogy.owl#alan_john_dowse_1936"",""http://www.w3.org/1999/02/22-rdf-syntax-ns#type""]",3,High,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alec_john_archer_1927"",""http://www.example.com/genealogy.owl#alec_john_archer_1927"",""http://www.example.com/genealogy.owl#hasFather""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alec_john_archer_1927"",""http://www.example.com/genealogy.owl#alec_john_archer_1927"",""http://www.example.com/genealogy.owl#hasMother""]",2,Medium,508,0,normal-stratified,False
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alec_john_archer_1927"",""http://www.example.com/genealogy.owl#alec_john_archer_1927"",""http://www.example.com/genealogy.owl#isBrotherOf""]",1,Low,508,0,normal-stratified,True
Family,1hop,BQA,"[""BQA"",""Family"",""1hop"",""Thing_alec_john_archer_1927"",""http://www.example.com/genealogy.owl#alec_john_archer_1927"",""http://www.example.com/genealogy.owl#isFatherOf""]",2,Medium,508,0,normal-stratified,False
