"Task ID","Root Entity","Size of ontology TBox","Size of ontology ABox","Task Type","Answer Type","SPARQL Query","Predicate","Answer","Min Tag Length","Max Tag Length"
"1hop-Article_P157_P157-P157-hasAuthor-MC","Article_P157",233,6,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#P157> <http://www.example.com/genealogy.owl#hasAuthor> ?x }","hasAuthor","U0C0D2PD4; U0C2D0VP1; U0C2D2UGS25; U0C3D1L1; U0C4D1L5",1,1
"1hop-Article_P157_P157-P157-rdf:type-Publication-BIN","Article_P157",233,6,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#P157> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Publication> }","rdf:type","TRUE",2,2
"1hop-Article_P157_P157-P157-rdf:type-AeronauticalEngineering-NEG-BIN","Article_P157",233,6,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#P157> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#AeronauticalEngineering> }","rdf:type","FALSE",2,2
"1hop-Article_P157_P157-P157-rdf:type-MC","Article_P157",233,6,"Membership","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#P157> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }","rdf:type","Publication",2,2
"1hop-Article_P157_P157-P157-hasAuthor-U0C0D2PD4-BIN","Article_P157",233,6,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#P157> <http://www.example.com/genealogy.owl#hasAuthor> <http://www.example.com/genealogy.owl#U0C0D2PD4> }","hasAuthor","TRUE",1,1
"1hop-Article_P157_P157-P157-hasAuthor-P157-NEG-BIN","Article_P157",233,6,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#P157> <http://www.example.com/genealogy.owl#hasAuthor> <http://www.example.com/genealogy.owl#P157> }","hasAuthor","FALSE",1,1
"1hop-Article_P16_P16-P16-hasAuthor-MC","Article_P16",233,5,"Property Assertion","MC","SELECT ?x WHERE { <http://www.example.com/genealogy.owl#P16> <http://www.example.com/genealogy.owl#hasAuthor> ?x }","hasAuthor","U0C0D1VP0; U0C0D2VP0; U0C3D0AssocP3; U0C4D2UGS7",1,1
"1hop-Article_P16_P16-P16-hasAuthor-U0C0D1VP0-BIN","Article_P16",233,5,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#P16> <http://www.example.com/genealogy.owl#hasAuthor> <http://www.example.com/genealogy.owl#U0C0D1VP0> }","hasAuthor","TRUE",1,1
"1hop-Article_P16_P16-P16-hasAuthor-P16-NEG-BIN","Article_P16",233,5,"Property Assertion","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#P16> <http://www.example.com/genealogy.owl#hasAuthor> <http://www.example.com/genealogy.owl#P16> }","hasAuthor","FALSE",1,1
"1hop-Article_P16_P16-P16-rdf:type-Publication-BIN","Article_P16",233,5,"Membership","BIN","ASK WHERE { <http://www.example.com/genealogy.owl#P16> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Publication> }","rdf:type","TRUE",2,2
