semantic_key,dataset,hop,task_type,classification,nl_question_byte_identical,nl_context_byte_identical,fs_query_byte_identical,fs_context_byte_identical,gold_answer_byte_identical
sem-v1.1-001385f5ff6a09de31ac735018671d695a47073f4c91644866993e1e6f716ed0,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-002a185644c34f7e3f90eb0a9fff249d2bd768f86421c63c57909507c281e3b3,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0037da0da30c7ef96dbed838381917eaaf24612e10569808d2b5b81991b9ca4d,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-00463a6fdd0bf0deef2e62cb68cabb2059e2fc9d11c77290bca0dfd7c6c40ec3,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-005c04c2b96410fc9d714e1ac5c49acd49db93fda2e696348eab68967e58d6d1,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-00695c75515bb138849ef029618f259825cc41316250fb9d6af5b63483512ab9,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-006c26a450a077698db04275ccb5bae5b8422e0231bdbc595b6bef3abed8400f,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0089e2ef1549ed7b1ff24fe83f8303d517c6018438043a3f89916a97de4e000c,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-009cbe8759ebe86e641d3a95845477e439caae8d22a8e5953de373321ade82b5,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-00b0529c2dfe4d78a7ba949ccbde79df9236f0bb1e44806235a5481b0bff57b9,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-00b073ca784500c93af2edfccfa5b523729e303621bf09e893714db9af94c19d,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-00b362d9b512020d90ce0c5433fcbef6992e2d5a9f435c06da5d49c06a11e400,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-00b70f8541450fb0235470eaa7e66ad29b77e63fc1086d13eb25feb6af776885,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-00bbac884e9b14fe7a543ca271ed2bf64239722558f2461cddf22273e148be94,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-00bbd88833b097350f9cac5da77bbba1a2039d95adac1552e060d2e30b8509e3,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-00d06bae9575bbbed41452e8a3225757d39bd84a443025877313b2f73f71e9b9,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-00d34288be1710e3292e388843e548aa7cbec6bf7f18d13f318fc072ab63ab18,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-00edc78ee765079b140603b8fd6e5e5869cd3472427e578307fd047553d430a2,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-00ef4281d4d5b627b85bb4996f56d024416ac375cd19a2111551acdfc91de9f0,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-00f89d3dbf260a90a3332c757068cd57e4535932f1dff6b465fb7156dd61ffb8,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-011bcefca6218c75ad50bda5751a7a4a6e2613ea482aff135d573669b214adf0,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-0155270c57b6a653321321a5416c13d68d757f5f051ef1c3825cb8a594012fb9,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0186aeb6dfb4d964cb1b0d1e48e863b2d086ef4193a8fa41ef2cd249603be29e,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-019da5dff013e1dc5ae290f85e0760303ef56ad7de68651ef51b83faf8279b11,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-01a42e738c849b23a3da99ebda86719263322a077fafb4017c13d9f962e8cf70,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-01bbaca145960f6c395f3317ef4a2d853dfd183c9e2dc71d2861c286383f5e2c,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-01c02b6e5cf675384250cbd9f5c8815f2517b43eb83734cfac9433e3a9b97099,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-01ec3ec6bd0a2f5108310e9afb664f7bb10d8a0efac60dfbe686775cb3051600,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-01fc7eab4a6ae777f3e1406360855006748a7a20fca9f938b09956fc07d93c99,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0221b2f161bc85d1284746efd5443ebb6cf2e2829c523681352f95129085bc89,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0221c7ccb37d7cf1fa9f2143f9201e2a4a3e827ac5cf1d6344d215097a59be7d,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-025a95f020bcb42ee50021efa42ecfed4eb2456a01bcc29e71efa9dd609431e3,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-025d7f192599bddc7c73d1e6c643bcdee33e4071ec0af79e90902af3f649796b,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-02788e3ebad2bf31d3f2ad8f99b2e22d40da016a910660ba99995716969c1b87,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-027baa86114c716215762b5229098163efcbfa4a62673eebe406d662d804d571,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0284963299bbe3a4654bf23a831f93ef491c28d568b2d98a039227e2345c6716,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-02946d1a4ef941acb679ea6cccfb20d74f6b7ba085d864dcad4b1fbbb089d4d6,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-029abeda6ab40d67884645bbb624f76242a57c25a05edb2eb4afbfde5d0b39f8,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-02a7b4652779bcb5f77330577f9fd4737e82b0e2e5af35061e6fb587af303e10,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-02be60effb91380f411b6715202d7d7cb8626cb5bbbfad5bb5d4ef4304d7af49,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-02c03e5c07ab3d6d445b6714db858464194c26cf0b3a3e30ddaf0f01f0446756,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-02c1cd3896ff99ff4927708355782b4f6b438832ffabb10b2ea1c1a6f2f85d96,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-02e970c8cd948a37fb0074e4e71a8139805f5e0d7fe98f22267ec0becb0523a5,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-030ccb3b34eca96897f99349785de1fd96f6a5a3fabb9194ae25fd63ec3d1c0a,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0310b7950b4534147751eba63eeeecee8efd6e1c7b38584ed3353a138bc932d2,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0313a885b5fa666ad7f94babf99dc88adae0f1e77fe575e42553d4f97cbe5251,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-031b2813ec348177f4ff79d5eb635bd7baf5c2899fc7de2a3072eb902d077e22,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-03292c8e12031aeac57f7959aecaef53c9bbb35879d0b6f0afd860d5b67a100f,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0337ca37ade021e9d2027fcb6f8bcb49c0d104a872514ae5759e8177a4cd6f98,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0350b25a6897799f60cf3237702f4d4804a98e214de6897ccd35d2ae8db98a07,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-035ff706cfea5b69951f215f1ae59954ccf1820064fadbefe03f6f4c87437714,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-039e23b9457af23ba63f097954db52cc87c5bc364790d738812cd36d9b6e93b2,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-03c71104d5c63147c506b827df0edead6b2c76649735492d687098ff9172a655,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-03d2b12dc53a9f919a257f2c0d8ece6d4d0af4388fae9d13dd20e94638488d56,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-03dbeda7c0cdd6acf999b838a0b3068c70fc121c6f3e624dcab380708c15993e,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-03e1257c33ad37e2ba001640248376540aa97aee85fc61696e7b9e3241312376,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-03e865f29439744779bce82eecf1772cda5417daa67c188e923bdf94552cc717,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0444e5d9163432a4e98eecc55fb3281c8eecf4379dfc14688ab5c30c3ab76fda,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-044bc8e0143e8ce3883cd0f67e2c53495c981de5e57c06f5bc965d1b738024ea,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-046d7d796a08c04ea45e00ae4d5b2de445826eb11dd81cd33732d535682e7880,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0472a77ae28ddee68190f377126c27230d47248471b7b32b1bb1ddd5375b5e60,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-047a0e54ac8da1e8ff6d51a1960f02b98161ceeb048988c3296173fe1f14ebbc,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0484b65ee8bd6ea51c444f2c9efea0899e4082a986a49db40c6dde0047aea681,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0492361ddf0a2fe0af4ad77655271c553ec4b036e58a63a5155696ec954a373f,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-04c52603504748b00f65082b12ad1883a10664079da9c8a4814f056a2b2c50cf,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-04ca557e1c66a169f4a2a9f23bd82149447fe7b3c4c061d59b027947325dd114,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-04ebf998dd2fbd2f11521881211ae41d7a970bf6360b05d258533a7b972f24af,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-051d63a4b8b11bded231fe3ece3993dff3f0c55c40a4b300052b33e3cd519f04,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0522b66ecbff52df4a5d7faf07467fd6996456eee0480468b8d66573fada7236,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-053195a87a5c25b2d4563dae749233913607f9fac6b0941b3f544c70fb646fc8,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0555e93d526caa388d95d9291886595b1c0621abbdf987b430699b31fef7c029,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0566811deee18550f9252c29dd3806933c786d935fcbf337e75707c657093e91,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0575c3ba1521557119a865752743a6090e642b868a044b302e9ac51b8f9f4bf3,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-059dea8f4ad3a2ac6434bd38c3470d23ae9542d3fd5176d1cef2aff064087ffa,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-05c2bfb3f069b0d2c4944f5ab215e3a32e4a0b16899f71325ab0acc4b60f6a35,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-05c9bd849f9e1cd65a888f803d1e611507aca9215ede526308fc512a437c3585,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-05e70fb5b7c235bf00108bde3862acd0b79fddea82ab148f5ccd33ccbf53ac39,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-05f89b96c95000e49a44a21c55857560268ed236e78621bd87616f30eef4acaf,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0635099a130848da519275c7e110c8badfe1d9c9f038c415b3ebfce10b2e45c6,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-06497dc6289bfca2c2c5a0c34fe1c8de477479d2f2dc607b7086769f1f5d8672,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0672fb1a8074b2fbf622cc7567674b6197ae3212a48b427f1ab69615f743b518,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-069deab5b9b393f8a45665c83db2604e8d6a58a2ef68c5f0a1370c20c66d3db1,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-06ae858323cdac8a0984b29d919b97734769710a2e053be6c20522065f6bcfe6,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-06bae86525f4e2deb201fa38949790f0341c10539d73938c93ee7c43c45d8246,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-06cba1af6fe4403f10ac579a2574143606824531ab869d8b88a2d40d8dc8d692,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-06d2f26deee04f68aabb3df7350a95477429b58a46c3cf6701105e5e2ee6da8a,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-06f667e0409d61783289315a30d45a9ab91436dacd8519707d6329206f4be40c,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-070747eca32d828d4a1267dd56bb0cea3c233c6038e704be306c5bea974e5c0f,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-07785d682e340d1df921d1c6e68418da888f259fe79eedff61a1acb07c858421,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-077b32e1e6f4a1a4787dc132de80198bd47265c566a141f3da798d50b5efd056,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-07eb6058cc118d8eba2fcb2140e9bbc47b1613eb37ee35301e2ab1f9bd8290f3,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-07f90da5b2a9b3316a2d383a15d1e819bc6fb3008a7af596a1df63c887a8f86e,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0817bafc3fb45ae7367c5a93e0bb97ede2f1693d4564765a28ed54b9964e71ee,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-08233a5eed68b5bd9286552f6b170e2a727790c91caf0372a4dbcf27669ff37c,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-085a6497483bcffeb0533773d4c36f60363ab6a77813731b3259ac26e446c0e6,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-088286ac15ed12377e3aea4851e5b4b17933870ff5d224241a340942fbb01b7d,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-088876073d2651465c069710b74ee0fb785559701d180146b31e8a5a926cf202,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-08a7652b137c4b7c707fdeb4b42e7ea26afce6227f3fe7ea0b106ce82b6a938b,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-08ade3198660efaaab267574e21e85f06edb87753dcb16e40a5862413926ffb7,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-08b37b47fa324730b703b911d60ef8dc475717e9718eb7abab7b85379c8d04e3,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-08cd3ce6982dbeda29e460280f8c56f7100144631e34f44120b05e5471c34c8b,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-08dd4e7a6f222a6dd418ebdcfef3150933ed7a1005aa5792cd0a4d2cf687e6a2,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-08e0abec3227b99729e594dc07f20299fba99991793c38a86177e30a0730da9d,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-090965e26a412a855733d4ce4a47126c50a862624307496366bc2085b5297278,Family,1hop,BQA,retained,True,True,True,True,True
sem-v1.1-090d497eb61ef2ce725ab0ba7b6a68c31bb0c4e6baabb96221353b5b68d51d2c,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-092b97ac4a703d2bb702542c7eaf7f744cf3773bf8f58dc6ac3005f978863b4d,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-093a48a268c88e89ac8d613e1510fbeb7a53e8995df0f3c0d990d6317ca69ae8,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-09586a27eada2623c9e89fb040f7d9407de4e37cfcaac8616cff0aa315855574,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-096b8a7212f9a87251d97de41a4e4a98a2d709d0d331e86312b7be97ae070305,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0979674c5ef0ae9666f2f086c6fb5c00255d5391fef5148e02f7cffb3240227e,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0989fd6a090c3203f822d51594fb3ef106d5dfb7778ac780c34fa6ae96c99f2d,Family,1hop,OEQA,retained,True,True,True,True,True
sem-v1.1-09be1a84614e8022c6d3820f0669abae391fb714a28e88e97deba51e8d5f886f,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-09c0cfe8a13b5e20d940df37b086e5f2f42c9039f05996e2244e18bba5b3da75,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-09cac6f559f30cbd0383b2605b916819e6b3ee5930fda12d3de389eefe53f196,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-09d7e6a3d177c1cc433f58d6e8c56215fce8a6169d788e0ff0dff9b5b9f8ee7c,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-09e3900126cb6c3edf7aeef359cd908d0ec2cf57836733fb448e148419d8ff45,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0a31ad8dbd14ddec80ebd9e22fa4cfdf0ab8e9a33e702f2bc83009de06a45494,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0a3a186156ab9a77cb52915ab3f15ec2fbd501a61b6461ec91e79b6f0bf3f05d,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0a3b1dc40ead04b0f48cc32777fdab73221ba0ce1f15322687273c2387721cc6,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0a447a1cf90cba51bfda0e8900f548d38ee73f6f3e30f8cd8dd2c0ce223706e2,Family,1hop,OEQA,new,False,False,False,False,False
sem-v1.1-0a64b735498041d99c874d6543ce5c4acbadba991b91e193cc134fc493b1d6d5,Family,1hop,BQA,removed,False,False,False,False,False
sem-v1.1-0a6e2bb5a91a68a9f74e59167a783c9c3ebaa3a0a9fbb41b92c00317ef7feb50,Family,1hop,OEQA,removed,False,False,False,False,False
sem-v1.1-0a6e708d072c2f2524ecd4a228447c71311f64041b5c8142a9695fba6afec9b2,Family,1hop,BQA,new,False,False,False,False,False
sem-v1.1-0a7479236a2e139b972b3484b5940aa7d75fe8f56201ae84b21fe3d040a0fd86,Family,1hop,BQA,new,False,False,False,False,False
