scope,tag_basis,task,outcome,formula,cluster_unit,n_observations,n_clusters,design_rank,design_columns,condition_number,tag_question_counts,estimable,status
all,every,BQA,answer_f1,"answer_f1 ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + C(bqa_label, Treatment(reference=""FALSE""))",BQA pair_group_id,54288,3016,25,25,19.891861021762253,"{""H"": 1586, ""I"": 1520, ""R"": 664}",True,estimated
all,every,BQA,answer_exact_match,"answer_exact_match ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + C(bqa_label, Treatment(reference=""FALSE""))",BQA pair_group_id,54288,3016,25,25,19.891861021762253,"{""H"": 1586, ""I"": 1520, ""R"": 664}",True,estimated
all,every,OEQA,answer_f1,"answer_f1 ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + gold_answer_set_size_centered",OEQA question,27144,3016,25,25,55.04821244659973,"{""H"": 781, ""I"": 802, ""R"": 381}",True,estimated
all,every,OEQA,answer_exact_match,"answer_exact_match ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + gold_answer_set_size_centered",OEQA question,27144,3016,25,25,55.04821244659973,"{""H"": 781, ""I"": 802, ""R"": 381}",True,estimated
all,any,BQA,answer_f1,"answer_f1 ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + C(bqa_label, Treatment(reference=""FALSE""))",BQA pair_group_id,54288,3016,25,25,17.817476586730027,"{""H"": 1810, ""I"": 1520, ""R"": 1336}",True,estimated
all,any,BQA,answer_exact_match,"answer_exact_match ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + C(bqa_label, Treatment(reference=""FALSE""))",BQA pair_group_id,54288,3016,25,25,17.817476586730027,"{""H"": 1810, ""I"": 1520, ""R"": 1336}",True,estimated
all,any,OEQA,answer_f1,"answer_f1 ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + gold_answer_set_size_centered",OEQA question,27144,3016,25,25,53.24576587527654,"{""H"": 1006, ""I"": 802, ""R"": 501}",True,estimated
all,any,OEQA,answer_exact_match,"answer_exact_match ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + gold_answer_set_size_centered",OEQA question,27144,3016,25,25,53.24576587527654,"{""H"": 1006, ""I"": 802, ""R"": 501}",True,estimated
exclude_confirmed_defective_ar,every,BQA,answer_f1,"answer_f1 ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + C(bqa_label, Treatment(reference=""FALSE""))",BQA pair_group_id,54288,3016,25,25,19.891861021762253,"{""H"": 1586, ""I"": 1520, ""R"": 664}",True,estimated
exclude_confirmed_defective_ar,every,BQA,answer_exact_match,"answer_exact_match ~ tag_H + tag_I + tag_R + C(model, Treatment(reference=""GPT-5 mini"")) + C(representation, Treatment(reference=""NL"")) + C(dataset, Treatment(reference=""FamilyOWL"")) + C(hop, Treatment(reference=""1hop"")) + tag_H:C(representation, Treatment(reference=""NL"")) + tag_I:C(representation, Treatment(reference=""NL"")) + tag_R:C(representation, Treatment(reference=""NL"")) + tag_H:C(model, Treatment(reference=""GPT-5 mini"")) + tag_I:C(model, Treatment(reference=""GPT-5 mini"")) + tag_R:C(model, Treatment(reference=""GPT-5 mini"")) + C(bqa_label, Treatment(reference=""FALSE""))",BQA pair_group_id,54288,3016,25,25,19.891861021762253,"{""H"": 1586, ""I"": 1520, ""R"": 664}",True,estimated
