tag,task,model,n,answer_exact_match,answer_f1,confidence_correctness_alignment,oeqa_n,oeqa_empty_predictions,oeqa_generated_answers,oeqa_unsupported_answers,oeqa_hallucination_rate,malformed_accepted
D,ALL,GPT-5 mini,27144,0.5984748010610079,0.6168327823374684,0.6654847895707896,9048,2768,14391,4132,0.28712389687999446,7
D,ALL,Gemini 2.5 Flash-Lite,27144,0.5721338048924256,0.59266864899571,0.6303350454983134,9048,658,23213,13252,0.5708870029724723,5
D,ALL,Qwen3-30B-A3B-Instruct,27144,0.6054008252284114,0.6290549287980084,0.6398757122810775,9048,15,40159,29473,0.7339077168256182,58
D,BQA,GPT-5 mini,18096,0.7100464190981433,0.7100464190981433,0.7105548187444739,0,0,0,0,,2
D,BQA,Gemini 2.5 Flash-Lite,18096,0.6988284703801945,0.6988284703801945,0.70144783377542,0,0,0,0,,0
D,BQA,Qwen3-30B-A3B-Instruct,18096,0.7392241379310345,0.7392241379310345,0.7375828912466843,0,0,0,0,,0
D,OEQA,GPT-5 mini,9048,0.3753315649867374,0.4304055088161188,0.5753447312234211,9048,2768,14391,4132,0.28712389687999446,5
D,OEQA,Gemini 2.5 Flash-Lite,9048,0.3187444739168877,0.3803490062267411,0.4881094689441004,9048,658,23213,13252,0.5708870029724723,5
D,OEQA,Qwen3-30B-A3B-Instruct,9048,0.33775419982316535,0.4087165105319562,0.4444613543498639,9048,15,40159,29473,0.7339077168256182,58
H,ALL,GPT-5 mini,9843,0.45504419384334044,0.477931735315155,0.5282776481084924,3711,1189,5106,2834,0.5550332941637289,5
H,ALL,Gemini 2.5 Flash-Lite,9843,0.4592095905719801,0.4793813146150347,0.5284342230553251,3711,307,7383,4440,0.6013815522145469,1
H,ALL,Qwen3-30B-A3B-Instruct,9843,0.5015747231535101,0.5168649479928367,0.5354822394690127,3711,13,15868,12879,0.8116334761784724,29
H,BQA,GPT-5 mini,6132,0.6431833007175473,0.6431833007175473,0.6372276581865624,0,0,0,0,,1
H,BQA,Gemini 2.5 Flash-Lite,6132,0.633235485975212,0.633235485975212,0.6359752120026093,0,0,0,0,,0
H,BQA,Qwen3-30B-A3B-Instruct,6132,0.6961839530332681,0.6961839530332681,0.694781474233529,0,0,0,0,,0
H,OEQA,GPT-5 mini,3711,0.1441659929938022,0.20487256014741867,0.3482503072842604,3711,1189,5106,2834,0.5550332941637289,4
H,OEQA,Gemini 2.5 Flash-Lite,3711,0.17165184586364862,0.2251550201443779,0.3507351273332159,3711,307,7383,4440,0.6013815522145469,1
H,OEQA,Qwen3-30B-A3B-Instruct,3711,0.18000538938291566,0.22056094936499365,0.27225860498342536,3711,13,15868,12879,0.8116334761784724,29
T,ALL,GPT-5 mini,3,0.0,0.48888888888888893,0.5555555555555555,3,1,7,3,0.42857142857142855,0
T,ALL,Gemini 2.5 Flash-Lite,3,0.0,0.2222222222222222,0.2222222222222222,3,0,51,50,0.9803921568627451,0
T,ALL,Qwen3-30B-A3B-Instruct,3,0.0,0.2222222222222222,0.2222222222222222,3,0,7,6,0.8571428571428571,0
T,OEQA,GPT-5 mini,3,0.0,0.48888888888888893,0.5555555555555555,3,1,7,3,0.42857142857142855,0
T,OEQA,Gemini 2.5 Flash-Lite,3,0.0,0.2222222222222222,0.2222222222222222,3,0,51,50,0.9803921568627451,0
T,OEQA,Qwen3-30B-A3B-Instruct,3,0.0,0.2222222222222222,0.2222222222222222,3,0,7,6,0.8571428571428571,0
S,ALL,GPT-5 mini,168,0.8392857142857143,0.8640873015873015,0.8715873015873017,48,5,60,7,0.11666666666666667,0
S,ALL,Gemini 2.5 Flash-Lite,168,0.7380952380952381,0.7658730158730158,0.773015873015873,48,1,53,25,0.4716981132075472,0
S,ALL,Qwen3-30B-A3B-Instruct,168,0.7083333333333334,0.763888888888889,0.7665674603174603,48,0,81,30,0.37037037037037035,0
S,BQA,GPT-5 mini,120,0.875,0.875,0.8675833333333334,0,0,0,0,,0
S,BQA,Gemini 2.5 Flash-Lite,120,0.875,0.875,0.8674999999999999,0,0,0,0,,0
