task,representation,scope_all,tag_basis_all,tag,n_unique_questions_all,n_observations_all,n_clusters_all,answer_f1_mean_all,answer_f1_se_clustered_all,answer_f1_ci95_low_all,answer_f1_ci95_high_all,answer_exact_match_mean_all,answer_exact_match_se_clustered_all,answer_exact_match_ci95_low_all,answer_exact_match_ci95_high_all,scope_without_defective,tag_basis_without_defective,n_unique_questions_without_defective,n_observations_without_defective,n_clusters_without_defective,answer_f1_mean_without_defective,answer_f1_se_clustered_without_defective,answer_f1_ci95_low_without_defective,answer_f1_ci95_high_without_defective,answer_exact_match_mean_without_defective,answer_exact_match_se_clustered_without_defective,answer_exact_match_ci95_low_without_defective,answer_exact_match_ci95_high_without_defective,answer_f1_mean_change,absolute_f1_mean_change,answer_exact_match_mean_change
BQA,AR,all,every,D,6032,18096,3016,0.6303603006189213,0.0032650864809070576,0.6239582786508109,0.6367623225870318,0.6303603006189213,0.0032650864809070576,0.6239582786508109,0.6367623225870318,exclude_confirmed_defective_ar,every,6032,18096,3016,0.6303603006189213,0.0032650864809070576,0.6239582786508109,0.6367623225870318,0.6303603006189213,0.0032650864809070576,0.6239582786508109,0.6367623225870318,0.0,0.0,0.0
BQA,FS,all,every,D,6032,18096,3016,0.813052608311229,0.0033829308793663724,0.8064195228070784,0.8196856938153797,0.813052608311229,0.0033829308793663724,0.8064195228070784,0.8196856938153797,exclude_confirmed_defective_ar,every,6032,18096,3016,0.813052608311229,0.0033829308793663724,0.8064195228070784,0.8196856938153797,0.813052608311229,0.0033829308793663724,0.8064195228070784,0.8196856938153797,0.0,0.0,0.0
BQA,NL,all,every,D,6032,18096,3016,0.7046861184792219,0.0035849124502615824,0.6976569973841042,0.7117152395743396,0.7046861184792219,0.0035849124502615824,0.6976569973841042,0.7117152395743396,exclude_confirmed_defective_ar,every,6032,18096,3016,0.7046861184792219,0.0035849124502615824,0.6976569973841042,0.7117152395743396,0.7046861184792219,0.0035849124502615824,0.6976569973841042,0.7117152395743396,0.0,0.0,0.0
OEQA,AR,all,every,D,3016,9048,3016,0.3186048365022264,0.0072168178171862045,0.30445445289810147,0.3327552201063513,0.2625994694960212,0.007295799228481977,0.24829422300138948,0.2769047159906529,exclude_confirmed_defective_ar,every,3013,9039,3013,0.31870080326055367,0.007221531737903626,0.30454117116721124,0.3328604353538961,0.26263967253014714,0.007300792160365678,0.24832463041267716,0.2769547146476171,9.596675832729273e-05,9.596675832729273e-05,4.020303412594073e-05
OEQA,FS,all,every,D,3016,9048,3016,0.5935001435399113,0.007445992842914832,0.5789004047478499,0.6080998823319728,0.5543766578249337,0.007822405169620184,0.5390388681424206,0.5697144475074468,exclude_confirmed_defective_ar,every,3016,9048,3016,0.5935001435399113,0.007445992842914832,0.5789004047478499,0.6080998823319728,0.5543766578249337,0.007822405169620184,0.5390388681424206,0.5697144475074468,0.0,0.0,0.0
OEQA,NL,all,every,D,3016,9048,3016,0.3073660455326783,0.006513304943789905,0.29459507558165837,0.3201370154836983,0.21485411140583555,0.006385510496002252,0.20233371456120136,0.22737450825046973,exclude_confirmed_defective_ar,every,3016,9048,3016,0.3073660455326783,0.006513304943789905,0.29459507558165837,0.3201370154836983,0.21485411140583555,0.006385510496002252,0.20233371456120136,0.22737450825046973,0.0,0.0,0.0
BQA,AR,all,every,H,1586,4758,793,0.5798654897015553,0.004578212870543573,0.5708786236533938,0.5888523557497167,0.5798654897015553,0.004578212870543573,0.5708786236533938,0.5888523557497167,exclude_confirmed_defective_ar,every,1586,4758,793,0.5798654897015553,0.004578212870543573,0.5708786236533938,0.5888523557497167,0.5798654897015553,0.004578212870543573,0.5708786236533938,0.5888523557497167,0.0,0.0,0.0
BQA,FS,all,every,H,1586,4758,793,0.7021857923497268,0.007521111967752027,0.6874221219615942,0.7169494627378593,0.7021857923497268,0.007521111967752027,0.6874221219615942,0.7169494627378593,exclude_confirmed_defective_ar,every,1586,4758,793,0.7021857923497268,0.007521111967752027,0.6874221219615942,0.7169494627378593,0.7021857923497268,0.007521111967752027,0.6874221219615942,0.7169494627378593,0.0,0.0,0.0
BQA,NL,all,every,H,1586,4758,793,0.6509037410676755,0.0057897183004480025,0.6395387337397097,0.6622687483956412,0.6509037410676755,0.0057897183004480025,0.6395387337397097,0.6622687483956412,exclude_confirmed_defective_ar,every,1586,4758,793,0.6509037410676755,0.0057897183004480025,0.6395387337397097,0.6622687483956412,0.6509037410676755,0.0057897183004480025,0.6395387337397097,0.6622687483956412,0.0,0.0,0.0
OEQA,AR,all,every,H,781,2343,781,0.22611626723737352,0.009867089563904514,0.20674707172769108,0.24548546274705596,0.17797695262483995,0.00987231881782758,0.15859749203740084,0.19735641321227906,exclude_confirmed_defective_ar,every,780,2340,780,0.22640615988767784,0.009875482927381616,0.20702044944775005,0.24579187032760563,0.1782051282051282,0.009882343152435037,0.1588059510479354,0.19760430536232101,0.0002898926503043242,0.0002898926503043242,0.00022817558028825902
OEQA,FS,all,every,H,781,2343,781,0.5163333536572973,0.015224979546047575,0.4864465665202787,0.5462201407943158,0.49722577891591974,0.015417387210468866,0.4669612936090811,0.5274902642227584,exclude_confirmed_defective_ar,every,781,2343,781,0.5163333536572973,0.015224979546047575,0.4864465665202787,0.5462201407943158,0.49722577891591974,0.015417387210468866,0.4669612936090811,0.5274902642227584,0.0,0.0,0.0
OEQA,NL,all,every,H,781,2343,781,0.17756802723749499,0.008805524360507013,0.16028269484040655,0.19485335963458342,0.09475032010243278,0.0076026413293953645,0.07982625912727533,0.10967438107759024,exclude_confirmed_defective_ar,every,781,2343,781,0.17756802723749499,0.008805524360507013,0.16028269484040655,0.19485335963458342,0.09475032010243278,0.0076026413293953645,0.07982625912727533,0.10967438107759024,0.0,0.0,0.0
BQA,AR,all,every,I,1520,4560,760,0.5506578947368421,0.0034612735031306907,0.5438630880647369,0.5574527014089473,0.5506578947368421,0.0034612735031306907,0.5438630880647369,0.5574527014089473,exclude_confirmed_defective_ar,every,1520,4560,760,0.5506578947368421,0.0034612735031306907,0.5438630880647369,0.5574527014089473,0.5506578947368421,0.0034612735031306907,0.5438630880647369,0.5574527014089473,0.0,0.0,0.0
BQA,FS,all,every,I,1520,4560,760,0.8763157894736842,0.005049340070043871,0.8664034581983228,0.8862281207490456,0.8763157894736842,0.005049340070043871,0.8664034581983228,0.8862281207490456,exclude_confirmed_defective_ar,every,1520,4560,760,0.8763157894736842,0.005049340070043871,0.8664034581983228,0.8862281207490456,0.8763157894736842,0.005049340070043871,0.8664034581983228,0.8862281207490456,0.0,0.0,0.0
BQA,NL,all,every,I,1520,4560,760,0.7013157894736842,0.006887677854625474,0.6877946275661986,0.7148369513811699,0.7013157894736842,0.006887677854625474,0.6877946275661986,0.7148369513811699,exclude_confirmed_defective_ar,every,1520,4560,760,0.7013157894736842,0.006887677854625474,0.6877946275661986,0.7148369513811699,0.7013157894736842,0.006887677854625474,0.6877946275661986,0.7148369513811699,0.0,0.0,0.0
OEQA,AR,all,every,I,802,2406,802,0.12665705557598556,0.007632480574661777,0.11167503028572968,0.1416390808662414,0.04530340814630091,0.005425464734228295,0.034653600516334995,0.05595321577626683,exclude_confirmed_defective_ar,every,801,2403,801,0.12598288627375004,0.007612145302948366,0.11104074943449442,0.14092502311300564,0.04452767374115689,0.0053764289704522576,0.033974099921182645,0.055081247561131134,-0.0006741693022355166,0.0006741693022355166,-0.0007757344051440226
OEQA,FS,all,every,I,802,2406,802,0.6403303263342068,0.012797938807857559,0.615208867981728,0.6654517846866856,0.571072319201995,0.014042205643070307,0.5435084521187465,0.5986361862852434,exclude_confirmed_defective_ar,every,802,2406,802,0.6403303263342068,0.012797938807857559,0.615208867981728,0.6654517846866856,0.571072319201995,0.014042205643070307,0.5435084521187465,0.5986361862852434,0.0,0.0,0.0
OEQA,NL,all,every,I,802,2406,802,0.3189348812636297,0.012786242288660583,0.29383638235987836,0.344033380167381,0.1974231088944306,0.012208050330356105,0.1734595603462292,0.221386657442632,exclude_confirmed_defective_ar,every,802,2406,802,0.3189348812636297,0.012786242288660583,0.29383638235987836,0.344033380167381,0.1974231088944306,0.012208050330356105,0.1734595603462292,0.221386657442632,0.0,0.0,0.0
BQA,AR,all,every,N,78,234,39,0.5,0.013690668280281783,0.47228469103334286,0.5277153089666572,0.5,0.013690668280281783,0.47228469103334286,0.5277153089666572,exclude_confirmed_defective_ar,every,78,234,39,0.5,0.013690668280281783,0.47228469103334286,0.5277153089666572,0.5,0.013690668280281783,0.47228469103334286,0.5277153089666572,0.0,0.0,0.0
BQA,FS,all,every,N,78,234,39,0.5641025641025641,0.013153568616476333,0.5374745565607538,0.5907305716443744,0.5641025641025641,0.013153568616476333,0.5374745565607538,0.5907305716443744,exclude_confirmed_defective_ar,every,78,234,39,0.5641025641025641,0.013153568616476333,0.5374745565607538,0.5907305716443744,0.5641025641025641,0.013153568616476333,0.5374745565607538,0.5907305716443744,0.0,0.0,0.0
BQA,NL,all,every,N,78,234,39,0.6538461538461539,0.007204506242936106,0.6392613934540866,0.6684309142382211,0.6538461538461539,0.007204506242936106,0.6392613934540866,0.6684309142382211,exclude_confirmed_defective_ar,every,78,234,39,0.6538461538461539,0.007204506242936106,0.6392613934540866,0.6684309142382211,0.6538461538461539,0.007204506242936106,0.6392613934540866,0.6684309142382211,0.0,0.0,0.0
OEQA,AR,all,every,N,42,126,42,0.00031746031746031665,0.00031746031746031665,0.0,0.0009585844350607517,0.0,0.0,0.0,0.0,exclude_confirmed_defective_ar,every,42,126,42,0.00031746031746031665,0.00031746031746031665,0.0,0.0009585844350607517,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OEQA,FS,all,every,N,42,126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,exclude_confirmed_defective_ar,every,42,126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OEQA,NL,all,every,N,42,126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,exclude_confirmed_defective_ar,every,42,126,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BQA,AR,all,every,R,664,1992,332,0.517570281124498,0.004643722884598066,0.5084353500765532,0.5267052121724428,0.517570281124498,0.004643722884598066,0.5084353500765532,0.5267052121724428,exclude_confirmed_defective_ar,every,664,1992,332,0.517570281124498,0.004643722884598066,0.5084353500765532,0.5267052121724428,0.517570281124498,0.004643722884598066,0.5084353500765532,0.5267052121724428,0.0,0.0,0.0
BQA,FS,all,every,R,664,1992,332,0.8609437751004017,0.0076560606870948525,0.845883103261551,0.8760044469392523,0.8609437751004017,0.0076560606870948525,0.845883103261551,0.8760044469392523,exclude_confirmed_defective_ar,every,664,1992,332,0.8609437751004017,0.0076560606870948525,0.845883103261551,0.8760044469392523,0.8609437751004017,0.0076560606870948525,0.845883103261551,0.8760044469392523,0.0,0.0,0.0
BQA,NL,all,every,R,664,1992,332,0.6054216867469879,0.007340529755277172,0.5909817137261499,0.6198616597678259,0.6054216867469879,0.007340529755277172,0.5909817137261499,0.6198616597678259,exclude_confirmed_defective_ar,every,664,1992,332,0.6054216867469879,0.007340529755277172,0.5909817137261499,0.6198616597678259,0.6054216867469879,0.007340529755277172,0.5909817137261499,0.6198616597678259,0.0,0.0,0.0
OEQA,AR,all,every,R,381,1143,381,0.020071859704405635,0.005644991137419525,0.00897252912137572,0.03117119028743555,0.006124234470691163,0.0035983210161052315,0.0,0.0131993482360377,exclude_confirmed_defective_ar,every,380,1140,380,0.020124680387838285,0.005659618194641804,0.008996495887951733,0.031252864887724836,0.0061403508771929825,0.003607766587433459,0.0,0.01323409657464927,5.282068343264931e-05,5.282068343264931e-05,1.6116406501819232e-05
OEQA,FS,all,every,R,381,1143,381,0.01621463983668708,0.0041241823108187515,0.00810556371271874,0.02432371596065542,0.0008748906386701663,0.0008748906386701658,0.0,0.002595123706571379,exclude_confirmed_defective_ar,every,381,1143,381,0.01621463983668708,0.0041241823108187515,0.00810556371271874,0.02432371596065542,0.0008748906386701663,0.0008748906386701658,0.0,0.002595123706571379,0.0,0.0,0.0
OEQA,NL,all,every,R,381,1143,381,0.1631165422504005,0.009400559904574416,0.14463291322310248,0.18160017127769854,0.009623797025371828,0.003984052750623615,0.0017902473416046647,0.01745734670913899,exclude_confirmed_defective_ar,every,381,1143,381,0.1631165422504005,0.009400559904574416,0.14463291322310248,0.18160017127769854,0.009623797025371828,0.003984052750623615,0.0017902473416046647,0.01745734670913899,0.0,0.0,0.0
BQA,AR,all,every,S,40,120,20,0.7333333333333333,0.028097574347450822,0.6745244343535941,0.7921422323130725,0.7333333333333333,0.028097574347450822,0.6745244343535941,0.7921422323130725,exclude_confirmed_defective_ar,every,40,120,20,0.7333333333333333,0.028097574347450822,0.6745244343535941,0.7921422323130725,0.7333333333333333,0.028097574347450822,0.6745244343535941,0.7921422323130725,0.0,0.0,0.0
BQA,FS,all,every,S,40,120,20,0.975,0.013652967031818753,0.9464240115883603,1.0,0.975,0.013652967031818753,0.9464240115883603,1.0,exclude_confirmed_defective_ar,every,40,120,20,0.975,0.013652967031818753,0.9464240115883603,1.0,0.975,0.013652967031818753,0.9464240115883603,1.0,0.0,0.0,0.0
BQA,NL,all,every,S,40,120,20,0.8166666666666667,0.03991950965958861,0.7331141727089647,0.9002191606243686,0.8166666666666667,0.03991950965958861,0.7331141727089647,0.9002191606243686,exclude_confirmed_defective_ar,every,40,120,20,0.8166666666666667,0.03991950965958861,0.7331141727089647,0.9002191606243686,0.8166666666666667,0.03991950965958861,0.7331141727089647,0.9002191606243686,0.0,0.0,0.0
OEQA,AR,all,every,S,16,48,16,0.6298611111111111,0.0872341272248132,0.44392597028051883,0.8157962519417034,0.5,0.09128709291752768,0.3054261672855039,0.6945738327144961,exclude_confirmed_defective_ar,every,16,48,16,0.6298611111111111,0.0872341272248132,0.44392597028051883,0.8157962519417034,0.5,0.09128709291752768,0.3054261672855039,0.6945738327144961,0.0,0.0,0.0
OEQA,FS,all,every,S,16,48,16,0.7180555555555556,0.04059580701655163,0.6315276411385126,0.8045834699725986,0.6041666666666666,0.0625,0.47095107006920894,0.7373822632641243,exclude_confirmed_defective_ar,every,16,48,16,0.7180555555555556,0.04059580701655163,0.6315276411385126,0.8045834699725986,0.6041666666666666,0.0625,0.47095107006920894,0.7373822632641243,0.0,0.0,0.0
OEQA,NL,all,every,S,16,48,16,0.7180555555555554,0.08562812578776863,0.5355435257581195,0.9005675853529914,0.5833333333333334,0.11180339887498948,0.34503002960924933,0.8216366370574174,exclude_confirmed_defective_ar,every,16,48,16,0.7180555555555554,0.08562812578776863,0.5355435257581195,0.9005675853529914,0.5833333333333334,0.11180339887498948,0.34503002960924933,0.8216366370574174,0.0,0.0,0.0
OEQA,AR,all,every,T,1,3,1,0.0,,,,0.0,,,,exclude_confirmed_defective_ar,every,1,3,1,0.0,,,,0.0,,,,0.0,0.0,0.0
OEQA,FS,all,every,T,1,3,1,0.4444444444444444,,,,0.0,,,,exclude_confirmed_defective_ar,every,1,3,1,0.4444444444444444,,,,0.0,,,,0.0,0.0,0.0
OEQA,NL,all,every,T,1,3,1,0.48888888888888893,,,,0.0,,,,exclude_confirmed_defective_ar,every,1,3,1,0.48888888888888893,,,,0.0,,,,0.0,0.0,0.0
