source_path,dataset_hop,representation_directory,model_key,provider,model_id,max_workers,batch_size,checkpoint_frequency,max_api_calls,limit_questions
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/abs/run_config.json,FamilyOWL_1hop,abs,openai_gpt_5_mini_2025_08_07,openai,gpt-5-mini-2025-08-07,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/nl/run_config.json,FamilyOWL_1hop,nl,openai_gpt_5_mini_2025_08_07,openai,gpt-5-mini-2025-08-07,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openai_gpt_5_mini_2025_08_07/sparql/run_config.json,FamilyOWL_1hop,sparql,openai_gpt_5_mini_2025_08_07,openai,gpt-5-mini-2025-08-07,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/abs/run_config.json,FamilyOWL_1hop,abs,openrouter_google_gemini_2_5_flash_lite,openrouter,google/gemini-2.5-flash-lite,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/abs/run_config.json,FamilyOWL_1hop,abs,openrouter_qwen_qwen3_30b_a3b_instruct_2507,openrouter,qwen/qwen3-30b-a3b-instruct-2507,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/run_config.json,FamilyOWL_1hop,nl,openrouter_google_gemini_2_5_flash_lite,openrouter,google/gemini-2.5-flash-lite,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/nl/run_config.json,FamilyOWL_1hop,nl,openrouter_qwen_qwen3_30b_a3b_instruct_2507,openrouter,qwen/qwen3-30b-a3b-instruct-2507,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/run_config.json,FamilyOWL_1hop,sparql,openrouter_google_gemini_2_5_flash_lite,openrouter,google/gemini-2.5-flash-lite,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_1hop/openrouter_google_gemini_2_5_flash_lite__openrouter_qwen_qwen3_30b_a3b_instruct_2507/sparql/run_config.json,FamilyOWL_1hop,sparql,openrouter_qwen_qwen3_30b_a3b_instruct_2507,openrouter,qwen/qwen3-30b-a3b-instruct-2507,1,5,5,0,
data/output/final_benchmark_llm_results/FamilyOWL_2hop/openai_gpt_5_mini_2025_08_07/abs/run_config.json,FamilyOWL_2hop,abs,openai_gpt_5_mini_2025_08_07,openai,gpt-5-mini-2025-08-07,1,5,5,0,
