task_id,representation,input_hash,gold_semantics
1,NL,c103b72c49f4c4452dfb0c1c186547e256a70274dd629c845b4c9758e5a21b3b,"{""answer"":""FALSE"",""task_group"":""BQA""}"
1,FS,f6b0335dbb42248171cf91a13f6e428438558455710703d9531f46c35171f5c0,"{""answer"":""FALSE"",""task_group"":""BQA""}"
1,AR,d6593d9ce4754d15c2de71feb25c8c74f88ad0a81a2f7811d69fa11084c083ce,"{""answer"":""FALSE"",""task_group"":""BQA""}"
2,NL,d22a93c7628e4793b4f8ca4c5435e5db074f7be39dd745493f6af30e6b42830c,"{""answer"":""TRUE"",""task_group"":""BQA""}"
2,FS,6d384fd325caf7ad8c075079ff9736b20f63a7c69fb56696accc3df902a0fd4e,"{""answer"":""TRUE"",""task_group"":""BQA""}"
2,AR,9e33fe30b6127733d7442874898af246f18883898b406fe7d804c164b5436717,"{""answer"":""TRUE"",""task_group"":""BQA""}"
3,NL,69f676d9372094c025b83c231644f94943b1b15169c09deddb23b74e99d76722,"{""answer"":""FALSE"",""task_group"":""BQA""}"
3,FS,23c971e60f034baa9a36755a36d7b9c88991e3be71f2ebf9ef7dedb5975427b0,"{""answer"":""FALSE"",""task_group"":""BQA""}"
3,AR,1527afe08cdfcd1ed3375dde4ffb945e4f246abb02e879dde75698656010e611,"{""answer"":""FALSE"",""task_group"":""BQA""}"
4,NL,24918ef1b9fec26ddf655661485bd9094b8a059d4b83d8e0fa3821aaa2989712,"{""answer"":""TRUE"",""task_group"":""BQA""}"
4,FS,e167a4ea12eaa7d7cfb2bfc7899cb26b77f1921c334e47886c20a234f217aaf5,"{""answer"":""TRUE"",""task_group"":""BQA""}"
4,AR,f56a4947586c29b52d31518f5f6156ab6f17d341ef1747bcebe872113bd11bd9,"{""answer"":""TRUE"",""task_group"":""BQA""}"
5,NL,f10710b5799ace47c7784412b5595505c172720054fded7cc7ba61ce0293d693,"{""answer"":""FALSE"",""task_group"":""BQA""}"
5,FS,8de3e1294fd82a743cb38ba5b61a3c1104293c771b06aefada7f5f64b89f9e1b,"{""answer"":""FALSE"",""task_group"":""BQA""}"
5,AR,ff4117ce73c0905e2ff5e0c9df174964e19ae9c0dab91b77b6301800ded9e67a,"{""answer"":""FALSE"",""task_group"":""BQA""}"
6,NL,25103c1f8cca6084dcc1ea23b69e853e88d083de7b75159709ad29e14a5e26fa,"{""answer"":""TRUE"",""task_group"":""BQA""}"
6,FS,5938d4889043a4abcda4bb52bc187b18ad5a43df7920eded3a4d9a112ec277c8,"{""answer"":""TRUE"",""task_group"":""BQA""}"
6,AR,5cc0dcbb600adb737d75a48223b83e9f2594d32c1bbfa89b2e2e0fc161c4b4aa,"{""answer"":""TRUE"",""task_group"":""BQA""}"
7,NL,2cb3d089b51fdb785ac3aab6cf3477e7b8b12cdae889b9cb3930383ab769306a,"{""answer"":""FALSE"",""task_group"":""BQA""}"
7,FS,a08abc454dd0b26baad9d8762780310b07f45d7caa011b0bc9bd87ad96d863e3,"{""answer"":""FALSE"",""task_group"":""BQA""}"
7,AR,0bd18efa0fbda4aba97c38d79528fb3b78ce33eabe016e8edd186d370b2a3458,"{""answer"":""FALSE"",""task_group"":""BQA""}"
8,NL,fb9c75f4132d22d53fc2ab18ebc2930474bb7a3b0b4eb97c5b190a4d37a1f230,"{""answer"":""TRUE"",""task_group"":""BQA""}"
8,FS,023bed98f156e92d9ed8fa9b2727f92c107d9a9b5e52486b03747578f5d44ef3,"{""answer"":""TRUE"",""task_group"":""BQA""}"
8,AR,e6ec9c53aeb639189657d13fc547d79afb33fff421a422c179bb2ef07d08bcdb,"{""answer"":""TRUE"",""task_group"":""BQA""}"
9,NL,d830fdf98d834beaf5b428b5a5c780e1c44fa49f1dcec526261eb5fb3c5be57f,"{""answer"":""FALSE"",""task_group"":""BQA""}"
9,FS,deed130a1b4f2260468e5d027b64ceb356f7505dd95fabd1306de0ee752a8cd6,"{""answer"":""FALSE"",""task_group"":""BQA""}"
9,AR,90fef3084fbb844a095a3785b36d24c92a8a134edbc17f4593e048f18e305a18,"{""answer"":""FALSE"",""task_group"":""BQA""}"
10,NL,e5f4b321bda2e5cbb63a98c3abb4dbfd51e3f1b1e96d400b313d8ed51c9852e1,"{""answer"":""TRUE"",""task_group"":""BQA""}"
10,FS,dd86ef0f490dc72de393a51fee1b3d3981900d37f60bbd16718125b37526a5c1,"{""answer"":""TRUE"",""task_group"":""BQA""}"
10,AR,8fec270f0f02719cd74b6f75b4a691d55784ec9253c947dda472e93f2cf036c6,"{""answer"":""TRUE"",""task_group"":""BQA""}"
11,NL,7d62f3f0d2535ae03a1786bce9d11bd647d097186270c1f8f6adacf4ea36ac0e,"{""answer"":""FALSE"",""task_group"":""BQA""}"
11,FS,64001d250ec8611c176d4702c4256950186c9b658542363f3e6ed7e10d5c85bc,"{""answer"":""FALSE"",""task_group"":""BQA""}"
11,AR,cfae79aa923f33806e4679987c32ceb4de7bab3c63cdac8156839d3175be8bda,"{""answer"":""FALSE"",""task_group"":""BQA""}"
12,NL,d0ca1c23e35e309fc45a825b4f5284e4d662d12942ab9deece25b2380db320d7,"{""answer"":""TRUE"",""task_group"":""BQA""}"
12,FS,3b3f290387e897f36ac68550b76cf69c1e8c48b59e710cc321a92c618043b202,"{""answer"":""TRUE"",""task_group"":""BQA""}"
12,AR,941367013d13643ed61302dad97a59e5a478df8997f6d313a0010e13d276927d,"{""answer"":""TRUE"",""task_group"":""BQA""}"
13,NL,2fc816427593db4c8cf4c88e7280d16e8d49eb4392984a43555a5772fe59991e,"{""answer"":""FALSE"",""task_group"":""BQA""}"
13,FS,3675a4727f1bbe7313f05ef9424891a5c60aaceb98bfe96cc36977e25c0c3200,"{""answer"":""FALSE"",""task_group"":""BQA""}"
13,AR,253168dcdd0a0d1884117425d577e44cda847b70dd464b51af02e9b5756c6616,"{""answer"":""FALSE"",""task_group"":""BQA""}"
14,NL,6d68d090d38a7901a731d30f3db95b837da1258199db7ea30b6ad1e93f41219e,"{""answer"":""TRUE"",""task_group"":""BQA""}"
14,FS,144e9417a16bf8e1833503af694a8e2b07fc9f0596493d4f2b7dba59fbe1893e,"{""answer"":""TRUE"",""task_group"":""BQA""}"
14,AR,5572014ff92e383ff1ee25b58761ce7c0dacd6f021921985e1a8887b712b8d97,"{""answer"":""TRUE"",""task_group"":""BQA""}"
15,NL,b8ad442934e6bf620c6cf7e42b260678ba96a831716854025d8336979fae3c67,"{""answer"":""FALSE"",""task_group"":""BQA""}"
15,FS,73af67deac407f8eed8356745cab83667aba2e0993ecb84a9f0937d60e6b86ab,"{""answer"":""FALSE"",""task_group"":""BQA""}"
15,AR,0404d7ac6b9f6db13a27c917c6d1c2a0125351acd635e999e5f060a50bd9c74a,"{""answer"":""FALSE"",""task_group"":""BQA""}"
16,NL,9f66797f46397a2d0462cfc275160bd30850c702ddf64aec3678660626b409cb,"{""answer"":""TRUE"",""task_group"":""BQA""}"
16,FS,181e7dd5143f2f77132786c89697da7cee7b5558308417f28ab4742c18781282,"{""answer"":""TRUE"",""task_group"":""BQA""}"
16,AR,7d035e37976da6c7d2eddccab8d6d3fa847ffab3e00eb7a418ffcf53b4f6a2de,"{""answer"":""TRUE"",""task_group"":""BQA""}"
17,NL,33eeb0c10b7028e98c33ef7680282f808702f0e22c27bd5159d6fd949bc9e85d,"{""answer"":""FALSE"",""task_group"":""BQA""}"
17,FS,8194443ad4bc0c02601f886289d59079255cbedddb90fa49aedb335d0caa5d40,"{""answer"":""FALSE"",""task_group"":""BQA""}"
17,AR,49d2e64f0f562b1796a07324055ca888df00ba17502291b71cdcc7a9eda430aa,"{""answer"":""FALSE"",""task_group"":""BQA""}"
18,NL,444a1e46ed24d4c24ffabfdf6237919f91fda3971822db07ee57ed03e6dfa99a,"{""answer"":""TRUE"",""task_group"":""BQA""}"
18,FS,5e2e2cb4a3dbe9a5fed602eaca2654287150a1f110a9521ba96f97d3bd77a25d,"{""answer"":""TRUE"",""task_group"":""BQA""}"
18,AR,5e9c3d745effd4e4df21765d66fc2b5e94943971dcf271689974d17c725f5ea0,"{""answer"":""TRUE"",""task_group"":""BQA""}"
19,NL,e96cc98957d5e17194d3b1218e3613cedfee2eee108c22d438c564a6b202510d,"{""answer"":""FALSE"",""task_group"":""BQA""}"
19,FS,c665f65a48cbfae66b766075ebae187ac32983f048728696879bb9a0d11bf8b0,"{""answer"":""FALSE"",""task_group"":""BQA""}"
19,AR,be765db892f3a0307a5b5c1b8616f372b3f2fae64f9473b20eb179d744fa225c,"{""answer"":""FALSE"",""task_group"":""BQA""}"
20,NL,e1c4af7caf6ef5e8f0bc6c585422ab199247c5176cfd7d5b8e50515128b70bb8,"{""answer"":""TRUE"",""task_group"":""BQA""}"
20,FS,5f4546c256b7c7f419c5140195527205b37a79e36224516172b8be995d44bb58,"{""answer"":""TRUE"",""task_group"":""BQA""}"
20,AR,70f762599489c239360407d4923c4da595e2ae5c45199a24c487f9237d3c1d1d,"{""answer"":""TRUE"",""task_group"":""BQA""}"
21,NL,04dd27cc336ed92313aaaabf34862ce01ea24f165af30f7b05c4de2232cb888d,"{""answer"":""FALSE"",""task_group"":""BQA""}"
21,FS,da319fa4d4bd071f86ccc298ac2648e039664871a1e969d369242481d4391fbc,"{""answer"":""FALSE"",""task_group"":""BQA""}"
21,AR,eb1a7931f11b836f7c46fa1ba08fa4d2f4937730e49da8f85bb1cb4c123ff788,"{""answer"":""FALSE"",""task_group"":""BQA""}"
22,NL,4609dc3a44e0491459e23adbace8249ae2ecac713cd1f63a6fca24d69826c223,"{""answer"":""TRUE"",""task_group"":""BQA""}"
22,FS,7913415c794abf1fa56c99bfb313b031f79fe5798f87778a4a7735eb5f52b10b,"{""answer"":""TRUE"",""task_group"":""BQA""}"
22,AR,142c4faff0af221a00a5594e641b4ef97b6e27f5f2dfee8ed28af42d7f2bd316,"{""answer"":""TRUE"",""task_group"":""BQA""}"
23,NL,5123360ce35fa8fe9aba122eb7514c3ad774550028d0865f3fdf7669ca439767,"{""answer"":""FALSE"",""task_group"":""BQA""}"
23,FS,861e87554577ee9ec6ebd38f53258d11959ff9c6f0de994ba043ca9e45eab018,"{""answer"":""FALSE"",""task_group"":""BQA""}"
23,AR,1b5bd6236d1bd4ffa5b030299dfb4b28160db89e58337a40118c4895a1486469,"{""answer"":""FALSE"",""task_group"":""BQA""}"
24,NL,ba984b2ae2f100c119c1c64c0d3f6afc1b6dd3817b05b8d4691e49f7c3618838,"{""answer"":""TRUE"",""task_group"":""BQA""}"
24,FS,f2be771c54bdfe7490ec47fdac6d617c280e1ac89519ccbc627bda3f03a4b9f5,"{""answer"":""TRUE"",""task_group"":""BQA""}"
24,AR,5e02c0743d48f09feac00bf44113d5ff3a89f81e51bc5262eccaac84ba7183d9,"{""answer"":""TRUE"",""task_group"":""BQA""}"
25,NL,08b771a223c2cd29d500d1c46670fe8c653373a2fd265c3bcb6765ba671b5c37,"{""answer"":""FALSE"",""task_group"":""BQA""}"
25,FS,0c4fb181ec65b443617c51021e0b3abca574e6802f286575d79f4adc70f92eb2,"{""answer"":""FALSE"",""task_group"":""BQA""}"
25,AR,93441e715fd7b19ab3cbdda7c55f64d7bc6de4ff2d8d696586f79beb5e53145e,"{""answer"":""FALSE"",""task_group"":""BQA""}"
26,NL,c6eceaa1cad82b071ec358bdb0e919195aeafaaa61fa4cf674e8c202bd200524,"{""answer"":""TRUE"",""task_group"":""BQA""}"
26,FS,37d992ee05ea32ac33fde5d92557e9c5faf619582f3ab1cdf0bf716b97c44df3,"{""answer"":""TRUE"",""task_group"":""BQA""}"
26,AR,3457341b9276d71c0ae921608f57c63f003ec1b53ab32bd84f91e6133a7a1788,"{""answer"":""TRUE"",""task_group"":""BQA""}"
27,NL,6929de97c31d50d41019f2b2c9a1b4ee5ab8581462e922d5041dc072899df9ba,"{""answer"":""FALSE"",""task_group"":""BQA""}"
27,FS,20fea6ba9ae0e1f1c195fdab7ebaa3c31f2057e6cc27d11bdefe16939418789a,"{""answer"":""FALSE"",""task_group"":""BQA""}"
27,AR,78e6e78689d1aec782fe18e4f2974db3e12363daf736314a32bf75c3b7600810,"{""answer"":""FALSE"",""task_group"":""BQA""}"
28,NL,c0bf1fbb2a8245e74aaf1af7fb56345e4302de68ee04fc57e6a7f3c92d7b541f,"{""answer"":""TRUE"",""task_group"":""BQA""}"
28,FS,00a65464535f2c52c6f6d26bc01bb5f27037b99322ef22df494e640e0a267cbb,"{""answer"":""TRUE"",""task_group"":""BQA""}"
28,AR,470d4b79f3b9c565c6c42d123ea3e366644e52ab59ae7ff6e711dbfbf5b1a077,"{""answer"":""TRUE"",""task_group"":""BQA""}"
29,NL,d694abb8e7d7d7fe5e01a4be91aed7e0c57346d7dc9182f26ecba60fe32fc9dd,"{""answer"":""FALSE"",""task_group"":""BQA""}"
29,FS,ccf41d0f04aca961bb07a6d91303e288751527eb0fdfaa1b1f61b912e8dd3dd0,"{""answer"":""FALSE"",""task_group"":""BQA""}"
29,AR,190924456f0b1bc5aba0e0153583ff031fb46c3014f2db7490d92bdaa6a71332,"{""answer"":""FALSE"",""task_group"":""BQA""}"
30,NL,a58bc8ba4aa53c6669b737bb59d87d225775e518b6a8ed5a8f1e971fd9501a56,"{""answer"":""TRUE"",""task_group"":""BQA""}"
30,FS,c6bd14d83b5bf57908f8c36c8abd885b788b3b604be148e0a0fd32921bb0177e,"{""answer"":""TRUE"",""task_group"":""BQA""}"
30,AR,28dd951ddd58a5f3e5ee0dbdcd8281fd2ec4aa8715ca642d40dc9326a9695926,"{""answer"":""TRUE"",""task_group"":""BQA""}"
