Task ID,Root Entity,Size of ontology TBox,Size of ontology ABox,Task Type,Answer Type,SPARQL Query,Predicate,Answer,Min Tag Length,Max Tag Length,Task ID temp,Bin_Size of ontology ABox,Bin_Min Tag Length,strata,split
1hop-Thing_ada_rachel_heath_1868_gwendoline_heath_1878-gwendoline_heath_1878-rdf:type-BIN,Thing_ada_rachel_heath_1868,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#DomainEntity> },rdf:type,TRUE,3,3,1hop-Thing_ada_rachel_heath_1868_gwendoline_heath_1878-gwendoline_heath_1878-rdf:type,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_rachel_heath_1868_gwendoline_heath_1878-gwendoline_heath_1878-rdf:type-MC,Thing_ada_rachel_heath_1868,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,DomainEntity; Person,3,3,1hop-Thing_ada_rachel_heath_1868_gwendoline_heath_1878-gwendoline_heath_1878-rdf:type,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_rachel_heath_1868_gwendoline_heath_1878-gwendoline_heath_1878-rdf:type-BIN,Thing_ada_rachel_heath_1868,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> },rdf:type,TRUE,2,5,1hop-Thing_ada_rachel_heath_1868_gwendoline_heath_1878-gwendoline_heath_1878-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_rachel_heath_1868_gwendoline_heath_1878-gwendoline_heath_1878-rdf:type-MC,Thing_ada_rachel_heath_1868,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#gwendoline_heath_1878> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,DomainEntity; Person,2,5,1hop-Thing_ada_rachel_heath_1868_gwendoline_heath_1878-gwendoline_heath_1878-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_rachel_heath_1868_ada_rachel_heath_1868-ada_rachel_heath_1868-isSisterOf-BIN,Thing_ada_rachel_heath_1868,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> <http://www.example.com/genealogy.owl#isSisterOf> <http://www.example.com/genealogy.owl#gwendoline_heath_1878> },isSisterOf,TRUE,1,3,1hop-Thing_ada_rachel_heath_1868_ada_rachel_heath_1868-ada_rachel_heath_1868-isSisterOf,2.0,,2.0_nan,train
1hop-Thing_ada_rachel_heath_1868_sarah_jacobs_1834-sarah_jacobs_1834-hasChild-BIN,Thing_ada_rachel_heath_1868,173,5,Property Assertion,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#sarah_jacobs_1834> <http://www.example.com/genealogy.owl#hasChild> <http://www.example.com/genealogy.owl#ada_rachel_heath_1868> },hasChild,TRUE,3,3,1hop-Thing_ada_rachel_heath_1868_sarah_jacobs_1834-sarah_jacobs_1834-hasChild,2.0,1.0,2.0_1.0,train
1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type-BIN,Thing_ada_steward_1871,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Man> },rdf:type,TRUE,2,2,1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type-MC,Thing_ada_steward_1871,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#james_steward_1830> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,Ancestor; DomainEntity; Man; Person,2,2,1hop-Thing_ada_steward_1871_james_steward_1830-james_steward_1830-rdf:type,2.0,0.0,2.0_0.0,train
1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type-BIN,Thing_ada_steward_1871,173,5,Membership,BIN,ASK WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Ancestor> },rdf:type,TRUE,5,5,1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type,2.0,3.0,2.0_3.0,train
1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type-MC,Thing_ada_steward_1871,173,5,Membership,MC,SELECT ?x WHERE { <http://www.example.com/genealogy.owl#susannah_tacey_1834> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x },rdf:type,Ancestor; DomainEntity; Person; Woman,5,5,1hop-Thing_ada_steward_1871_susannah_tacey_1834-susannah_tacey_1834-rdf:type,2.0,3.0,2.0_3.0,train
