input_hash,representation,classification,classification_label,rationale,row_count,task_ids,datasets,hops,task_groups,semantic_keys,formal_queries,gold_answer,aggregate_weighting_effect
003cea31e40dadfc372dfc57fe00779ce939ad6d6bc03901c6e02b81835139c0,AR,B,exact duplicated semantic question,exact duplicated semantic question across hop-specific benchmark instances,2,6118;7601,OWL2Bench,1hop;2hop,BQA,sem-v1.1-18f3d6f0657ff6dea029fe8fe630faac0d8960a8ff98a4393f3d83d4955892d6;sem-v1.1-38cb7e7d26589e7fc13291c73fd4287f9dbce51db7931415cb996728d7659cbc,"[""ASK WHERE { <http://www.example.com/genealogy.owl#Man_9> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Man_9> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#Person> }""]",TRUE,counts the identical evaluated input 2 times in per-row aggregate evaluation
009d886fbfe62a36b4c5717353288a3fb9463bdf84f5bdeb47c44ca81976eac3,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,3,6419;6433;6449,OWL2Bench,1hop,BQA,sem-v1.1-fc4d6ec1cde9477b757973bb92baec87565e97a3f8be8cd38cf3441156693293;sem-v1.1-c8a5f5168da399ac30217e39610e2df3af033632f6edb8b7161e936ce1734536;sem-v1.1-02becc27e2e817aab112dd8ef80d02f7381c0c170baa73e450efaba3cb0f6aa4,"[""ASK WHERE { <http://www.example.com/genealogy.owl#Student_21> <http://www.example.com/genealogy.owl#hasDoctoralDegreeFrom> <http://www.example.com/genealogy.owl#Student_21> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Student_37> <http://www.example.com/genealogy.owl#hasDoctoralDegreeFrom> <http://www.example.com/genealogy.owl#Student_37> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Student_9> <http://www.example.com/genealogy.owl#hasDoctoralDegreeFrom> <http://www.example.com/genealogy.owl#Student_9> }""]",FALSE,counts the identical evaluated input 3 times in per-row aggregate evaluation
01f4b2913b11694360ad5704dc43f91266f93908de95e209bb058ac91ea58e53,FS,D,other,incidental cross-dataset duplicate with the same formal query and gold semantics; no evidence it was intentionally duplicated,2,4146;5240,Pizza100;Pizza250,1hop,OEQA,sem-v1.1-b1607318de8ee3325f9c0530b586d65ba07710af12ec44d9f4ff5debd0d50169;sem-v1.1-7397fc188ea6f4813ccbeed1f8d6155832fa00c5a18174f54180917d5875ffab,"[""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#FourSeasons_88> <http://www.example.com/genealogy.owl#hasTopping> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#FourSeasons_88> <http://www.example.com/genealogy.owl#hasTopping> ?x }""]",AnchoviesTopping_dynamic_1; CaperTopping_dynamic_1; MozzarellaTopping_dynamic_1; MushroomTopping_dynamic_1; OliveTopping_dynamic_1; PeperoniSausageTopping_dynamic_1; TomatoTopping_dynamic_1,counts the identical evaluated input 2 times in per-row aggregate evaluation
0272019dfc846f2bbdcab40af106a7c83f462b3314d6095bff820ddeac2327aa,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,5,4722;4725;5946;5950;5952,Pizza100;Pizza250,2hop,OEQA,sem-v1.1-95bba78788a35d9660e084cbc2bf011fbda704f35e42623ddf253603f0d8ad80;sem-v1.1-1c5f0a76064838f7fe5357549e2796375006d392578788835a208688aab7d61b;sem-v1.1-f9047c9e6a89896ad57c8a4f80bde35753e797775feabff880c46672f26cc805;sem-v1.1-330b5b11a0ae5d6ec1e081f683d8af04dda054cc9f02c4e06b1c40c43d3ede99;sem-v1.1-9baa970781688a990babe5fa06a14ea07aace97be91228fd41a8d015af58afee,"[""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Siciliana_47> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Siciliana_61> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Siciliana_0> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Siciliana_164> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Siciliana_167> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }""]",DomainConcept; Food; Pizza,counts the identical evaluated input 5 times in per-row aggregate evaluation
02acc208abffced57ac261afd20ad50445539013f2437aadc0cb954a909646e6,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,2,4741;5975,Pizza100;Pizza250,2hop,OEQA,sem-v1.1-df12e751705f03d5f99b38672c950f620fc6cc263529f7e284f3f454fb49df90;sem-v1.1-1127d3cb4d8c4ea1f9fd016361615f6cbdfd12eb358a5e1f4ebd1301bf4abe10,"[""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Veneziana_48> <http://www.example.com/genealogy.owl#hasTopping> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#Veneziana_213> <http://www.example.com/genealogy.owl#hasTopping> ?x }""]",CaperTopping_dynamic_1; MozzarellaTopping_dynamic_1; OliveTopping_dynamic_1; OnionTopping_dynamic_1; PineKernels_dynamic_1; SultanaTopping_dynamic_1; TomatoTopping_dynamic_1,counts the identical evaluated input 2 times in per-row aggregate evaluation
034ce4aaf9ed74865378d6ae73bf67e8c0feb7c0e5dfa861cd954cae1e14c307,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,5,3961;3965;4983;4987;4989,Pizza100;Pizza250,1hop,BQA,sem-v1.1-3ebe6dc80ae64356e5008f740763ad10aeb3e4eff6e31a3ccec0f6afa876f098;sem-v1.1-cb99b01e02a842334477f7249d845de0a9d6eb1d2a28066a33da152734648f21;sem-v1.1-2a78a4d040fa9c4a120d6faa09baada7028792f578dc7416877b204238d37d21;sem-v1.1-5f4af8b400e2534253009d3b1f7ab4ec2ef67889dc6e578d0cabf68f6550bfd2;sem-v1.1-f89035298194a045b67c3d4d8cb5b8b280264b1e1b3547835913218f67d33984,"[""ASK WHERE { <http://www.example.com/genealogy.owl#Napoletana_30> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Napoletana_51> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Napoletana_151> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Napoletana_195> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Napoletana_248> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> <http://www.example.com/genealogy.owl#American> }""]",FALSE,counts the identical evaluated input 5 times in per-row aggregate evaluation
034fa703a68833648a0f08ce0eb96029da14125a6a30aff358eccfdea8839390,NL,D,other,incidental cross-dataset duplicate with the same formal query and gold semantics; no evidence it was intentionally duplicated,2,4104;5176,Pizza100;Pizza250,1hop,OEQA,sem-v1.1-58a80fcca108ee2e210a6bb3a28f959c482eb2cd53a2dd5e2737a09fa7ce6fcf;sem-v1.1-5ea7e4ba0896e89868dcb286ddc363d424354ae3420c0975aa0d987379c90226,"[""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#MixedSeafoodTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#MixedSeafoodTopping_dynamic_1> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }""]",DomainConcept; FishTopping; Food; PizzaTopping,counts the identical evaluated input 2 times in per-row aggregate evaluation
038cecf0ae592626aab549d8f951fda1b32e0fb5f728bcae99b86d5fe9431572,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,2,4581;5774,Pizza100;Pizza250,2hop,BQA,sem-v1.1-af640378ceef59ee4d4a5a27669e66a7b9ffce651d610ac1ba24af3c79836df5;sem-v1.1-35177729b5ccc17147f1582a09bc3f9a13cb828981801361ad145a0c09376d86,"[""ASK WHERE { <http://www.example.com/genealogy.owl#RosemaryTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#PrinceCarlo_24> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#RosemaryTopping_dynamic_1> <http://www.example.com/genealogy.owl#isToppingOf> <http://www.example.com/genealogy.owl#PrinceCarlo_100> }""]",TRUE,counts the identical evaluated input 2 times in per-row aggregate evaluation
043ccd1c1473b4ae4636dcd21dda68f87927892c66b07223b10c6acb447a3143,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,2,4847;4853,Pizza250,1hop,BQA,sem-v1.1-ddbd91b28e68fc8154169909099ad75c5ce3d42537efd3853e5c86ac5cc25934;sem-v1.1-2c85489fcbb1159d33d649e57cc8b42cdc47269f645b57ad3d65165db98b3ea1,"[""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_202> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> }"", ""ASK WHERE { <http://www.example.com/genealogy.owl#Capricciosa_72> <http://www.example.com/genealogy.owl#hasTopping> <http://www.example.com/genealogy.owl#AnchoviesTopping_dynamic_1> }""]",TRUE,counts the identical evaluated input 2 times in per-row aggregate evaluation
048cf654eaf32e543822dc1e9f30087219206b9851b3c4127bb0cef8e2c7cc5d,NL,C,representational collapse,distinct formal questions collapse to one evaluated representation,2,4644;5860,Pizza100;Pizza250,2hop,OEQA,sem-v1.1-7a46010e503a198265b3438e09d36bc484229b991e1ceb42f75c3963a839f559;sem-v1.1-d776e14f3aa30bda2a71d4a7a21479704c6decd79c603e721036cb0c19afdf9f,"[""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#FruttiDiMare_15> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }"", ""SELECT ?x WHERE { <http://www.example.com/genealogy.owl#FruttiDiMare_37> <http://www.w3.org/1999/02/22-rdf-syntax-ns#type> ?x }""]",DomainConcept; Food; Pizza,counts the identical evaluated input 2 times in per-row aggregate evaluation
