task,representation,dataset,hop,scope,tag_basis,tag,n_unique_questions,n_observations,n_clusters,answer_f1_mean,answer_f1_se_clustered,answer_f1_ci95_low,answer_f1_ci95_high,answer_exact_match_mean,answer_exact_match_se_clustered,answer_exact_match_ci95_low,answer_exact_match_ci95_high
BQA,AR,FamilyOWL,1hop,all,every,D,1254,3762,627,0.6185539606592239,0.006991786109735698,0.6048237653975979,0.6322841559208499,0.6185539606592239,0.006991786109735698,0.6048237653975979,0.6322841559208499
BQA,AR,FamilyOWL,2hop,all,every,D,1254,3762,627,0.5680489101541734,0.00511353747290181,0.5580071458784013,0.5780906744299454,0.5680489101541734,0.00511353747290181,0.5580071458784013,0.5780906744299454
BQA,AR,OWL2Bench,1hop,all,every,D,978,2934,489,0.7498295841854125,0.009505721204668333,0.7311523907838264,0.7685067775869985,0.7498295841854125,0.009505721204668333,0.7311523907838264,0.7685067775869985
BQA,AR,OWL2Bench,2hop,all,every,D,1062,3186,531,0.5659133709981168,0.006067200772150343,0.5539946582396166,0.577832083756617,0.5659133709981168,0.006067200772150343,0.5539946582396166,0.577832083756617
BQA,AR,Pizza100,1hop,all,every,D,330,990,165,0.701010101010101,0.015061736146270033,0.6712701822169269,0.730750019803275,0.701010101010101,0.015061736146270033,0.6712701822169269,0.730750019803275
BQA,AR,Pizza100,2hop,all,every,D,330,990,165,0.6252525252525253,0.011228079261903919,0.6030822945294863,0.6474227559755643,0.6252525252525253,0.011228079261903919,0.6030822945294863,0.6474227559755643
BQA,AR,Pizza250,1hop,all,every,D,412,1236,206,0.6966019417475728,0.014287858503119956,0.6684319499258544,0.7247719335692913,0.6966019417475728,0.014287858503119956,0.6684319499258544,0.7247719335692913
BQA,AR,Pizza250,2hop,all,every,D,412,1236,206,0.6197411003236246,0.009653326759250694,0.6007085675055618,0.6387736331416874,0.6197411003236246,0.009653326759250694,0.6007085675055618,0.6387736331416874
BQA,FS,FamilyOWL,1hop,all,every,D,1254,3762,627,0.9569377990430622,0.003387487012010858,0.9502855849462426,0.9635900131398818,0.9569377990430622,0.003387487012010858,0.9502855849462426,0.9635900131398818
BQA,FS,FamilyOWL,2hop,all,every,D,1254,3762,627,0.8971291866028708,0.005281408343990769,0.8867577640963382,0.9075006091094033,0.8971291866028708,0.005281408343990769,0.8867577640963382,0.9075006091094033
BQA,FS,OWL2Bench,1hop,all,every,D,978,2934,489,0.8023176550783913,0.006789970430768182,0.7889764694706936,0.815658840686089,0.8023176550783913,0.006789970430768182,0.7889764694706936,0.815658840686089
BQA,FS,OWL2Bench,2hop,all,every,D,1062,3186,531,0.8195229127432517,0.007723413239938776,0.8043506533473587,0.8346951721391448,0.8195229127432517,0.007723413239938776,0.8043506533473587,0.8346951721391448
BQA,FS,Pizza100,1hop,all,every,D,330,990,165,0.6454545454545455,0.010545174194096906,0.6246327343999161,0.6662763565091749,0.6454545454545455,0.010545174194096906,0.6246327343999161,0.6662763565091749
BQA,FS,Pizza100,2hop,all,every,D,330,990,165,0.5969696969696969,0.012414834888281503,0.5724561762292881,0.6214832177101057,0.5969696969696969,0.012414834888281503,0.5724561762292881,0.6214832177101057
BQA,FS,Pizza250,1hop,all,every,D,412,1236,206,0.6561488673139159,0.009805767931586622,0.6368157809470438,0.6754819536807879,0.6561488673139159,0.009805767931586622,0.6368157809470438,0.6754819536807879
BQA,FS,Pizza250,2hop,all,every,D,412,1236,206,0.5922330097087378,0.010478106245891303,0.5715743387686945,0.6128916806487812,0.5922330097087378,0.010478106245891303,0.5715743387686945,0.6128916806487812
BQA,NL,FamilyOWL,1hop,all,every,D,1254,3762,627,0.7769803296119085,0.008464211410634663,0.7603586433103392,0.7936020159134779,0.7769803296119085,0.008464211410634663,0.7603586433103392,0.7936020159134779
BQA,NL,FamilyOWL,2hop,all,every,D,1254,3762,627,0.6318447634237108,0.007096675247633914,0.6179085909880747,0.6457809358593468,0.6318447634237108,0.007096675247633914,0.6179085909880747,0.6457809358593468
BQA,NL,OWL2Bench,1hop,all,every,D,978,2934,489,0.8125426039536469,0.008198214196841773,0.7964344487905389,0.8286507591167548,0.8125426039536469,0.008198214196841773,0.7964344487905389,0.8286507591167548
BQA,NL,OWL2Bench,2hop,all,every,D,1062,3186,531,0.6368487131198995,0.007122733657969988,0.6228564587487693,0.6508409674910298,0.6368487131198995,0.007122733657969988,0.6228564587487693,0.6508409674910298
BQA,NL,Pizza100,1hop,all,every,D,330,990,165,0.7828282828282829,0.012929350671218686,0.7572988328846428,0.8083577327719229,0.7828282828282829,0.012929350671218686,0.7572988328846428,0.8083577327719229
BQA,NL,Pizza100,2hop,all,every,D,330,990,165,0.597979797979798,0.009503123234550374,0.5792155525745932,0.6167440433850027,0.597979797979798,0.009503123234550374,0.5792155525745932,0.6167440433850027
BQA,NL,Pizza250,1hop,all,every,D,412,1236,206,0.7807443365695793,0.01215169864137943,0.7567860050062525,0.8047026681329061,0.7807443365695793,0.01215169864137943,0.7567860050062525,0.8047026681329061
BQA,NL,Pizza250,2hop,all,every,D,412,1236,206,0.5720064724919094,0.00844987354264268,0.5553466722469097,0.5886662727369091,0.5720064724919094,0.00844987354264268,0.5553466722469097,0.5886662727369091
OEQA,AR,FamilyOWL,1hop,all,every,D,627,1881,627,0.26409254673045834,0.014175570292158901,0.23625511792450132,0.29192997553641536,0.17065390749601275,0.013840225067084157,0.1434750164868454,0.1978327985051801
OEQA,AR,FamilyOWL,2hop,all,every,D,627,1881,627,0.070461985358041,0.007403676686440019,0.05592293554111054,0.08500103517497147,0.03721424774056353,0.006344314615922776,0.02475553159698567,0.0496729638841414
OEQA,AR,OWL2Bench,1hop,all,every,D,489,1467,489,0.6054105819954491,0.02025716526839508,0.5656085527396469,0.6452126112512512,0.5535105657805044,0.021746334774529346,0.5107825610752904,0.5962385704857184
OEQA,AR,OWL2Bench,2hop,all,every,D,531,1593,531,0.21817324322161183,0.013900563344454829,0.19086628109759846,0.2454802053456252,0.14940364092906466,0.012866764206276245,0.12412752555640555,0.17467975630172378
OEQA,AR,Pizza100,1hop,all,every,D,165,495,165,0.47878787878787876,0.032331700048774545,0.41494781914548906,0.5426279384302685,0.47878787878787876,0.032331700048774545,0.41494781914548906,0.5426279384302685
OEQA,AR,Pizza100,2hop,all,every,D,165,495,165,0.4448352482752188,0.03130985196053413,0.38301286301432835,0.5066576335361093,0.3939393939393939,0.03232939088903522,0.3301038938127507,0.45777489406603716
OEQA,AR,Pizza250,1hop,all,every,D,206,618,206,0.5097087378640777,0.029436130176655452,0.45167236060303795,0.5677451151251174,0.5097087378640777,0.029436130176655452,0.45167236060303795,0.5677451151251174
OEQA,AR,Pizza250,2hop,all,every,D,206,618,206,0.3973442357250688,0.025652419492784673,0.3467678356885455,0.447920635761592,0.3042071197411003,0.027356073107818017,0.2502717902756461,0.3581424492065545
OEQA,FS,FamilyOWL,1hop,all,every,D,627,1881,627,0.6840586314270525,0.015224895568824216,0.6541605788097473,0.7139566840443576,0.6592238171185539,0.01576259583998779,0.6282698498037117,0.6901777844333962
OEQA,FS,FamilyOWL,2hop,all,every,D,627,1881,627,0.6104359637055012,0.015881279904365213,0.5792489292812295,0.641622998129773,0.5582137161084529,0.016686797033477637,0.5254448387479539,0.590982593468952
OEQA,FS,OWL2Bench,1hop,all,every,D,489,1467,489,0.6150928901440149,0.017712407443363838,0.5802908953974267,0.6498948848906031,0.5869120654396728,0.018724647988567728,0.5501211829459439,0.6237029479334016
OEQA,FS,OWL2Bench,2hop,all,every,D,531,1593,531,0.5633068990787025,0.018357190878349437,0.5272451148476094,0.5993686833097955,0.5229127432517263,0.018936255925882002,0.48571341466876206,0.5601120718346906
OEQA,FS,Pizza100,1hop,all,every,D,165,495,165,0.5414141414141415,0.03443027728638755,0.47343036845598835,0.6093979143722946,0.5414141414141415,0.03443027728638755,0.47343036845598835,0.6093979143722946
OEQA,FS,Pizza100,2hop,all,every,D,165,495,165,0.4736106316416141,0.03299229291018652,0.4084662085538052,0.538755054729423,0.38585858585858585,0.036015690460714976,0.3147443597707115,0.45697281194646017
OEQA,FS,Pizza250,1hop,all,every,D,206,618,206,0.5501618122977346,0.02994609972117953,0.49111997729819395,0.6092036472972754,0.5501618122977346,0.02994609972117953,0.49111997729819395,0.6092036472972754
